,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
472470,101001245080,01/09/2015 02:56:26 PM,01/16/2015 02:56:26 PM,02/03/2015 10:40:39 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,39 Saunders St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2106.0,R1,39 Saunders St,2134.0,Address,122979.0,42.3533,-71.1419,Self Service,"(42.3533, -71.1419)"
472563,101001245206,01/09/2015 08:42:40 PM,01/20/2015 08:30:00 AM,01/29/2015 08:58:05 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,1829-1829 Centre St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,20,2018.0,C,1829-1829 Centre St,2132.0,Address,157306.0,42.287,-71.1538,Constituent Call,"(42.287, -71.1538)"
472856,101001245661,01/12/2015 08:23:31 AM,01/20/2015 08:30:00 AM,,OVERDUE,Open,,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,271 Hancock St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,R2,271 Hancock St,2122.0,Address,68914.0,42.3088,-71.0592,Constituent Call,"(42.3088, -71.0592)"
472878,101001245693,01/12/2015 08:40:37 AM,01/20/2015 08:40:37 AM,01/12/2015 12:58:44 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,172 Fairmount St  Dorchester  MA  02124,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1712.0,R2,172 Fairmount St,2124.0,Address,55794.0,42.2792,-71.0789,Self Service,"(42.2792, -71.0789)"
478339,101001253848,01/26/2015 08:11:05 AM,02/02/2015 08:30:00 AM,02/23/2015 08:26:14 AM,OVERDUE,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,51 Montebello Rd  Jamaica Plain  MA  02130,9.0,02,7.0,E13,Jamaica Plain,11.0,Ward 11,1105.0,R4,51 Montebello Rd,2130.0,Address,96564.0,42.312,-71.1009,Constituent Call,"(42.312, -71.1009)"
484323,101001261524,01/29/2015 11:35:57 AM,02/05/2015 11:35:57 AM,01/30/2015 11:49:03 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,31 Greenwich St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1506.0,R1,31 Greenwich St,2122.0,Address,66854.0,42.3036,-71.0579,Constituent Call,"(42.3036, -71.0579)"
491463,101001271847,02/03/2015 06:07:27 PM,02/11/2015 08:30:00 AM,03/06/2015 08:51:30 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,39 Mellen St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1709.0,CD,39 Mellen St,2124.0,Address,93897.0,42.286,-71.0691,Self Service,"(42.286, -71.0691)"
497381,101001280812,02/06/2015 04:28:09 PM,02/13/2015 04:28:09 PM,04/03/2015 12:01:03 PM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,11 Everett Ave  Dorchester  MA  02125,7.0,03,7.0,C11,Dorchester,13.0,Ward 13,1305.0,R3,11 Everett Ave,2125.0,Address,54923.0,42.3157,-71.0632,Self Service,"(42.3157, -71.0632)"
513895,101001303630,02/18/2015 09:53:46 AM,02/25/2015 09:53:45 AM,03/04/2015 03:42:42 PM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,198-200 Belgrade Ave  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2002.0,RC,198-200 Belgrade Ave,2131.0,Address,13598.0,42.286,-71.1391,Constituent Call,"(42.286, -71.1391)"
513916,101001303657,02/18/2015 09:58:26 AM,02/25/2015 09:58:26 AM,03/23/2015 10:10:02 AM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Abandoned Building,Inspectional Services,Environmental Services,Abandoned Building,ISD_Environmental Services (INTERNAL),ISD,,,11 Everett Ave  Dorchester  MA  02125,7.0,03,7.0,C11,Dorchester,13.0,Ward 13,1305.0,R3,11 Everett Ave,2125.0,Address,54923.0,42.3157,-71.0632,Constituent Call,"(42.3157, -71.0632)"
