,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471820,101001244158,01/08/2015 12:04:23 PM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,139 Tremont St  Boston  MA  02108,3.0,1C,8.0,A1,Beacon Hill,14.0,05,503.0,E,139 Tremont St,2108.0,Address,341542.0,42.3554,-71.0638,Constituent Call,"(42.3554, -71.0638)"
478418,101001254060,01/26/2015 10:20:40 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,56 Charles St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1508.0,R3,56 Charles St,2122.0,Address,29317.0,42.2998,-71.0641,Constituent Call,"(42.2998, -71.0641)"
552679,101001359508,04/18/2015 01:06:58 PM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,85 Norton St  Dorchester  MA  02122,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1502.0,R3,85 Norton St,2122.0,Address,103973.0,42.305,-71.0675,Constituent Call,"(42.305, -71.0675)"
556075,101001364329,04/27/2015 09:29:35 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,42-44 Fairview St  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2004.0,R2,42-44 Fairview St,2131.0,Address,55885.0,42.2904,-71.129,Constituent Call,"(42.2904, -71.129)"
587687,101001420793,06/30/2015 04:38:00 PM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of David G Mugar Way & Revere St  Boston  MA,3.0,1B,8.0,A1,Back Bay,14.0,Ward 5,511.0,,INTERSECTION David G Mugar Way & Revere St,,Intersection,3929.0,42.3595,-71.0721,Constituent Call,"(42.3595, -71.0721)"
598835,101001436126,07/24/2015 12:01:00 PM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,276 Meridian St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,1,106.0,,276 Meridian St,2128.0,Address,344262.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
599871,101001437521,07/27/2015 12:38:00 PM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,24 Beacon St  Boston  MA  02133,3.0,1B,8.0,A1,Boston,14.0,05,503.0,E,24 Beacon St,2133.0,Address,10388.0,42.3583,-71.0637,Constituent Call,"(42.3583, -71.0637)"
604606,101001503866,08/05/2015 09:32:00 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,91A-91B Hudson St  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,R1,91A-91B Hudson St,2111.0,Address,75885.0,42.3486,-71.0611,Constituent Call,"(42.3486, -71.0611)"
609173,101001519989,08/13/2015 07:14:00 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,156 W Newton St  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 4,404.0,R3,156 W Newton St,2118.0,Address,102425.0,42.3424,-71.0779,Constituent Call,"(42.3424, -71.0779)"
619009,101001542760,08/28/2015 08:09:00 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,21 Danville St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2014.0,R1,21 Danville St,2132.0,Address,46224.0,42.2804,-71.1525,Constituent Call,"(42.2804, -71.1525)"
620654,101001545097,08/31/2015 11:42:00 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,149 Eustis St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,R1,149 Eustis St,2119.0,Address,54564.0,42.3286,-71.0778,Constituent Call,"(42.3286, -71.0778)"
645927,101001611624,10/14/2015 09:43:00 AM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,190 Boston St  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,709.0,R3,190 Boston St,2125.0,Address,17124.0,42.3232,-71.0602,Constituent Call,"(42.3232, -71.0602)"
659105,101001630705,11/08/2015 06:11:00 PM,,,ONTIME,Open,,Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,664R-664 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,0111,R2,664R-664 Bennington St,2128.0,Address,162031.0,42.3842,-71.0148,Constituent Call,"(42.3842, -71.0148)"
