,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
472289,101001244808,01/09/2015 10:56:11 AM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
477948,101001253119,01/24/2015 12:05:14 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478283,101001253690,01/25/2015 06:20:20 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478493,101001254233,01/26/2015 12:34:03 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478557,101001254385,01/26/2015 03:03:07 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478559,101001254390,01/26/2015 03:05:34 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478568,101001254422,01/26/2015 03:30:11 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478577,101001254444,01/26/2015 03:43:25 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478621,101001254550,01/26/2015 06:49:52 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
479945,101001256086,01/27/2015 07:23:21 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
480881,101001257161,01/28/2015 09:06:22 AM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
481861,101001258314,01/28/2015 01:08:12 PM,,,ONTIME,Open,,Alert Boston,Mayor's 24 Hour Hotline,Alert Boston,Alert Boston,INFO05_Alert Boston,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
