,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469454,101001240740,01/01/2015 01:45:37 AM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,4833 Washington St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2010.0,R4,4833 Washington St,2132.0,Address,331760.0,42.2711,-71.1464,Constituent Call,"(42.2711, -71.1464)"
469460,101001240750,01/01/2015 04:12:40 AM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,730 Adams St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,CD,730 Adams St,2122.0,Address,949.0,42.2847,-71.055,Constituent Call,"(42.2847, -71.055)"
469500,101001240807,01/01/2015 12:34:43 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,27 Shepard St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2203.0,R2,27 Shepard St,2135.0,Address,126686.0,42.347,-71.1507,Constituent Call,"(42.347, -71.1507)"
469551,101001240873,01/01/2015 06:31:59 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,834-842 Morton St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1405.0,C,834-842 Morton St,2124.0,Address,97809.0,42.2816,-71.0866,Constituent Call,"(42.2816, -71.0866)"
469556,101001240881,01/01/2015 07:20:49 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,961 William T Morrissey Blvd  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,C,961 William T Morrissey Blvd,2122.0,Address,149940.0,42.2912,-71.0475,Constituent Call,"(42.2912, -71.0475)"
470064,101001241645,01/03/2015 11:43:57 AM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,INTERSECTION of Clarkson St & Quincy St  Dorchester  MA,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,,INTERSECTION Clarkson St & Quincy St,,Intersection,3087.0,42.3092,-71.0663,Constituent Call,"(42.3092, -71.0663)"
470067,101001241650,01/03/2015 11:48:54 AM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,1249 Hyde Park Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1813.0,E,1249 Hyde Park Ave,2136.0,Address,340349.0,42.2565,-71.1242,Constituent Call,"(42.2565, -71.1242)"
470142,101001241761,01/03/2015 06:13:48 PM,,01/05/2015 10:21:20 AM,ONTIME,Closed,Case Closed Case Invalid No eform,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,4175 Washington St  Roslindale  MA  02131,9.0,02,5.0,E5,Roslindale,10.0,Ward 20,2002.0,C,4175 Washington St,2131.0,Address,145143.0,42.2879,-71.127,Constituent Call,"(42.2879, -71.127)"
470251,101001241890,01/04/2015 11:10:04 AM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,507 Jamaicaway  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,19,1903.0,E,507 Jamaicaway,2130.0,Address,341649.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
471603,101001243844,01/07/2015 06:15:52 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,7-11 Segel St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1904.0,CM,7-11 Segel St,2130.0,Address,124866.0,42.3137,-71.1093,Constituent Call,"(42.3137, -71.1093)"
472112,101001244543,01/08/2015 08:42:43 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,151 Magnolia St  Dorchester  MA  02125,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1304.0,R2,151 Magnolia St,2125.0,Address,88264.0,42.3139,-71.0722,Constituent Call,"(42.3139, -71.0722)"
472759,101001245513,01/11/2015 01:52:26 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,89 Mora St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1710.0,R2,89 Mora St,2124.0,Address,97293.0,42.2819,-71.0754,Constituent Call,"(42.2819, -71.0754)"
472764,101001245523,01/11/2015 02:23:35 PM,,,ONTIME,Open,,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,1165 Blue Hill Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,14,1414.0,,1165 Blue Hill Ave,2124.0,Address,344248.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
