,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469499,101001240805,01/01/2015 12:33:18 PM,,01/01/2015 12:37:02 PM,ONTIME,Closed,Case Closed Case Invalid wrong catagory,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,27 Shepard St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2203.0,R2,27 Shepard St,2135.0,Address,126686.0,42.347,-71.1507,Constituent Call,"(42.347, -71.1507)"
470052,101001241626,01/03/2015 10:43:13 AM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1000 Harvard St  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1803.0,CD,1000 Harvard St,2126.0,Address,70753.0,42.2756,-71.1074,Constituent Call,"(42.2756, -71.1074)"
470056,101001241633,01/03/2015 11:15:03 AM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1420-1440 Soldiers Field Rd  Brighton  MA  02135,11.0,04,9.0,D14,Brighton,15.0,22,2205.0,E,1420-1440 Soldiers Field Rd,2135.0,Address,169776.0,42.3619,-71.1452,Constituent Call,"(42.3619, -71.1452)"
470281,101001241938,01/04/2015 02:17:08 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,40 Gibson St  Dorchester  MA  02122,7.0,07,3.0,C11,Dorchester,7.0,16,1601.0,E,40 Gibson St,2122.0,Address,341648.0,42.298,-71.0593,Constituent Call,"(42.298, -71.0593)"
470332,101001242004,01/04/2015 09:55:47 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,469 Shawmut Ave  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,CD,469 Shawmut Ave,2118.0,Address,126340.0,42.339,-71.0758,Constituent Call,"(42.339, -71.0758)"
470765,101001242638,01/05/2015 05:05:01 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Columbus Ave & Walnut Ave  Dorchester  MA,9.0,10B,7.0,E13,Roxbury,11.0,Ward 11,1105.0,,INTERSECTION Columbus Ave & Walnut Ave,,Intersection,3282.0,42.3134,-71.0951,Constituent Call,"(42.3134, -71.0951)"
470814,101001242703,01/05/2015 08:53:09 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Canterbury St & Hyde Park Ave  Roslindale  MA,12.0,08,5.0,E18,Roslindale,10.0,Ward 18,1808.0,,INTERSECTION Canterbury St & Hyde Park Ave,,Intersection,2410.0,42.2786,-71.1192,Constituent Call,"(42.2786, -71.1192)"
471268,101001243354,01/06/2015 07:01:16 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,32 Peter Parley Rd  Jamaica Plain  MA  02130,9.0,02,7.0,E13,Jamaica Plain,11.0,Ward 11,1105.0,R3,32 Peter Parley Rd,2130.0,Address,109676.0,42.311,-71.1011,Constituent Call,"(42.311, -71.1011)"
471272,101001243359,01/06/2015 07:21:27 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,148 Geneva Ave  Dorchester  MA  02121,7.0,03,4.0,C11,Dorchester,13.0,14,1401.0,,148 Geneva Ave,2121.0,Address,165583.0,42.3058,-71.0774,Constituent Call,"(42.3058, -71.0774)"
471274,101001243361,01/06/2015 07:27:07 PM,,,ONTIME,Open,,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,33 Wales St  Dorchester  MA  02124,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1407.0,A,33 Wales St,2124.0,Address,141572.0,42.2967,-71.0849,Constituent Call,"(42.2967, -71.0849)"
