,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469458,101001240746,01/01/2015 03:46:15 AM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,246 Minot St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1611.0,R1,246 Minot St,2124.0,Address,96119.0,42.2834,-71.0576,Constituent Call,"(42.2834, -71.0576)"
472572,101001245218,01/09/2015 10:35:00 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,5 Coolidge Rd  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1704.0,R1,5 Coolidge Rd,2124.0,Address,42382.0,42.2813,-71.0704,Constituent Call,"(42.2813, -71.0704)"
472630,101001245308,01/10/2015 01:00:07 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,29 Queensberry St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,A,29 Queensberry St,2215.0,Address,296873.0,42.3432,-71.0962,Constituent Call,"(42.3432, -71.0962)"
473963,101001247298,01/14/2015 01:32:13 PM,,01/15/2015 12:08:44 PM,ONTIME,Closed,Case Closed Case Invalid No eform,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,100 Main St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,CM,100 Main St,2129.0,Address,167256.0,42.374,-71.0635,Constituent Call,"(42.374, -71.0635)"
475035,101001248896,01/16/2015 08:06:08 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,5 Beryl St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2009.0,R1,5 Beryl St,2131.0,Address,15230.0,42.2821,-71.1391,Constituent Call,"(42.2821, -71.1391)"
475039,101001248902,01/16/2015 08:35:17 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,5 Beryl St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2009.0,R1,5 Beryl St,2131.0,Address,15230.0,42.2821,-71.1391,Constituent Call,"(42.2821, -71.1391)"
477327,101001252154,01/22/2015 05:25:39 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,INTERSECTION of Saint Richards St & Walnut Ave  Roxbury  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1201.0,,INTERSECTION Saint Richards St & Walnut Ave,,Intersection,8258.0,42.3236,-71.0841,Constituent Call,"(42.3236, -71.0841)"
477347,101001252189,01/22/2015 07:09:38 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,77 Hunnewell Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2213.0,R2,77 Hunnewell Ave,2135.0,Address,254503.0,42.3541,-71.1718,Constituent Call,"(42.3541, -71.1718)"
477360,101001252206,01/22/2015 09:19:02 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,163 Heath St  Mission Hill  MA  02120,9.0,10A,6.0,E13,Mission Hill,11.0,Ward 10,1006.0,R2,163 Heath St,2120.0,Address,72314.0,42.3263,-71.1039,Constituent Call,"(42.3263, -71.1039)"
477368,101001252222,01/22/2015 10:53:59 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,46 Burton St  Brighton  MA  02135,,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2213.0,R2,46 Burton St,2135.0,Address,199843.0,42.3549,-71.1722,Constituent Call,"(42.3549, -71.1722)"
477770,101001252901,01/23/2015 07:38:40 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,277 Centre St  Jamaica Plain  MA  02130,9.0,10A,6.0,E13,Jamaica Plain,11.0,10,1007.0,,277 Centre St,2130.0,Address,347432.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
477774,101001252906,01/23/2015 07:48:31 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,7 Forbes St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1901.0,R3,7 Forbes St,2130.0,Address,236466.0,42.322,-71.1082,Constituent Call,"(42.322, -71.1082)"
478114,101001253341,01/24/2015 07:58:58 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,197-203 Humboldt Ave  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1208.0,C,197-203 Humboldt Ave,2121.0,Address,75978.0,42.313,-71.0898,Self Service,"(42.313, -71.0898)"
481228,101001257572,01/28/2015 10:27:06 AM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,53 Tufts St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,202.0,E,53 Tufts St,2129.0,Address,173564.0,42.3789,-71.0566,Constituent Call,"(42.3789, -71.0566)"
487227,101001266070,01/31/2015 03:23:05 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,INTERSECTION of Lincoln St & Royal St  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2201.0,,INTERSECTION Lincoln St & Royal St,,Intersection,6875.0,42.3571,-71.1297,Constituent Call,"(42.3571, -71.1297)"
487674,101001266782,02/02/2015 02:11:18 AM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,INTERSECTION of E Fourth St & I St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,605.0,,INTERSECTION E Fourth St & I St,,Intersection,5046.0,42.3347,-71.04,Constituent Call,"(42.3347, -71.04)"
488222,101001267581,02/02/2015 01:59:49 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,29-25 Queensberry St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,A,29-25 Queensberry St,2215.0,Address,113737.0,42.3432,-71.0962,Constituent Call,"(42.3432, -71.0962)"
488568,101001267983,02/02/2015 04:33:55 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,32-34 Elm Hill Park  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1202.0,R2,32-34 Elm Hill Park,2121.0,Address,53257.0,42.3132,-71.0817,Constituent Call,"(42.3132, -71.0817)"
488578,101001267994,02/02/2015 04:39:04 PM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,32-34 Elm Hill Park  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1202.0,R2,32-34 Elm Hill Park,2121.0,Address,53257.0,42.3132,-71.0817,Constituent Call,"(42.3132, -71.0817)"
489820,101001269451,02/03/2015 09:29:26 AM,,,ONTIME,Open,,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,478 Neponset Ave  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,I,478 Neponset Ave,2122.0,Address,100896.0,42.2856,-71.0408,Constituent Call,"(42.2856, -71.0408)"
