,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
474901,101001248671,01/16/2015 01:36:12 PM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,883-889 Boylston St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,C,883-889 Boylston St,2116.0,Address,162457.0,42.3486,-71.0836,Constituent Call,"(42.3486, -71.0836)"
547255,101001351895,04/08/2015 10:22:06 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,614 Columbus Ave  Roxbury  MA  02118,9.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,CM,614 Columbus Ave,2118.0,Address,36042.0,42.3395,-71.0827,Constituent Call,"(42.3395, -71.0827)"
560243,101001370333,05/05/2015 10:39:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,74 Patten St  Jamaica Plain  MA  02130,12.0,02,6.0,E13,Jamaica Plain,10.0,Ward 19,1907.0,R2,74 Patten St,2130.0,Address,108480.0,42.2931,-71.1142,Constituent Call,"(42.2931, -71.1142)"
569694,101001394339,05/25/2015 08:22:00 PM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,55-57 Pleasant Hill Ave  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1712.0,R2,55-57 Pleasant Hill Ave,2126.0,Address,111303.0,42.2763,-71.0724,Constituent Call,"(42.2763, -71.0724)"
586070,101001418507,06/27/2015 12:48:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,135 Newburg St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2008.0,R1,135 Newburg St,2131.0,Address,101245.0,42.2827,-71.1425,Constituent Call,"(42.2827, -71.1425)"
586442,101001419066,06/29/2015 06:18:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Reed St & Thorndike St  Roxbury  MA,7.0,10B,7.0,D4,Roxbury,13.0,Ward 8,803.0,,INTERSECTION Reed St & Thorndike St,,Intersection,8068.0,42.3333,-71.0787,Constituent Call,"(42.3333, -71.0787)"
600257,101001438014,07/28/2015 12:11:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,3169-3171 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1106.0,,3169-3171 Washington St,2130.0,Address,352045.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
602237,101001500648,07/31/2015 08:22:02 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,31-33 Readville St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,R2,31-33 Readville St,2136.0,Address,114907.0,42.2452,-71.1338,Constituent Call,"(42.2452, -71.1338)"
632725,101001582323,09/18/2015 11:48:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,14 Hazelwood St  Roxbury  MA  02119,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1206.0,R3,14 Hazelwood St,2119.0,Address,72289.0,42.3173,-71.0833,Constituent Call,"(42.3173, -71.0833)"
634726,101001585134,09/22/2015 11:24:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Church St & Melrose St  Boston  MA,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,,INTERSECTION Church St & Melrose St,,Intersection,3010.0,42.3491,-71.0682,Constituent Call,"(42.3491, -71.0682)"
636426,101001597631,09/25/2015 06:12:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,75 Clarendon St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 5,501.0,CM,75 Clarendon St,2116.0,Address,33342.0,42.3472,-71.0732,Constituent Call,"(42.3472, -71.0732)"
645752,101001611369,10/14/2015 04:00:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,11 Belvidere St  Boston  MA  02115,4.0,1C,8.0,D4,Back Bay,14.0,Ward 4,406.0,A,11 Belvidere St,2115.0,Address,14328.0,42.3462,-71.0866,Constituent Call,"(42.3462, -71.0866)"
646583,101001612571,10/15/2015 09:20:24 AM,,10/15/2015 09:21:04 AM,ONTIME,Closed,Case Closed. Closed date : 2015-10-15 09:21:04.697 Case Invalid Incorrect form,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,28 E Springfield St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,R4,28 E Springfield St,2118.0,Address,129817.0,42.3363,-71.0753,Constituent Call,"(42.3363, -71.0753)"
648947,101001615854,10/20/2015 09:39:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Clancy Rd & Washington St  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1704.0,,INTERSECTION Clancy Rd & Washington St,,Intersection,3051.0,42.278,-71.0695,Constituent Call,"(42.278, -71.0695)"
650799,101001618534,10/22/2015 10:58:00 PM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Hazelwood St & Warren St  Roxbury  MA,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1205.0,,INTERSECTION Hazelwood St & Warren St,,Intersection,5839.0,42.3173,-71.0825,Constituent Call,"(42.3173, -71.0825)"
656148,101001626279,11/03/2015 06:26:00 AM,,,ONTIME,Open,,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,15-21 Readville St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820,R4,15-21 Readville St,2136.0,Address,114895.0,42.2451,-71.1343,Constituent Call,"(42.2451, -71.1343)"
