,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470274,101001241928,01/04/2015 01:42:03 PM,,01/05/2015 02:34:34 PM,ONTIME,Closed,Case Closed Case Noted Dirty water due to water main  shut down @ 135 Commonwealth Ave and let back on 1/4/15,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,123 Commonwealth Ave  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,507.0,A,123 Commonwealth Ave,2116.0,Address,37124.0,42.3525,-71.0775,Constituent Call,"(42.3525, -71.0775)"
471860,101001244208,01/08/2015 12:33:29 PM,,01/08/2015 02:43:59 PM,ONTIME,Closed,Case Closed Case Resolved LEAK DETECTION FOUND NO LEAK  TOOK SAMPLE  CAME BACK GROUNDWATER. HYDRANTS OK,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,INTERSECTION of Harleston St & Parker Hill Ave  Mission Hill  MA,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,,INTERSECTION Harleston St & Parker Hill Ave,,Intersection,5640.0,42.3288,-71.1023,Constituent Call,"(42.3288, -71.1023)"
472598,101001245258,01/10/2015 09:23:35 AM,,01/12/2015 02:04:37 PM,ONTIME,Closed,Case Closed Case Resolved SHUT OFF SERVICE FROM S/W 1/10,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,22 Edson St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1708.0,RL,22 Edson St,2124.0,Address,51333.0,42.2869,-71.0776,Constituent Call,"(42.2869, -71.0776)"
472701,101001245423,01/11/2015 09:10:48 AM,,01/22/2015 12:10:02 PM,ONTIME,Closed,Case Closed Case Resolved Replaced hydrant 1/16,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,18 Prairie St  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1803.0,R1,18 Prairie St,2126.0,Address,112476.0,42.281,-71.0988,Constituent Call,"(42.281, -71.0988)"
473717,101001246939,01/14/2015 07:37:52 AM,,01/15/2015 11:52:51 AM,ONTIME,Closed,Case Closed Case Resolved Crew here on 1/14/15  Boston Fire had water off inside basement on arrival.,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,INTERSECTION of O'Neil Pl & Winship St  Brighton  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2203.0,,INTERSECTION O'Neil Pl & Winship St,,Intersection,7680.0,42.347,-71.1519,Constituent Call,"(42.347, -71.1519)"
473897,101001247205,01/14/2015 11:54:08 AM,,01/16/2015 11:13:01 AM,ONTIME,Closed,Case Closed Case Resolved LUTO(LEAKING FIRE PIPE)  FOR 26 WORCESTER ST OWNER NOTIFIED AND PROPERTY POSTED 1/16,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,INTERSECTION of Washington St & W Springfield St  Roxbury  MA,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,,INTERSECTION Washington St & W Springfield St,,Intersection,6047.0,42.337,-71.0763,Constituent Call,"(42.337, -71.0763)"
474938,101001248743,01/16/2015 03:05:18 PM,,01/22/2015 12:10:40 PM,ONTIME,Closed,Case Closed Case Resolved This was a leak on fire pipe @ 26 Worcester St @ West Springfield. Owners contractor repaired 1/20/15,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,100 W Springfield St  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,R3,100 W Springfield St,2118.0,Address,129908.0,42.3375,-71.0772,Constituent Call,"(42.3375, -71.0772)"
475147,101001249046,01/17/2015 06:41:02 PM,,01/27/2015 11:29:43 AM,ONTIME,Closed,Case Closed Case Resolved Dug and found leak is up to owner 1/22 sent notice to owner,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,199 Beech St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2008.0,R1,199 Beech St,2131.0,Address,13149.0,42.2818,-71.1429,Constituent Call,"(42.2818, -71.1429)"
475192,101001249110,01/18/2015 09:48:38 AM,,01/27/2015 11:30:13 AM,ONTIME,Closed,Case Closed Case Resolved Dug and repaired leak 1/21,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,413 E Eighth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,703.0,CM,413 E Eighth St,2127.0,Address,52141.0,42.3312,-71.0445,Constituent Call,"(42.3312, -71.0445)"
475204,101001249128,01/18/2015 11:33:43 AM,,01/20/2015 11:33:46 AM,ONTIME,Closed,Case Closed Case Resolved BWSC lines down and running  crew spoke with owner  internal issue 1/18/15,General Request,Boston Water & Sewer Commission,Administrative & General Requests,BWSC General Request,BWSC_All Cases,BWSC,,,61 I St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,605.0,R3,61 I St,2127.0,Address,77899.0,42.3361,-71.0401,Constituent Call,"(42.3361, -71.0401)"
