,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469730,101001241133,01/02/2015 10:25:02 AM,05/02/2015 10:25:02 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,87 Glenway St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1406.0,R3,87 Glenway St,2121.0,Address,242143.0,42.3,-71.0826,Constituent Call,"(42.3, -71.0826)"
469732,101001241135,01/02/2015 10:28:25 AM,05/02/2015 10:28:25 AM,03/05/2015 02:57:39 PM,ONTIME,Closed,Case Closed VIOLFND: Violation Found,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,1045 River St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1815.0,A,1045 River St,2136.0,Address,298977.0,42.2597,-71.1174,Constituent Call,"(42.2597, -71.1174)"
469852,101001241314,01/02/2015 01:06:06 PM,05/02/2015 01:06:05 PM,03/23/2015 11:00:45 AM,ONTIME,Closed,Case Closed VIOLFND: Violation Found,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,385 Centre St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1604.0,CD,385 Centre St,2122.0,Address,28434.0,42.2948,-71.0573,Constituent Call,"(42.2948, -71.0573)"
470090,101001241679,01/03/2015 01:41:22 PM,05/03/2015 01:41:22 PM,03/05/2015 03:24:23 PM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,15 Selkirk Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2114.0,R2,15 Selkirk Rd,2135.0,Address,125070.0,42.3397,-71.1478,Constituent Call,"(42.3397, -71.1478)"
470907,101001242838,01/06/2015 09:04:21 AM,05/06/2015 09:04:21 AM,03/05/2015 03:23:58 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,124 Sutherland Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2113.0,CD,124 Sutherland Rd,2135.0,Address,132917.0,42.3404,-71.1481,Constituent Call,"(42.3404, -71.1481)"
471529,101001243739,01/07/2015 02:22:40 PM,05/07/2015 02:22:40 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,113 Bunker Hill St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,202.0,E,113 Bunker Hill St,2129.0,Address,199124.0,42.378,-71.059,Constituent Call,"(42.378, -71.059)"
472473,101001245085,01/09/2015 03:04:49 PM,05/09/2015 03:04:49 PM,03/17/2015 02:36:23 PM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,350 Meridian St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,106.0,EA,350 Meridian St,2128.0,Address,274516.0,42.3785,-71.0394,Constituent Call,"(42.3785, -71.0394)"
472905,101001245724,01/12/2015 08:55:40 AM,05/12/2015 08:55:40 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,16 Charlotte St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1407.0,R4,16 Charlotte St,2121.0,Address,29873.0,42.3001,-71.0853,Constituent Call,"(42.3001, -71.0853)"
473361,101001246429,01/13/2015 09:12:11 AM,05/13/2015 09:12:11 AM,01/13/2015 09:14:27 AM,ONTIME,Closed,Case Closed Case Invalid,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,161 Cottage St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,102.0,R4,161 Cottage St,2128.0,Address,43403.0,42.3698,-71.0327,Constituent Call,"(42.3698, -71.0327)"
473368,101001246437,01/13/2015 09:15:45 AM,05/13/2015 09:15:45 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,161 Cottage St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,102.0,R4,161 Cottage St,2128.0,Address,43403.0,42.3698,-71.0327,Constituent Call,"(42.3698, -71.0327)"
473947,101001247269,01/14/2015 12:48:42 PM,05/14/2015 12:48:42 PM,03/20/2015 01:45:55 PM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,324-326 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,324-326 Saratoga St,2128.0,Address,122613.0,42.3787,-71.0312,Constituent Call,"(42.3787, -71.0312)"
474353,101001247866,01/15/2015 12:19:58 PM,05/15/2015 12:19:57 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,5 Dr. Michael Gavin Way  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,07,707.0,E,5 Dr. Michael Gavin Way,2127.0,Address,224453.0,42.3266,-71.0535,Constituent Call,"(42.3266, -71.0535)"
474606,101001248235,01/16/2015 08:09:56 AM,05/16/2015 08:09:55 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,78 Brainerd Rd  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2108.0,A,78 Brainerd Rd,2134.0,Address,19435.0,42.3472,-71.1338,Constituent Call,"(42.3472, -71.1338)"
475027,101001248883,01/16/2015 06:28:49 PM,05/16/2015 06:28:48 PM,03/05/2015 03:40:11 PM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,4 Columbia Ter  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1501.0,R3,4 Columbia Ter,2125.0,Address,35453.0,42.3093,-71.072,Self Service,"(42.3093, -71.072)"
475949,101001249980,01/20/2015 08:42:50 AM,05/20/2015 08:42:50 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,8 Coventry St  Mission Hill  MA  02120,9.0,10B,7.0,D4,Roxbury,13.0,09,904.0,CL,8 Coventry St,2120.0,Address,43862.0,42.3368,-71.0859,Self Service,"(42.3368, -71.0859)"
476000,101001250059,01/20/2015 09:36:32 AM,05/20/2015 09:36:32 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,1035-1039 Tremont St  Mission Hill  MA  02120,9.0,10B,7.0,D4,Roxbury,13.0,Ward 9,904.0,RC,1035-1039 Tremont St,2120.0,Address,136793.0,42.3367,-71.0856,Constituent Call,"(42.3367, -71.0856)"
476080,101001250183,01/20/2015 10:43:58 AM,05/20/2015 10:43:58 AM,02/18/2015 08:36:11 AM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,784 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1709.0,E,784 Washington St,2124.0,Address,332688.0,42.2842,-71.0709,Constituent Call,"(42.2842, -71.0709)"
476208,101001250408,01/20/2015 01:31:19 PM,05/20/2015 01:31:18 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,706 Walk Hill St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1408.0,R3,706 Walk Hill St,2126.0,Address,326414.0,42.2779,-71.0941,Constituent Call,"(42.2779, -71.0941)"
476219,101001250421,01/20/2015 01:38:51 PM,05/20/2015 01:38:51 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,784 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1709.0,E,784 Washington St,2124.0,Address,332688.0,42.2842,-71.0709,Constituent Call,"(42.2842, -71.0709)"
476630,101001251048,01/21/2015 11:19:57 AM,05/21/2015 11:19:57 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,19 Upton St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,R4,19 Upton St,2118.0,Address,324140.0,42.3423,-71.0718,Constituent Call,"(42.3423, -71.0718)"
477369,101001252223,01/22/2015 10:58:42 PM,05/22/2015 10:58:42 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,66 Orchard St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,CD,66 Orchard St,2130.0,Address,105476.0,42.3117,-71.1207,Self Service,"(42.3117, -71.1207)"
477692,101001252781,01/23/2015 03:02:25 PM,05/23/2015 03:02:25 PM,08/03/2015 09:36:04 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-08-03 09:36:04.62 VIOLFND: Violation Found,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,125 Rosseter St  Dorchester  MA  02121,7.0,03,4.0,C11,Dorchester,8.0,14,1404.0,R4,125 Rosseter St,2121.0,Address,301536.0,42.3016,-71.0732,Constituent Call,"(42.3016, -71.0732)"
478475,101001254195,01/26/2015 11:52:56 AM,05/26/2015 11:52:56 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,21 Dean St  Dorchester  MA  02125,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1301.0,R3,21 Dean St,2125.0,Address,222698.0,42.3196,-71.0741,Self Service,"(42.3196, -71.0741)"
482165,101001258689,01/28/2015 02:38:39 PM,05/28/2015 02:38:39 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,125 Rosseter St  Dorchester  MA  02121,7.0,03,4.0,C11,Dorchester,8.0,14,1404.0,R4,125 Rosseter St,2121.0,Address,301536.0,42.3016,-71.0732,Constituent Call,"(42.3016, -71.0732)"
485632,101001263473,01/29/2015 11:52:05 PM,05/29/2015 11:52:05 PM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,44 Parker Hill Ave  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,A,44 Parker Hill Ave,2120.0,Address,290786.0,42.3314,-71.1094,Self Service,"(42.3314, -71.1094)"
485840,101001263869,01/30/2015 09:02:00 AM,05/30/2015 09:02:00 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,233 Beacon St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,507.0,A,233 Beacon St,2116.0,Address,183891.0,42.3537,-71.078,Constituent Call,"(42.3537, -71.078)"
489954,101001269638,02/03/2015 10:06:53 AM,06/03/2015 10:06:53 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,2 Miller Park  Roxbury  MA  02119,7.0,03,7.0,B2,Roxbury,13.0,Ward 8,805.0,R3,2 Miller Park,2119.0,Address,95493.0,42.3232,-71.074,Constituent Call,"(42.3232, -71.074)"
493006,101001274059,02/04/2015 10:46:51 AM,06/04/2015 10:46:50 AM,03/13/2015 09:22:18 AM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,182-200 Brandywyne Dr  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,111.0,A,182-200 Brandywyne Dr,2128.0,Address,341330.0,42.3884,-71.0121,Constituent Call,"(42.3884, -71.0121)"
493061,101001274133,02/04/2015 10:56:40 AM,06/04/2015 10:56:39 AM,,OVERDUE,Open,,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,182-200 Brandywyne Dr  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,111.0,A,182-200 Brandywyne Dr,2128.0,Address,341330.0,42.3884,-71.0121,Constituent Call,"(42.3884, -71.0121)"
497061,101001280285,02/06/2015 12:58:13 PM,06/06/2015 12:58:13 PM,03/05/2015 12:32:13 PM,ONTIME,Closed,Case Closed :,Bed Bugs,Inspectional Services,Housing,Bed Bugs,ISD_Housing (INTERNAL),ISD,,,1800 Soldiers Field Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2212.0,C,1800 Soldiers Field Rd,2135.0,Address,128309.0,42.3587,-71.156,Constituent Call,"(42.3587, -71.156)"
