,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
477043,101001251717,01/22/2015 10:01:22 AM,01/22/2016 10:01:22 AM,01/26/2015 07:31:54 AM,ONTIME,Closed,Case Closed Case Noted no bike at Anderson & Pinckney sts.,Boston Bikes: Bikes - General; Enforcement,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_District 06,BTDT,,,INTERSECTION of Anderson St & Pinckney St  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,503.0,,INTERSECTION Anderson St & Pinckney St,,Intersection,440.0,42.3588,-71.0677,Constituent Call,"(42.3588, -71.0677)"
477048,101001251726,01/22/2015 10:05:53 AM,01/22/2016 10:05:52 AM,01/26/2015 07:29:15 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case duplicate of crm #252165  bike has been tagged.,Boston Bikes: Bikes - General; Enforcement,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_District 06,BTDT,,,INTERSECTION of Anderson St & Myrtle St  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,504.0,,INTERSECTION Anderson St & Myrtle St,,Intersection,439.0,42.3593,-71.0677,Constituent Call,"(42.3593, -71.0677)"
526026,101001321582,03/02/2015 02:38:21 PM,03/01/2016 02:38:20 PM,03/03/2015 10:57:06 AM,ONTIME,Closed,Case Closed Case Noted Thanks for the email.  We have made a note that this needs repair. We will be reviewing all sites with our contractor this spring when the weather clears and they are back up and running and will see if we can fix or replace this rack.    Keep smiling     Nicole Freedman,Boston Bikes: Bike Racks; Repair,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_BostonBikes,BTDT,,,33 Harrison Ave  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,C,33 Harrison Ave,2111.0,Address,247878.0,42.3516,-71.0614,Constituent Call,"(42.3516, -71.0614)"
527234,101001323451,03/04/2015 08:46:00 AM,09/16/2015 01:06:44 PM,11/05/2015 01:36:11 PM,OVERDUE,Closed,Case Closed Case Resolved  The following case has been managed by the Boston Transportation Department. The location has been made safe.,Boston Bikes: Bike Racks; Repair,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_Administration,BTDT,,,375 Centre St  Jamaica Plain  MA  02130,9.0,10A,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,RC,375 Centre St,2130.0,Address,162990.0,42.3225,-71.1089,Constituent Call,"(42.3225, -71.1089)"
530197,101001327972,03/09/2015 02:16:20 PM,03/08/2016 02:16:19 PM,03/12/2015 11:58:35 AM,ONTIME,Closed,Case Closed Case Noted Thanks so much for letting us know this rack is broken. We will be headed out this summer to do repairs on broken racks and hope to fix this one at that time.    Keep smiling     Nicole Freedman,Boston Bikes: Bike Racks; Repair,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_BostonBikes,BTDT,,,3347 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1106.0,,3347 Washington St,2130.0,Address,342017.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
531106,101001329378,03/10/2015 03:53:32 PM,03/09/2016 03:53:32 PM,03/12/2015 11:52:21 AM,ONTIME,Closed,Case Closed Case Noted Thanks so much for the note. We will head out to the area once the snow melts and our contractor is back up and working.    Keep smiling     Nicole Freedman,Boston Bikes: Bike Racks; Maintenance,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_BostonBikes,BTDT,,,749-755 South St  Roslindale  MA  02131,9.0,02,5.0,E5,Roslindale,10.0,Ward 20,2002.0,C,749-755 South St,2131.0,Address,128941.0,42.2872,-71.1291,Constituent Call,"(42.2872, -71.1291)"
535151,101001335282,03/17/2015 03:13:37 PM,03/16/2016 03:13:37 PM,08/11/2015 10:41:16 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-11 10:41:16.623 Case Resolved Racks replaced by contractor.,Boston Bikes: Bike Racks; Repair,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_BostonBikes,BTDT,,,INTERSECTION of Washington St & Stuart St  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Washington St & Stuart St,,Intersection,6067.0,42.3509,-71.063,Constituent Call,"(42.3509, -71.063)"
536356,101001336873,03/19/2015 08:31:00 AM,09/15/2016 01:07:00 PM,11/05/2015 01:36:12 PM,ONTIME,Closed,Case Closed Case Resolved  The following case has been managed by the Boston Transportation Department. The location has been made safe.,Boston Bikes: Bike Racks; Repair,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_Administration,BTDT,,,45 Francis St  Boston  MA  02115,4.0,10A,8.0,B2,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,410.0,E,45 Francis St,2115.0,Address,157693.0,42.3361,-71.1075,Constituent Call,"(42.3361, -71.1075)"
537058,101001337813,03/19/2015 08:27:18 PM,03/18/2016 08:27:06 PM,03/19/2015 08:36:51 PM,ONTIME,Closed,Case Closed Case Invalid Technical Testing,Boston Bikes,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_BostonBikes,BTDT,,,8 Blossom St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,3.0,Ward 3,305.0,CL,8 Blossom St,2114.0,Address,16068.0,42.3614,-71.0671,Constituent Call,"(42.3614, -71.0671)"
537070,101001337829,03/19/2015 09:25:02 PM,03/18/2016 09:25:01 PM,03/19/2015 09:25:51 PM,ONTIME,Closed,Case Closed Case Invalid Technical Testing,Boston Bikes,Transportation - Traffic Division,Boston Bikes,Bicycle Issues,BTDT_BostonBikes,BTDT,,,5 Blossom St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,3.0,Ward 3,305.0,C,5 Blossom St,2114.0,Address,16065.0,42.3618,-71.0666,Constituent Call,"(42.3618, -71.0666)"
