,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470929,101001242870,01/06/2015 09:26:00 AM,09/01/2015 09:26:00 AM,10/06/2015 02:44:14 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-06 14:44:14.607 Case Noted Inspected on 10/6/15 and building was recycling.,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54abf0abd052065cdb4cf140/photo/Report.jpg,,20 Bowdoin Ave  Dorchester  MA  02121,7.0,03,4.0,C11,Dorchester,8.0,Ward 14,1404.0,EA,20 Bowdoin Ave,2121.0,Address,17409.0,42.3027,-71.0756,City Worker App,"(42.3027, -71.0756)"
471120,101001243160,01/06/2015 02:14:04 PM,03/12/2015 02:13:45 PM,01/09/2015 02:11:01 PM,ONTIME,Closed,Case Closed Case Resolved Recycle carts were out curbside on Tuesday 1-6-15 for collection . We will continue to monitor location moving forward.,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,,,45 Westland Ave  Boston  MA  02115,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,A,45 Westland Ave,2115.0,Address,148490.0,42.3439,-71.0881,Employee Generated,"(42.3439, -71.0881)"
473462,101001246578,01/13/2015 11:30:02 AM,03/19/2015 11:29:44 AM,01/16/2015 09:49:54 AM,ONTIME,Closed,Case Closed Case Resolved Recycling carts were out curbside on 1-15-14 for collection. We will continue to monitor going forward.,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,,,612-618 Columbia Rd  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,07,710.0,CM,612-618 Columbia Rd,2125.0,Address,35318.0,42.3177,-71.0645,Employee Generated,"(42.3177, -71.0645)"
476234,101001250442,01/20/2015 01:53:51 PM,03/25/2015 01:53:11 PM,01/30/2015 01:29:30 PM,ONTIME,Closed,Case Closed Case Resolved Recycling placed curbside for collection on  1-27-15. We will continue to monitor location moving forward,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,,,67 Symphony Rd  Boston  MA  02115,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,A,67 Symphony Rd,2115.0,Address,133520.0,42.3433,-71.0893,Employee Generated,"(42.3433, -71.0893)"
476239,101001250449,01/20/2015 01:57:26 PM,03/25/2015 01:56:55 PM,01/30/2015 01:30:31 PM,ONTIME,Closed,Case Closed Case Resolved Recycling was placed out for collection on 1-27-15. We wil continue to monitor moving forward to ensure compliance.,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,,,71 Symphony Rd  Boston  MA  02115,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,A,71 Symphony Rd,2115.0,Address,133523.0,42.3433,-71.0895,Employee Generated,"(42.3433, -71.0895)"
530599,101001328601,03/10/2015 09:10:06 AM,05/13/2015 09:10:05 AM,03/10/2015 12:45:00 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case Case submitted twice,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54feed2ad052dab9f2a83c6a/photo/Report.jpg,,97 Saint Stephen St  Boston  MA  02115,4.0,10A,7.0,D4,Boston,13.0,04,408.0,A,97 Saint Stephen St,2115.0,Address,304992.0,42.3416,-71.0888,City Worker App,"(42.3416, -71.0888)"
530602,101001328605,03/10/2015 09:11:00 AM,09/01/2015 09:11:00 AM,09/29/2015 11:54:43 AM,OVERDUE,Closed,Case Closed Case Noted  Building is recycling as of 9/30/15,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54feed9bd052dab9f2a83c80/photo/Report.jpg,,97 Saint Stephen St  Boston  MA  02115,4.0,10A,7.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,13.0,Ward 4,408.0,A,97 Saint Stephen St,2115.0,Address,121659.0,42.3416,-71.0888,City Worker App,"(42.3416, -71.0888)"
530607,101001328613,03/10/2015 09:14:49 AM,05/13/2015 09:14:49 AM,03/10/2015 12:45:31 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case case submitted twice,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54feee44d052dab9f2a83cb9/photo/Report.jpg,,106-122 Saint Stephen St  Boston  MA  02115,4.0,10A,7.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,13.0,Ward 4,408.0,RC,106-122 Saint Stephen St,2115.0,Address,121558.0,42.3412,-71.0886,City Worker App,"(42.3412, -71.0886)"
530608,101001328614,03/10/2015 09:14:50 AM,05/13/2015 09:14:50 AM,04/03/2015 12:33:25 PM,ONTIME,Closed,Case Closed Case Noted CoB does not collect this address with residential haulers. this address receives a commercial pickup and is not mandated by city ordinace to recycle as other large apartment building are.,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54feee46d052dab9f2a83cca/photo/Report.jpg,,106-122 Saint Stephen St  Boston  MA  02115,4.0,10A,7.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,13.0,Ward 4,408.0,RC,106-122 Saint Stephen St,2115.0,Address,121558.0,42.3412,-71.0886,City Worker App,"(42.3412, -71.0886)"
530927,101001329085,03/10/2015 12:39:02 PM,05/13/2015 12:38:58 PM,04/09/2015 01:59:09 PM,ONTIME,Closed,Case Closed Case Noted Recycling out for collection on 4/9/15. We will continue to monitor going forward.,Big Buildings Recycling (INTERNAL),Public Works Department,Recycling,Big Buildings Recycling (INTERNAL),PWDx_Recycling_BigBuildings,PWDx,,,185-189 Chestnut Hill Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2209.0,CM,185-189 Chestnut Hill Ave,2135.0,Address,31699.0,42.3415,-71.1549,Employee Generated,"(42.3415, -71.1549)"
