,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
512169,101001301192,02/17/2015 12:33:00 PM,,05/12/2015 10:23:01 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-12 10:23:01.583 Case Resolved Called customer said he paid the bill and he is all set.,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,66 Glenellen Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2016.0,R1,66 Glenellen Rd,2132.0,Address,64375.0,42.2686,-71.1629,Constituent Call,"(42.2686, -71.1629)"
539929,101001341702,03/25/2015 12:19:13 PM,,05/11/2015 05:56:12 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-11 17:56:12.85 Case Noted Customer needs to contact BWSC legal for claims form  989-7000,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,147 Harrishof St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1208.0,R2,147 Harrishof St,2121.0,Address,247523.0,42.3177,-71.091,Constituent Call,"(42.3177, -71.091)"
558226,101001367244,04/30/2015 11:50:00 AM,,05/13/2015 01:24:37 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-13 13:24:37.013 Case Noted Internal leaks are the responsibility of the landowner.  Suggest constituent call BWSC customer service to work out payment schedule 617-989-7000.,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,11 Glenhill Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1801.0,R1,11 Glenhill Rd,2126.0,Address,64435.0,42.2783,-71.0821,Constituent Call,"(42.2783, -71.0821)"
566260,101001379175,05/17/2015 01:41:00 PM,,06/03/2015 08:21:44 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-03 08:21:44.99 Case Resolved Repaired leak 5/29,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,81 Richmond St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,CD,81 Richmond St,2109.0,Address,115770.0,42.3627,-71.0533,Constituent Call,"(42.3627, -71.0533)"
580116,101001409661,06/15/2015 10:09:00 AM,,06/15/2015 10:40:03 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-15 10:40:03.64 Case Noted Senior should call customer service Dept. Directly  ask for Kathy (617)989-7000,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,26 Greenwich St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1506.0,R1,26 Greenwich St,2122.0,Address,165808.0,42.3037,-71.0583,Constituent Call,"(42.3037, -71.0583)"
594148,101001429713,07/15/2015 08:16:00 AM,,,ONTIME,Open,,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,89 Moss Hill Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,R1,89 Moss Hill Rd,2130.0,Address,97997.0,42.3085,-71.1247,Constituent Call,"(42.3085, -71.1247)"
600437,101001438259,07/28/2015 10:17:00 AM,,07/29/2015 03:26:25 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-29 15:26:25.123 Case Noted Constituent needs to call (617)989-7000 customer service.  Work out a payment plan or have meter looked at by BWSC.,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,118 Blake St  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1806.0,R1,118 Blake St,2126.0,Address,15854.0,42.2686,-71.1054,Constituent Call,"(42.2686, -71.1054)"
602065,101001500415,07/30/2015 04:39:00 PM,,07/31/2015 10:57:57 AM,ONTIME,Closed,Case Closed. Closed date : 2015-07-31 10:57:57.48 Case Noted Customer needs to call BWSC Customer Service Dept. at 617-989-7000 to work out payment schedule.,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,26 Temple St  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1714.0,R2,26 Temple St,2126.0,Address,134204.0,42.2728,-71.0726,Constituent Call,"(42.2728, -71.0726)"
615346,101001527880,08/22/2015 11:57:00 AM,,,ONTIME,Open,,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,429 W Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,R1,429 W Fourth St,2127.0,Address,60297.0,42.3356,-71.0481,Constituent Call,"(42.3356, -71.0481)"
615865,101001528609,08/24/2015 09:55:00 AM,,,ONTIME,Open,,Billing Complaint,Boston Water & Sewer Commission,Billing,Billing Complaint,BWSC_All Cases,BWSC,,,226 Huntington Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,226 Huntington Ave,2136.0,Address,76503.0,42.2702,-71.1186,Constituent Call,"(42.2702, -71.1186)"
