,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
476031,101001250112,01/20/2015 10:09:50 AM,04/20/2015 10:09:49 AM,02/20/2015 11:45:43 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,14 Harvard Ave  Dorchester  MA  02121,7.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,R4,14 Harvard Ave,2121.0,Address,248539.0,42.2998,-71.0757,Constituent Call,"(42.2998, -71.0757)"
476573,101001250952,01/21/2015 10:23:31 AM,04/21/2015 10:23:31 AM,03/10/2015 09:52:10 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,585 Shawmut Ave  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,E,585 Shawmut Ave,2118.0,Address,310104.0,42.3364,-71.0798,Constituent Call,"(42.3364, -71.0798)"
493085,101001274166,02/04/2015 11:01:21 AM,05/05/2015 11:01:21 AM,03/25/2015 03:34:28 PM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,705 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,9.0,Ward 17,1708.0,R2,705 Washington St,2124.0,Address,146153.0,42.2868,-71.0714,Constituent Call,"(42.2868, -71.0714)"
493121,101001274222,02/04/2015 11:12:20 AM,05/05/2015 11:12:20 AM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,15 Speedwell St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1507.0,R3,15 Speedwell St,2122.0,Address,312966.0,42.3039,-71.0676,Constituent Call,"(42.3039, -71.0676)"
493199,101001274331,02/04/2015 11:33:03 AM,05/05/2015 11:33:03 AM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,105 Draper St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1507.0,R3,105 Draper St,2122.0,Address,226171.0,42.3051,-71.065,Constituent Call,"(42.3051, -71.065)"
493236,101001274392,02/04/2015 11:43:10 AM,05/05/2015 11:43:09 AM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,7 Lorne St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1409.0,R3,7 Lorne St,2124.0,Address,266435.0,42.2934,-71.0898,Constituent Call,"(42.2934, -71.0898)"
493322,101001274507,02/04/2015 12:12:19 PM,05/05/2015 12:12:19 PM,03/26/2015 01:40:52 PM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,9 Lorne St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1409.0,R3,9 Lorne St,2124.0,Address,266437.0,42.2935,-71.0899,Constituent Call,"(42.2935, -71.0899)"
493328,101001274519,02/04/2015 12:13:55 PM,05/05/2015 12:13:55 PM,03/25/2015 03:42:52 PM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,355 Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,355 Chelsea St,2128.0,Address,206189.0,42.3783,-71.0287,Constituent Call,"(42.3783, -71.0287)"
493600,101001274905,02/04/2015 01:41:13 PM,05/05/2015 01:41:13 PM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,42 McNulty Ct  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,202.0,E,42 McNulty Ct,2129.0,Address,167565.0,42.3789,-71.0578,Constituent Call,"(42.3789, -71.0578)"
493617,101001274930,02/04/2015 01:45:37 PM,05/05/2015 01:45:37 PM,04/27/2015 08:49:01 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,39 Mount Pleasant Ave  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,804.0,A,39 Mount Pleasant Ave,2119.0,Address,278744.0,42.327,-71.0797,Constituent Call,"(42.327, -71.0797)"
493626,101001274943,02/04/2015 01:47:34 PM,05/05/2015 01:47:34 PM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,37 Leyland St  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,08,805.0,EA,37 Leyland St,2125.0,Address,264556.0,42.3199,-71.0702,Constituent Call,"(42.3199, -71.0702)"
493630,101001274947,02/04/2015 01:49:31 PM,05/05/2015 01:49:31 PM,03/26/2015 08:44:09 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,0 Saint Richard St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,12,1201.0,E,0 Saint Richard St,2119.0,Address,121487.0,42.3236,-71.0833,Constituent Call,"(42.3236, -71.0833)"
493640,101001274961,02/04/2015 01:51:46 PM,05/05/2015 01:51:46 PM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,924 Jette Ct  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,21,2109.0,,924 Jette Ct,2135.0,Address,347919.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
502458,101001287817,02/11/2015 09:44:43 AM,05/12/2015 09:44:43 AM,03/26/2015 08:56:47 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,585 Shawmut Ave  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,E,585 Shawmut Ave,2118.0,Address,310104.0,42.3364,-71.0798,Constituent Call,"(42.3364, -71.0798)"
502466,101001287830,02/11/2015 09:49:02 AM,05/12/2015 09:49:02 AM,04/30/2015 11:21:49 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,25 Trotter Ct  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,09,903.0,E,25 Trotter Ct,2118.0,Address,170557.0,42.3359,-71.0817,Constituent Call,"(42.3359, -71.0817)"
502476,101001287844,02/11/2015 09:52:33 AM,05/12/2015 09:52:33 AM,04/24/2015 11:35:15 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,453 Old Colony Ave  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,707.0,E,453 Old Colony Ave,2127.0,Address,286677.0,42.3242,-71.0532,Constituent Call,"(42.3242, -71.0532)"
502493,101001287867,02/11/2015 09:57:31 AM,05/12/2015 09:57:31 AM,03/26/2015 08:50:59 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,4049 Washington St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,R3,4049 Washington St,2131.0,Address,331407.0,42.2912,-71.1233,Constituent Call,"(42.2912, -71.1233)"
502507,101001287887,02/11/2015 10:00:16 AM,05/12/2015 10:00:16 AM,06/09/2015 01:58:15 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-06-09 13:58:15.847 :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,69 Vallar Rd  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,E,69 Vallar Rd,2128.0,Address,324272.0,42.3929,-71.0102,Constituent Call,"(42.3929, -71.0102)"
502516,101001287901,02/11/2015 10:03:48 AM,05/12/2015 10:03:48 AM,03/26/2015 09:21:22 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,281 Roxbury St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,EA,281 Roxbury St,2119.0,Address,301820.0,42.3304,-71.094,Constituent Call,"(42.3304, -71.094)"
502524,101001287911,02/11/2015 10:06:42 AM,05/12/2015 10:06:42 AM,03/26/2015 02:15:46 PM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,148 Draper St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1507.0,R3,148 Draper St,2122.0,Address,226230.0,42.3064,-71.0662,Constituent Call,"(42.3064, -71.0662)"
502540,101001287930,02/11/2015 10:11:54 AM,05/12/2015 10:11:54 AM,04/13/2015 10:01:33 AM,ONTIME,Closed,Case Closed :,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,9 Westcott St  Dorchester  MA  02124,8.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1402.0,R2,9 Westcott St,2124.0,Address,334524.0,42.2935,-71.0791,Constituent Call,"(42.2935, -71.0791)"
502550,101001287946,02/11/2015 10:14:46 AM,05/12/2015 10:14:46 AM,,OVERDUE,Open,,Breathe Easy,Inspectional Services,Housing,Breathe Easy,ISD_Housing (INTERNAL),ISD,,,4 Deering Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1414.0,R3,4 Deering Rd,2126.0,Address,223163.0,42.2835,-71.0922,Constituent Call,"(42.2835, -71.0922)"
