,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469872,101001241344,01/02/2015 01:30:55 PM,01/07/2015 01:30:55 PM,01/06/2015 10:07:09 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,100-102 Warren St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1201.0,RC,100-102 Warren St,2119.0,Address,143203.0,42.327,-71.0829,Constituent Call,"(42.327, -71.0829)"
469881,101001241355,01/02/2015 01:42:43 PM,01/07/2015 01:42:43 PM,03/03/2015 09:01:51 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,67 Dakota St  Dorchester  MA  02124,7.0,03,4.0,C11,Dorchester,8.0,Ward 17,1702.0,R3,67 Dakota St,2124.0,Address,45639.0,42.2992,-71.07,Constituent Call,"(42.2992, -71.07)"
469946,101001241467,01/02/2015 03:28:14 PM,01/07/2015 03:28:14 PM,04/06/2015 02:42:15 PM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,161 E Cottage St  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 7,710.0,CD,161 E Cottage St,2125.0,Address,43556.0,42.3206,-71.0626,Constituent Call,"(42.3206, -71.0626)"
469949,101001241475,01/02/2015 03:31:01 PM,01/07/2015 03:31:01 PM,04/08/2015 09:07:03 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,31 Dell Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1813.0,R2,31 Dell Ave,2136.0,Address,47169.0,42.2608,-71.1219,Constituent Call,"(42.2608, -71.1219)"
470454,101001242183,01/05/2015 09:21:20 AM,01/08/2015 09:21:19 AM,03/31/2015 03:44:19 PM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,732 E Eighth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,701.0,CM,732 E Eighth St,2127.0,Address,52429.0,42.3317,-71.0321,Constituent Call,"(42.3317, -71.0321)"
470625,101001242435,01/05/2015 01:13:32 PM,01/08/2015 01:13:32 PM,01/05/2015 01:16:16 PM,ONTIME,Closed,Case Closed Case Invalid Case Invalid,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,44 Hewins St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1406.0,R2,44 Hewins St,2121.0,Address,251327.0,42.3027,-71.0811,Constituent Call,"(42.3027, -71.0811)"
470833,101001242738,01/06/2015 06:42:01 AM,01/09/2015 08:30:00 AM,02/03/2015 09:07:11 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,900 William T Morrissey Blvd  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,16,1607.0,,900 William T Morrissey Blvd,2122.0,Address,156285.0,42.2927,-71.0472,Constituent Call,"(42.2927, -71.0472)"
471116,101001243156,01/06/2015 02:12:22 PM,01/09/2015 02:12:22 PM,04/15/2015 08:37:44 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,95 Berkeley St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 5,501.0,E,95 Berkeley St,2116.0,Address,158197.0,42.3473,-71.0708,Constituent Call,"(42.3473, -71.0708)"
471137,101001243183,01/06/2015 02:41:05 PM,01/09/2015 02:41:04 PM,03/03/2015 09:04:27 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,5 Euclid St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1708.0,R1,5 Euclid St,2124.0,Address,54510.0,42.2887,-71.0717,Constituent Call,"(42.2887, -71.0717)"
471394,101001243530,01/07/2015 10:25:36 AM,01/12/2015 10:25:36 AM,02/03/2015 09:13:05 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,215 Talbot Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 17,1705.0,C,215 Talbot Ave,2124.0,Address,133678.0,42.2917,-71.0776,Constituent Call,"(42.2917, -71.0776)"
471538,101001243755,01/07/2015 03:02:44 PM,01/12/2015 03:02:44 PM,01/07/2015 03:09:09 PM,ONTIME,Closed,Case Closed Case Invalid,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,40 Hancock St  Dorchester  MA  02125,7.0,03,7.0,C11,Dorchester,13.0,Ward 13,1305.0,A,40 Hancock St,2125.0,Address,158890.0,42.3144,-71.0654,Constituent Call,"(42.3144, -71.0654)"
471549,101001243773,01/07/2015 03:19:00 PM,01/12/2015 03:19:00 PM,01/09/2015 08:33:10 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,32 Ashcroft St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,32 Ashcroft St,2130.0,Address,179677.0,42.3202,-71.1137,Constituent Call,"(42.3202, -71.1137)"
471597,101001243837,01/07/2015 05:21:08 PM,01/13/2015 08:30:00 AM,01/09/2015 03:39:31 PM,ONTIME,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,364 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2203.0,RC,364 Washington St,2135.0,Address,329733.0,42.349,-71.1536,Constituent Call,"(42.349, -71.1536)"
472039,101001244454,01/08/2015 04:23:07 PM,01/13/2015 04:23:07 PM,01/16/2015 08:35:58 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,120 W Seventh St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,602.0,CD,120 W Seventh St,2127.0,Address,125626.0,42.336,-71.0532,Constituent Call,"(42.336, -71.0532)"
472041,101001244456,01/08/2015 04:24:23 PM,01/13/2015 04:24:23 PM,01/12/2015 02:21:39 PM,ONTIME,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,26 Kittredge St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 18,1810.0,R3,26 Kittredge St,2131.0,Address,82224.0,42.2841,-71.1291,Constituent Call,"(42.2841, -71.1291)"
472046,101001244461,01/08/2015 04:34:17 PM,01/13/2015 04:34:17 PM,04/03/2015 03:31:42 PM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Franklin St & Hawley St  Boston  MA,3.0,1C,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,,INTERSECTION Franklin St & Hawley St,,Intersection,5087.0,42.3557,-71.0589,Self Service,"(42.3557, -71.0589)"
472169,101001244641,01/09/2015 08:32:57 AM,01/14/2015 08:32:56 AM,01/09/2015 08:36:23 AM,ONTIME,Closed,Case Closed Case Invalid caller wanted to be anonymous,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,281 Huntington Ave  Boston  MA  02115,4.0,10A,7.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,13.0,Ward 4,408.0,C,281 Huntington Ave,2115.0,Address,156904.0,42.342,-71.0865,Constituent Call,"(42.342, -71.0865)"
472171,101001244643,01/09/2015 08:34:56 AM,01/14/2015 08:34:54 AM,01/12/2015 01:54:53 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Building Inspection Request,Inspectional Services,Building,Building Inspection Request,ISD_Building (INTERNAL),ISD,,,281 Huntington Ave  Boston  MA  02115,4.0,10A,7.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,13.0,Ward 4,408.0,C,281 Huntington Ave,2115.0,Address,156904.0,42.342,-71.0865,Constituent Call,"(42.342, -71.0865)"
