,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
478421,101001254066,01/26/2015 10:23:15 AM,01/27/2015 10:23:15 AM,01/26/2015 10:25:56 AM,ONTIME,Closed,Case Closed Case Invalid,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,,,1 City Hall Plz  Boston  MA  02108,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,E,1 City Hall Plz,2108.0,Address,340817.0,42.3601,-71.0579,City Worker App,"(42.3601, -71.0579)"
526960,101001323011,03/03/2015 04:37:06 PM,03/04/2015 04:36:00 PM,03/03/2015 04:37:36 PM,ONTIME,Closed,Case Closed Case Invalid test,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1A: Charlestown,PWDx,,,100 Main St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,CM,100 Main St,2129.0,Address,167256.0,42.374,-71.0635,Employee Generated,"(42.374, -71.0635)"
527250,101001323489,03/04/2015 09:07:37 AM,03/05/2015 09:07:37 AM,03/09/2015 11:38:13 AM,OVERDUE,Closed,Case Closed Case Invalid,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f711a6d0526f9bc999bff0/photo/Report.jpg,,111 Huntington Ave  Boston  MA  02199,4.0,1C,2.0,D4,Back Bay,6.0,Ward 4,402.0,C,111 Huntington Ave,2199.0,Address,76239.0,42.3465,-71.0815,City Worker App,"(42.3465, -71.0815)"
527254,101001323493,03/04/2015 09:07:53 AM,03/05/2015 09:07:53 AM,03/09/2015 11:38:51 AM,OVERDUE,Closed,Case Closed Case Invalid,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f711b5d0526f9bc999bfff/photo/Report.jpg,,111 Huntington Ave  Boston  MA  02199,4.0,1C,2.0,D4,Back Bay,6.0,Ward 4,402.0,C,111 Huntington Ave,2199.0,Address,76239.0,42.3465,-71.0815,City Worker App,"(42.3465, -71.0815)"
527255,101001323494,03/04/2015 09:08:23 AM,03/05/2015 09:08:23 AM,03/09/2015 11:39:17 AM,OVERDUE,Closed,Case Closed Case Invalid,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f711d4d0526f9bc999c00e/photo/Report.jpg,,111 Huntington Ave  Boston  MA  02199,4.0,1C,2.0,D4,Back Bay,6.0,Ward 4,402.0,C,111 Huntington Ave,2199.0,Address,76239.0,42.3465,-71.0815,City Worker App,"(42.3465, -71.0815)"
527974,101001324541,03/05/2015 08:31:14 AM,03/06/2015 08:31:14 AM,03/09/2015 11:42:30 AM,OVERDUE,Closed,Case Closed Case Resolved,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f85aa0d0526f9bc999c01d/photo/Report.jpg,,107 Chandler St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,A,107 Chandler St,2116.0,Address,28624.0,42.3464,-71.0736,City Worker App,"(42.3464, -71.0736)"
527975,101001324543,03/05/2015 08:31:27 AM,03/06/2015 08:31:27 AM,03/09/2015 11:40:23 AM,OVERDUE,Closed,Case Closed Case Noted  duplicate to 1324543,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f85aadd0526f9bc999c02c/photo/Report.jpg,,107 Chandler St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,A,107 Chandler St,2116.0,Address,28624.0,42.3464,-71.0736,City Worker App,"(42.3464, -71.0736)"
527977,101001324546,03/05/2015 08:31:56 AM,03/06/2015 08:31:56 AM,03/09/2015 11:40:53 AM,OVERDUE,Closed,Case Closed Case Noted  duplicate to 1324541,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,,,107 Chandler St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,A,107 Chandler St,2116.0,Address,28624.0,42.3464,-71.0736,City Worker App,"(42.3464, -71.0736)"
528311,101001325036,03/05/2015 12:59:14 PM,03/06/2015 12:59:14 PM,03/05/2015 02:49:10 PM,ONTIME,Closed,Case Closed Case Resolved removed all set,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 09: East Boston,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f89970d0526f9bc999c04a/photo/Report.jpg,,315 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,315 Saratoga St,2128.0,Address,122605.0,42.3783,-71.0313,City Worker App,"(42.3783, -71.0313)"
528312,101001325037,03/05/2015 12:59:27 PM,03/06/2015 12:59:26 PM,03/05/2015 02:48:58 PM,ONTIME,Closed,Case Closed Case Resolved removed all set,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 09: East Boston,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f8997dd0526f9bc999c059/photo/Report.jpg,,315 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,315 Saratoga St,2128.0,Address,122605.0,42.3783,-71.0313,City Worker App,"(42.3783, -71.0313)"
528313,101001325038,03/05/2015 12:59:54 PM,03/06/2015 12:59:54 PM,03/05/2015 02:48:40 PM,ONTIME,Closed,Case Closed Case Resolved removed all set,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 09: East Boston,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54f89999d0526f9bc999c068/photo/Report.jpg,,315 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,315 Saratoga St,2128.0,Address,122605.0,42.3783,-71.0313,City Worker App,"(42.3783, -71.0313)"
530842,101001328980,03/10/2015 12:08:29 PM,03/11/2015 12:08:29 PM,03/10/2015 02:15:40 PM,ONTIME,Closed,Case Closed Case Invalid,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,,,INTERSECTION of Causeway St & Accolon Way  Boston  MA,3.0,1B,8.0,A1,Downtown / Financial District,3.0,Ward 3,305.0,,INTERSECTION Causeway St & Accolon Way,,Intersection,2521.0,42.3658,-71.0607,City Worker App,"(42.3658, -71.0607)"
531511,101001330009,03/11/2015 10:49:56 AM,03/12/2015 10:49:56 AM,03/11/2015 02:55:19 PM,ONTIME,Closed,Case Closed Case Resolved removed,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 10B: Roxbury,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/55005612d052ca9f54f2eb5d/photo/Report.jpg,,6-14 Howard St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,I,6-14 Howard St,2119.0,Address,75583.0,42.3283,-71.0747,City Worker App,"(42.3283, -71.0747)"
531512,101001330010,03/11/2015 10:50:09 AM,03/12/2015 10:50:09 AM,03/11/2015 12:20:59 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 10B: Roxbury,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/5500561fd052ca9f54f2eb6c/photo/Report.jpg,,6-14 Howard St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,I,6-14 Howard St,2119.0,Address,75583.0,42.3283,-71.0747,City Worker App,"(42.3283, -71.0747)"
531513,101001330011,03/11/2015 10:50:37 AM,03/12/2015 10:50:37 AM,03/11/2015 12:20:17 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 10B: Roxbury,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/5500563bd052ca9f54f2eb7b/photo/Report.jpg,,6-14 Howard St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,I,6-14 Howard St,2119.0,Address,75583.0,42.3283,-71.0747,City Worker App,"(42.3283, -71.0747)"
