,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469800,101001241236,01/02/2015 11:36:30 AM,,01/02/2015 12:32:32 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
470545,101001242316,01/05/2015 10:52:57 AM,,01/05/2015 10:54:04 AM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
470577,101001242373,01/05/2015 11:49:35 AM,,01/05/2015 11:51:08 AM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
470729,101001242595,01/05/2015 04:05:08 PM,,01/05/2015 04:08:13 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
470736,101001242602,01/05/2015 04:11:03 PM,,01/05/2015 04:12:52 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471065,101001243077,01/06/2015 12:21:20 PM,,01/06/2015 12:23:42 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471070,101001243085,01/06/2015 12:32:43 PM,,01/06/2015 12:33:39 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471191,101001243254,01/06/2015 03:37:55 PM,,01/06/2015 03:38:43 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471531,101001243741,01/07/2015 02:33:13 PM,,01/07/2015 02:35:28 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471532,101001243743,01/07/2015 02:35:42 PM,,01/07/2015 02:36:42 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471902,101001244264,01/08/2015 01:01:42 PM,,01/08/2015 01:02:59 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471994,101001244380,01/08/2015 02:51:11 PM,,01/08/2015 02:54:42 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472027,101001244442,01/08/2015 03:59:41 PM,,01/08/2015 04:01:19 PM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472292,101001244812,01/09/2015 10:57:53 AM,,01/09/2015 10:58:44 AM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472335,101001244866,01/09/2015 11:30:59 AM,,01/09/2015 11:33:45 AM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
473011,101001245863,01/12/2015 10:11:00 AM,,01/12/2015 10:14:24 AM,ONTIME,Closed,Case Closed Case Resolved Case resolved  information provided.,Call Log,Disability Department,Disability,Call Log,DISB_General_Request,DISB,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
