,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
474809,101001248559,01/16/2015 12:39:01 PM,02/15/2015 12:39:01 PM,,OVERDUE,Open,,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,45 Garden St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,504.0,CD,45 Garden St,2114.0,Address,62511.0,42.36,-71.0671,Self Service,"(42.36, -71.0671)"
498996,101001283235,02/09/2015 12:09:47 PM,03/11/2015 12:09:47 PM,04/08/2015 02:20:31 PM,OVERDUE,Closed,Case Closed :,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,74 Elmont St  Dorchester  MA  02121,7.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,R3,74 Elmont St,2121.0,Address,229977.0,42.2998,-71.078,Constituent Call,"(42.2998, -71.078)"
527217,101001323424,03/04/2015 08:34:08 AM,04/03/2015 08:34:07 AM,03/10/2015 11:38:00 AM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,289 Newbury St  Boston  MA  02115,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,A,289 Newbury St,2115.0,Address,282358.0,42.3492,-71.0849,Constituent Call,"(42.3492, -71.0849)"
550016,101001355750,04/14/2015 09:45:34 AM,05/14/2015 09:45:34 AM,,OVERDUE,Open,,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,60 Myrtle St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,503.0,A,60 Myrtle St,2114.0,Address,160685.0,42.3592,-71.0665,Constituent Call,"(42.3592, -71.0665)"
555368,101001363249,04/24/2015 01:26:23 PM,05/24/2015 01:26:23 PM,,OVERDUE,Open,,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,144 Beacon St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,506.0,CD,144 Beacon St,2116.0,Address,9644.0,42.3549,-71.0755,Self Service,"(42.3549, -71.0755)"
595013,101001430841,07/16/2015 11:01:00 AM,08/15/2015 11:01:37 AM,,OVERDUE,Open,,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,75 Gladeside Ave  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1804.0,R2,75 Gladeside Ave,2126.0,Address,63758.0,42.2733,-71.0866,Constituent Call,"(42.2733, -71.0866)"
595029,101001430859,07/16/2015 11:17:42 AM,08/15/2015 11:17:42 AM,,OVERDUE,Open,,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,310 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,310 Saratoga St,2128.0,Address,305903.0,42.3785,-71.0317,Constituent Call,"(42.3785, -71.0317)"
633576,101001583518,09/20/2015 07:25:00 PM,10/20/2015 07:25:26 PM,,OVERDUE,Open,,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,847 Beacon St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 21,2101.0,CM,847 Beacon St,2215.0,Address,12263.0,42.3468,-71.1034,Constituent Call,"(42.3468, -71.1034)"
640047,101001602784,10/01/2015 01:41:45 PM,10/31/2015 01:41:45 PM,10/05/2015 11:32:32 AM,ONTIME,Closed,Case Closed. Closed date : 2015-10-05 11:32:32.1 :,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,5 Parkman St  Dorchester  MA  02122,7.0,07,3.0,C11,Dorchester,7.0,Ward 16,1601.0,R4,5 Parkman St,2122.0,Address,160017.0,42.2961,-71.0607,Constituent Call,"(42.2961, -71.0607)"
655352,101001625152,11/01/2015 02:05:00 PM,12/01/2015 02:05:06 PM,11/10/2015 11:42:56 AM,ONTIME,Closed,Case Closed. Closed date : 2015-11-10 11:42:56.987 :,Carbon Monoxide,Inspectional Services,Housing,Carbon Monoxide,ISD_Housing (INTERNAL),ISD,,,447 Walnut Ave  Jamaica Plain  MA  02130,9.0,02,7.0,E13,Jamaica Plain,11.0,Ward 11,1105.0,R2,447 Walnut Ave,2130.0,Address,141959.0,42.3121,-71.0975,Constituent Call,"(42.3121, -71.0975)"
