,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469656,101001241038,01/02/2015 09:17:37 AM,,01/02/2015 11:40:05 AM,ONTIME,Closed,Case Closed Case Resolved NO LEAK PUDDLE DUE TO LAY OF LAND INFRONT OF HYD NO NOISE OR LEAK ON HYDRANT 1/2/15,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54a6a87ed052065cdb4cd047/photo/Report.jpg,,730 William T Morrissey Blvd  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1602.0,C,730 William T Morrissey Blvd,2122.0,Address,149929.0,42.2966,-71.0479,City Worker App,"(42.2966, -71.0479)"
469657,101001241039,01/02/2015 09:17:43 AM,,01/02/2015 12:38:23 PM,ONTIME,Closed,Case Closed Case Noted NO LEAK PUDDLE DUE TO LAY OF LAND INFRONT OF HYD NO NOISE OR LEAK ON HYDRANT 1/2/15,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54a6a881d052065cdb4cd05a/photo/Report.jpg,,730 William T Morrissey Blvd  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1602.0,C,730 William T Morrissey Blvd,2122.0,Address,149929.0,42.2966,-71.0479,City Worker App,"(42.2966, -71.0479)"
469682,101001241067,01/02/2015 09:32:40 AM,,05/11/2015 06:50:31 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-11 18:50:31.99 Case Resolved No leaks found 12/12/14  customer on street pumping rain water from cellar.,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54a6ac06d052065cdb4cd11d/photo/Report.jpg,,19 Parkman St  Dorchester  MA  02122,7.0,07,3.0,C11,Dorchester,7.0,Ward 16,1601.0,R1,19 Parkman St,2122.0,Address,108056.0,42.2963,-71.0595,City Worker App,"(42.2963, -71.0595)"
470242,101001241876,01/04/2015 09:04:53 AM,,01/16/2015 11:39:59 AM,ONTIME,Closed,Case Closed Case Resolved CLEANED & DISINFECTED CATCHBASIN. 1/14,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,,,INTERSECTION of Highfield Rd & Metropolitan Ave  Roslindale  MA,12.0,06,5.0,E5,Roslindale,10.0,Ward 18,1810.0,,INTERSECTION Highfield Rd & Metropolitan Ave,,Intersection,6266.0,42.2775,-71.1273,Constituent Call,"(42.2775, -71.1273)"
470741,101001242609,01/05/2015 04:19:00 PM,,11/27/2015 10:38:10 AM,ONTIME,Closed,Case Closed. Closed date : 2015-11-27 10:38:10.723 Case Resolved Contractor repaired CB 4/13,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,,,6 Marion Pl  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,107.0,R1,6 Marion Pl,2128.0,Address,89946.0,42.3792,-71.0387,Constituent Call,"(42.3792, -71.0387)"
471412,101001243552,01/07/2015 10:47:10 AM,,01/08/2015 01:28:22 PM,ONTIME,Closed,Case Closed Case Resolved FLUSHED & DISINFECTED C/B. 1/7,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,,,INTERSECTION of Camden St & Tremont St  Roxbury  MA,9.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,,INTERSECTION Camden St & Tremont St,,Intersection,2387.0,42.3384,-71.082,Constituent Call,"(42.3384, -71.082)"
472830,101001245614,01/12/2015 05:53:37 AM,,03/23/2015 12:41:28 PM,ONTIME,Closed,Case Closed Case Resolved NO NOISE ON HYD  NOT LEAKING 3/19,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54b3a7aed052065cdb4d0f95/photo/Report.jpg,,113 Kenrick St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2204.0,R2,113 Kenrick St,2135.0,Address,260991.0,42.3468,-71.1673,City Worker App,"(42.3468, -71.1673)"
472835,101001245621,01/12/2015 06:48:09 AM,,03/23/2015 12:41:58 PM,ONTIME,Closed,Case Closed Case Resolved NO LEAKING HYDRANT 3/19,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54b3b477d052065cdb4d0fc3/photo/Report.jpg,,2-10 Tremont Pl  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2204.0,R4,2-10 Tremont Pl,2135.0,Address,154803.0,42.3506,-71.1723,City Worker App,"(42.3506, -71.1723)"
475404,101001249398,01/19/2015 03:02:48 PM,,04/06/2015 04:04:52 PM,ONTIME,Closed,Case Closed Case Resolved RODDED AND FREED DI 4/2,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,,,123 London St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,C,123 London St,2128.0,Address,265663.0,42.3733,-71.0388,Constituent Call,"(42.3733, -71.0388)"
476961,101001251580,01/22/2015 08:17:11 AM,,03/27/2015 11:44:18 AM,ONTIME,Closed,Case Closed Case Resolved CLEANED CB 3/26,Catchbasin,Boston Water & Sewer Commission,Catchbasin,Catchbasin,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54c0f851d0522e4ef0e32c4e/photo/Report.jpg,,67 Euston Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2111.0,R3,67 Euston Rd,2135.0,Address,54644.0,42.3433,-71.1458,City Worker App,"(42.3433, -71.1458)"
