,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471762,101001244072,01/08/2015 10:39:26 AM,01/15/2015 10:39:25 AM,01/09/2015 10:53:44 AM,ONTIME,Closed,Case Closed Case Noted  Director of Cemeteries contacted constituent.  This issue will be addressed.  If you have any questions  please contact the Cemetery Division at 617-635-7361.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
500953,101001285638,02/10/2015 01:42:03 PM,02/18/2015 01:42:03 PM,02/13/2015 10:31:02 AM,ONTIME,Closed,Case Closed Case Resolved Snow on sidewalk was removed.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
517414,101001308823,02/20/2015 01:50:15 PM,02/27/2015 01:50:15 PM,02/20/2015 01:52:36 PM,ONTIME,Closed,Case Closed Case Invalid LAGAN failure,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
517419,101001308830,02/20/2015 01:53:24 PM,02/27/2015 01:53:24 PM,05/03/2015 08:21:59 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-03 20:21:59.317 Case Noted,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,INFO_Reallocation From Dept,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
518558,101001310498,02/21/2015 08:24:56 PM,03/02/2015 08:30:00 AM,02/21/2015 08:26:23 PM,ONTIME,Closed,Case Closed Case Invalid,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
521558,101001314984,02/24/2015 05:33:44 PM,03/04/2015 08:30:00 AM,02/25/2015 09:38:42 AM,ONTIME,Closed,Case Closed Case Resolved Person was let out at 5:20pm.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
532687,101001331769,03/12/2015 05:54:18 PM,03/20/2015 08:30:00 AM,03/26/2015 09:35:57 AM,OVERDUE,Closed,Case Closed Case Noted Area was inspected  nothing was found.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,95 Tremont St  Boston  MA  02108,3.0,1B,1.0,A1,Boston,3.0,3,306.0,,95 Tremont St,2108.0,Address,342459.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
538033,101001339172,03/22/2015 01:46:55 PM,03/30/2015 08:30:00 AM,03/26/2015 07:55:42 AM,ONTIME,Closed,Case Closed Case Resolved Area was shoveled and floor boards were put down.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,28 Fairview Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1819.0,,28 Fairview Ave,2136.0,Address,342364.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
553936,101001361286,04/22/2015 10:25:17 AM,04/29/2015 10:25:16 AM,04/23/2015 04:49:41 PM,ONTIME,Closed,Case Closed Case Noted  Director of Cemeteries has been notified.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
557502,101001366191,04/29/2015 09:07:32 AM,05/06/2015 09:07:32 AM,04/29/2015 09:12:26 AM,ONTIME,Closed,Case Closed Case Invalid mistake,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
569258,101001393683,05/23/2015 10:52:00 AM,06/02/2015 08:30:00 AM,05/26/2015 10:35:11 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-26 10:35:11.697 Case Noted Cemetery Division has been notified.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
569446,101001393961,05/24/2015 02:11:36 PM,06/02/2015 08:30:00 AM,05/24/2015 02:15:56 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-24 14:15:56.803 Case Resolved Chris Cook from Parks and Recreation says that the gates are open for Memorial Day Weekend.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
569602,101001394202,05/25/2015 12:55:00 PM,06/02/2015 08:30:00 AM,05/26/2015 10:45:42 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-26 10:45:42.74 Case Noted Director of Cemeteries notified on 5/26/15.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
570289,101001395203,05/26/2015 04:03:00 PM,06/02/2015 04:03:52 PM,05/27/2015 02:07:50 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-27 14:07:50.46 Case Resolved,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
579382,101001408542,06/12/2015 01:41:12 PM,06/19/2015 01:41:12 PM,06/12/2015 02:33:57 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-12 14:33:57.717 Case Noted Cemetery Division has been notified.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
583449,101001414637,06/22/2015 10:47:20 AM,06/29/2015 10:47:20 AM,06/25/2015 10:33:25 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-25 10:33:25.823 Case Noted mt hope reports no vietnam section constituent phone number not working maint requested,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
591962,101001426730,07/10/2015 10:24:00 AM,07/17/2015 10:24:34 AM,10/14/2015 11:15:24 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-14 11:15:24.253 Case Noted Drain was cleaned by contractor on 8/1/15.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
596124,101001432303,07/17/2015 07:42:12 PM,07/27/2015 08:30:00 AM,10/14/2015 11:17:32 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-14 11:17:32.59 Case Noted Tours are allowed  for further information contact Kelly Thomas  Historical Burial Grounds at 617-961-3034.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
600815,101001438742,07/28/2015 03:46:48 PM,08/04/2015 03:47:03 PM,07/31/2015 04:31:46 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-31 16:31:46.367 Case Resolved,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
608796,101001519513,08/12/2015 01:59:15 PM,08/19/2015 02:00:03 PM,08/12/2015 02:01:36 PM,ONTIME,Closed,Case Closed. Closed date : 2015-08-12 14:01:36.917 Case Invalid,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
643664,101001608274,10/08/2015 02:26:00 PM,10/16/2015 02:26:49 PM,,OVERDUE,Open,,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Park Improvement Requests,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
645028,101001610298,10/12/2015 08:04:36 PM,10/20/2015 08:30:00 AM,10/13/2015 10:47:58 AM,ONTIME,Closed,Case Closed Case Noted  Director of Cemeteries has been notified.  The appropriate maintenance will be scheduled.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
645245,101001610649,10/13/2015 10:39:00 AM,10/20/2015 10:39:00 AM,10/13/2015 10:50:32 AM,ONTIME,Closed,Case Closed. Closed date : 2015-10-13 10:50:32.64 Case Noted Director of Cemetery Division has been notified.  Constituent will be contacted.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
653835,101001622944,10/29/2015 12:53:36 AM,11/05/2015 08:30:00 AM,10/29/2015 11:22:16 AM,ONTIME,Closed,Case Closed Case Resolved  Contractor has been notified to secure construction fence.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
654064,101001623286,10/29/2015 10:13:42 AM,11/05/2015 10:13:43 AM,10/29/2015 11:00:00 AM,ONTIME,Closed,Case Closed. Closed date : 2015-10-29 11:00:00.637 Case Noted Contractor will be contacted ASAP.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Twitter,"(0, 0)"
675898,101001664999,12/14/2015 03:20:39 PM,12/21/2015 03:20:39 PM,12/14/2015 03:23:05 PM,ONTIME,Closed,Case Closed. Closed date : 2015-12-14 15:23:05.183 Case Invalid,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
675912,101001665029,12/14/2015 03:42:14 PM,12/21/2015 03:42:14 PM,12/17/2015 09:54:22 AM,ONTIME,Closed,Case Closed. Closed date : 2015-12-17 09:54:22.2 Case Noted Some leaves were removed another clean-up is scheduled for next week.,Cemetery Maintenance Request,Parks & Recreation Department,Cemetery,Cemetery Maintenance Request,PARK_Cemetery Maintenance Request,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
