,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
551905,101001358369,04/16/2015 04:26:12 PM,,04/16/2015 04:26:42 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
552348,101001358997,04/17/2015 01:30:43 PM,,04/17/2015 01:31:18 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
552357,101001359015,04/17/2015 01:37:06 PM,,04/17/2015 01:37:28 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
553599,101001360809,04/21/2015 01:39:50 PM,,04/21/2015 01:40:07 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
553920,101001361265,04/22/2015 10:07:42 AM,,04/22/2015 10:07:59 AM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
554068,101001361464,04/22/2015 01:15:54 PM,,04/22/2015 01:16:07 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
554870,101001362519,04/23/2015 01:12:26 PM,,04/23/2015 01:12:59 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
557746,101001366545,04/29/2015 12:54:23 PM,,04/29/2015 12:54:37 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
557824,101001366675,04/29/2015 03:04:48 PM,,04/29/2015 03:05:09 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
558329,101001367387,04/30/2015 01:35:33 PM,,04/30/2015 01:35:51 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
558881,101001368187,05/01/2015 01:32:53 PM,,05/01/2015 01:33:08 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
559008,101001368380,05/01/2015 04:35:36 PM,,05/01/2015 04:35:58 PM,ONTIME,Closed,Case Closed Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
560951,101001371295,05/06/2015 09:55:58 AM,,,ONTIME,Open,,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
560959,101001371305,05/06/2015 10:06:34 AM,,05/06/2015 10:07:05 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-06 10:07:05.083 Case Closed,Check In,City Hall Truck,Administration,Checkin,CHT_Check_In,CHT_,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
