,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470379,101001242075,01/05/2015 08:21:15 AM,01/12/2015 08:30:00 AM,01/20/2015 08:59:56 AM,OVERDUE,Closed,Case Closed Case Noted Contractor has been informed about truck leaking fluid on street.,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Missed Trash\Recycling\Yard Waste\Bulk Item,PWDx,,,20 Corona St  Dorchester  MA  02124,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1505.0,R3,20 Corona St,2124.0,Address,43154.0,42.3011,-71.071,Constituent Call,"(42.3011, -71.071)"
472341,101001244876,01/09/2015 11:37:06 AM,01/16/2015 11:37:06 AM,01/13/2015 08:06:04 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) investigated and determined the following:    The CIU inspector went to the site and told the contractor he did not have an occupancy permit and had to stop unloading his equipment.    Since he had 5 minutes left we let him finish but told him going forward he needed an occupancy permit and he needed to post 48 hours in advanced.  He did have a police officer on detail.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,9 F St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,705.0,E,9 F St,2127.0,Address,55465.0,42.3335,-71.0514,Constituent Call,"(42.3335, -71.0514)"
473077,101001245964,01/12/2015 11:48:05 AM,01/20/2015 11:48:05 AM,01/16/2015 08:39:31 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector had all the barrels and cones removed from the work site.    Sincerely          Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of F St & W Third St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,,INTERSECTION F St & W Third St,,Intersection,4730.0,42.3376,-71.0468,Constituent Call,"(42.3376, -71.0468)"
473612,101001246809,01/13/2015 04:38:36 PM,01/21/2015 04:38:36 PM,01/14/2015 07:53:41 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Supervisor  Mark Cardarelli called the constituent explaining that the gas company had to temporarily disrupt the gas service while installing the new gas main on Endicott St.  The gas service will be restored today.  The constituent is now aware of this  and no longer has any issues.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,169 Endicott St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,304.0,A,169 Endicott St,2113.0,Address,53828.0,42.3657,-71.0573,Constituent Call,"(42.3657, -71.0573)"
473634,101001246833,01/13/2015 06:03:10 PM,01/22/2015 08:30:00 AM,01/15/2015 07:59:43 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector called the constituent and explained the following:    NSTAR Gas responding to a gas leak on your street activated an emergency permit.    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This proved to be a very difficult repair  resulting in NSTAR Gas working into the night.     The emergency work has now been completed.    The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,804 Hyde Park Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,804 Hyde Park Ave,2136.0,Address,77646.0,42.2723,-71.1198,Constituent Call,"(42.2723, -71.1198)"
473743,101001246977,01/14/2015 08:21:50 AM,01/22/2015 08:30:00 AM,01/16/2015 08:38:25 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector went out to the location and informed the foreman he did not have permission to stockpile equipment  and park the backhoe where he did.    He apologized and removed the stockpile equipment and the backhoe.    The CIU inspector spoke to the constituent and reviewed the above information.    The constituent is satisfied with the response.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of Spurr St & Western Ave  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2202.0,,INTERSECTION Spurr St & Western Ave,,Intersection,8428.0,42.363,-71.1313,Constituent Call,"(42.363, -71.1313)"
473768,101001247016,01/14/2015 08:48:11 AM,01/22/2015 08:48:11 AM,01/15/2015 04:18:36 PM,ONTIME,Closed,Case Closed Case Resolved BWSC responded. Gas line was pulled and repaired. Gas line was not marked on street. Issue was addressed.,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,BWSC_All Cases,BWSC,,,4 Dania Ter  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1801.0,R1,4 Dania Ter,2126.0,Address,46145.0,42.2731,-71.0891,Constituent Call,"(42.2731, -71.0891)"
473995,101001247352,01/14/2015 02:27:25 PM,01/22/2015 02:27:23 PM,01/15/2015 07:56:30 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU called the constituent and explained that National Grid dig safe markings were incorrect and it was National Grids fault not the BWSC contractor.    National Grid made the necessary repairs  and now BWSC can finish the job.    The constituent was satisfied with the explanation.    Sincerely   Mark Cardarelli,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,BWSC_All Cases,BWSC,,,4 Dania Ter  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1801.0,R1,4 Dania Ter,2126.0,Address,46145.0,42.2731,-71.0891,Constituent Call,"(42.2731, -71.0891)"
474319,101001247829,01/15/2015 11:31:50 AM,01/23/2015 11:31:50 AM,01/15/2015 02:50:43 PM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Supervisor  Mark Cardarelli called the constituent  and explained that National Grid activated an emergency permit at 483 Southampton St.      Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This proved to be a very difficult repair  resulting in National Grid working into the night.     The emergency itself has been rectified. They now need to repair the service.     All remaining work will be done during the day.     National Grid has been contacted to repair the plate by no later than this evening.    The CIU will monitor the location.    Sincerely     Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,483 Southampton St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,706.0,C,483 Southampton St,2127.0,Address,129073.0,42.3295,-71.0582,Constituent Call,"(42.3295, -71.0582)"
474728,101001248461,01/16/2015 11:37:35 AM,01/26/2015 11:37:35 AM,01/22/2015 09:20:57 AM,ONTIME,Closed,Case Closed Case Resolved The City does not provide alternative parking areas during the upgrade of your utilities - They are required to work 150 feet at a time and retiurn parking at the end of the shift,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,BTDT_Permits & Special Events,BTDT,,,45 Lanark Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2112.0,R1,45 Lanark Rd,2135.0,Address,83764.0,42.3399,-71.1459,Constituent Call,"(42.3399, -71.1459)"
475069,101001248947,01/17/2015 10:27:25 AM,01/27/2015 08:30:00 AM,01/21/2015 08:06:24 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) contacted the National Grid contractor who installed a new gas main on Ellison Ave and ordered that they replace the edge stone that was removed during the work when they start work back in April.      The CIU has added the location to its data base that tracks unacceptable utility work.     The CIU will monitor the progress of the work.      Mark Cardarelli called the constituent went over his findings.     The City apologizes for the inconvenience for this necessary work.      Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,39 Ellison Ave  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1712.0,R1,39 Ellison Ave,2126.0,Address,52976.0,42.2766,-71.0734,Constituent Call,"(42.2766, -71.0734)"
476395,101001250676,01/20/2015 08:37:52 PM,01/28/2015 08:30:00 AM,08/05/2015 09:43:48 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-08-05 09:43:48.5 Case Noted CASTINGS IN AREA ARE FINE. ONE THAT WAS PITCHED A LITTLE BUT NOT SUNKEN 7/31,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,BWSC_All Cases,BWSC,,,INTERSECTION of Blue Hill Ave & Geneva Ave  Dorchester  MA,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,,INTERSECTION Blue Hill Ave & Geneva Ave,,Intersection,1571.0,42.3087,-71.083,Constituent Call,"(42.3087, -71.083)"
476441,101001250742,01/21/2015 07:56:58 AM,01/28/2015 08:30:00 AM,01/22/2015 07:58:11 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) investigated and determined the following:    Inliner Tech is working for BWSC  is flushing out the water mains on Coffey St.      As of January 21st the contractor had 2 police details and the street was passable.  The CIU Inspector will visit the work site daily to ensure compliance.      The CIU Inspector called the constituent and reviewed the above info.  He also provided his phone number just in case the constituent needed to contact him.    The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of Coffey St & Newhall St  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,,INTERSECTION Coffey St & Newhall St,,Intersection,3166.0,42.2887,-71.0512,Constituent Call,"(42.2887, -71.0512)"
476943,101001251551,01/22/2015 07:41:20 AM,01/29/2015 08:30:00 AM,01/23/2015 08:03:44 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector contacted Feeney Brothers installing the new gas main for National Grid and ordered that they re-do the plates to eliminate the banging.      They did that.      The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of London St & Meridian St  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,,INTERSECTION London St & Meridian St,,Intersection,6922.0,42.3733,-71.039,Constituent Call,"(42.3733, -71.039)"
477063,101001251740,01/22/2015 10:12:12 AM,01/29/2015 10:12:11 AM,01/23/2015 07:51:36 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) investigated and determined the following:    Feeney Brothers working for National Grid is installing a new gas main on Washington St at Herron St.    Mark Cardarelli called the constituent and he stated he is working with Feeney to resolve his issue of the car damage.    Mark stated if he is unhappy with the results to please contact him.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of Heron St & Washington St  Hyde Park  MA,12.0,06,6.0,E18,West Roxbury,10.0,Ward 20,2003.0,,INTERSECTION Heron St & Washington St,,Intersection,5890.0,42.269,-71.1486,Constituent Call,"(42.269, -71.1486)"
477224,101001251976,01/22/2015 01:52:18 PM,01/29/2015 01:52:17 PM,01/23/2015 01:57:17 PM,ONTIME,Closed,Case Closed Case Resolved The Construction Inspection Unit Inspector went to the location and determined the following:    Suffolk Construction is working on Private Property.      He spoke with the general contractor who stated the road would be swept and cleaned up.    There is no call number for the constituent but the contractor stated if the constituent has any problems do not hesitate to talk with someone in the trailer about their concerns.    The City of Boston apologizes for the inconvenience.    Sincerely     Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,240 W Sixth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston,5.0,07,704.0,E,240 W Sixth St,2127.0,Address,128043.0,42.3349,-71.0496,Constituent Call,"(42.3349, -71.0496)"
477272,101001252066,01/22/2015 03:31:54 PM,01/29/2015 03:31:54 PM,01/23/2015 09:05:59 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector called the constituent and left a voice mail  explaining the following:    A resident on your street required utility service work.  The contractor called and had a police detail present during the work.  Sometimes access has to be limited in order for the work to be done.  The police officer will always allow access to a resident on the street.    The work is expected to be completed today.          The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of Warren St & Woodbine St  Roxbury  MA,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1204.0,,INTERSECTION Warren St & Woodbine St,,Intersection,5944.0,42.3198,-71.0814,Constituent Call,"(42.3198, -71.0814)"
477283,101001252085,01/22/2015 03:51:06 PM,01/29/2015 03:51:06 PM,02/05/2015 08:50:12 AM,OVERDUE,Closed,Case Closed Case Noted ISD do not regulate work site bathrooms.. this is a Health Issue.. BPH... you can also dial the number on the station and have them come out to service it.. Hope this helps.,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,ISD_Administrative,ISD,,,41-47 Stuart St  Boston  MA  02116,4.0,1C,2.0,A1,Boston,4.0,03,308.0,C,41-47 Stuart St,2116.0,Address,170053.0,42.3512,-71.0646,Constituent Call,"(42.3512, -71.0646)"
477478,101001252420,01/23/2015 09:54:10 AM,01/30/2015 09:54:09 AM,02/26/2015 10:10:17 AM,OVERDUE,Closed,Case Closed Case Resolved The CIU Inspector spoke to the contractor about following the Citys' rules on working.     If there is still an issue  please don't hesitate to contact me at the number listed below.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,21-23 Hancock St  Boston  MA  02114,3.0,1B,1.0,A1,Beacon Hill,3.0,Ward 3,306.0,CM,21-23 Hancock St,2114.0,Address,68677.0,42.3605,-71.0647,Constituent Call,"(42.3605, -71.0647)"
478315,101001253781,01/26/2015 06:16:35 AM,02/02/2015 08:30:00 AM,01/30/2015 02:29:46 PM,ONTIME,Closed,Case Closed Case Resolved The Construction Inspection Unit (CIU) Inspector went to this location on January 30th and the dumpster had been removed.,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,235 West St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1822.0,R1,235 West St,2136.0,Address,147920.0,42.264,-71.1263,Constituent Call,"(42.264, -71.1263)"
478958,101001254962,01/27/2015 12:35:13 PM,02/03/2015 12:35:13 PM,01/30/2015 09:21:07 AM,ONTIME,Closed,Case Closed Case Resolved Mark Cardarelli called the constituent and was told the snow issue has been resolved.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,3 Goldsmith Pl  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1904.0,R3,3 Goldsmith Pl,2130.0,Address,65133.0,42.317,-71.1123,Constituent Call,"(42.317, -71.1123)"
478966,101001254974,01/27/2015 12:41:30 PM,02/03/2015 12:41:30 PM,01/27/2015 12:46:42 PM,ONTIME,Closed,Case Closed Case Invalid Please see Case #1254976.,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,4 Tiverton Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1801.0,R2,4 Tiverton Rd,2126.0,Address,136088.0,42.2793,-71.0824,Constituent Call,"(42.2793, -71.0824)"
479045,101001255070,01/27/2015 01:35:59 PM,02/03/2015 01:35:59 PM,01/30/2015 09:18:59 AM,ONTIME,Closed,Case Closed Case Resolved Dear Constituent     In all plowing operations the snow is pushed from the street to the curb.  This will allow emergency vehicles and normal traffic to travel safely on our streets.      The driver can not stop and skip over any driveway while plowing.  The City acknowledges your frustration  but please understand that we are plowing your street in the most efficient and effective way.    The driver should have had a flag  and we will remind all drivers of that requirement.   Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Contractor Complaints,Public Works Department,Highway Maintenance,Contractor Complaints,PWDx_Contractor Complaints,PWDx,,,0 W Third St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,CL,0 W Third St,2127.0,Address,135188.0,42.3416,-71.0536,Constituent Call,"(42.3416, -71.0536)"
