,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469729,101001241129,01/02/2015 10:19:50 AM,12/22/2016 10:19:50 AM,01/05/2015 08:42:10 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,14-16 Rockview St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,19,1904.0,,14-16 Rockview St,2130.0,Address,353184.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
469904,101001241392,01/02/2015 02:28:06 PM,12/22/2016 02:28:06 PM,01/09/2015 08:38:02 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,22 Rockview St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1904.0,R2,22 Rockview St,2130.0,Address,117855.0,42.3156,-71.109,Constituent Call,"(42.3156, -71.109)"
470510,101001242267,01/05/2015 10:20:52 AM,12/25/2016 10:20:52 AM,01/07/2015 08:14:51 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,10-12 Barker St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2212.0,R2,10-12 Barker St,2135.0,Address,8185.0,42.3545,-71.1545,Constituent Call,"(42.3545, -71.1545)"
470688,101001242527,01/05/2015 02:51:14 PM,12/25/2016 02:51:13 PM,01/20/2015 10:00:21 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,110 Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,R3,110 Chelsea St,2128.0,Address,30307.0,42.3727,-71.0358,Constituent Call,"(42.3727, -71.0358)"
471110,101001243149,01/06/2015 02:06:51 PM,12/26/2016 02:06:50 PM,03/03/2015 09:03:18 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,559 Ashmont St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,R3,559 Ashmont St,2122.0,Address,5501.0,42.2893,-71.0508,Constituent Call,"(42.2893, -71.0508)"
471123,101001243165,01/06/2015 02:16:33 PM,12/26/2016 02:16:32 PM,01/09/2015 08:36:17 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,145 Marcella St  Roxbury  MA  02119,9.0,10B,7.0,B2,Roxbury,13.0,Ward 11,1101.0,R3,145 Marcella St,2119.0,Address,89546.0,42.3254,-71.0965,Constituent Call,"(42.3254, -71.0965)"
471134,101001243178,01/06/2015 02:34:39 PM,12/26/2016 02:34:39 PM,02/27/2015 03:27:34 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,64 G St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,703.0,R2,64 G St,2127.0,Address,61660.0,42.3339,-71.044,Constituent Call,"(42.3339, -71.044)"
471366,101001243491,01/07/2015 09:25:46 AM,12/27/2016 09:25:45 AM,05/14/2015 03:08:27 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-14 15:08:27.613 NOBASE: No Basis,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Tremont St & Union Park  Roxbury  MA,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,,INTERSECTION Tremont St & Union Park,,Intersection,8549.0,42.3436,-71.0723,Constituent Call,"(42.3436, -71.0723)"
471520,101001243722,01/07/2015 01:49:53 PM,12/27/2016 01:49:53 PM,04/06/2015 02:39:19 PM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,217 M St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,701.0,R3,217 M St,2127.0,Address,88075.0,42.3308,-71.0334,Constituent Call,"(42.3308, -71.0334)"
472159,101001244623,01/09/2015 08:14:06 AM,12/29/2016 08:14:06 AM,01/12/2015 08:15:16 AM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,75 Ruthven St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1209.0,R3,75 Ruthven St,2121.0,Address,120023.0,42.3132,-71.0915,Constituent Call,"(42.3132, -71.0915)"
472162,101001244629,01/09/2015 08:22:20 AM,12/29/2016 08:22:20 AM,01/12/2015 08:27:11 AM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,75 Ruthven St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1209.0,R3,75 Ruthven St,2121.0,Address,120023.0,42.3132,-71.0915,Constituent Call,"(42.3132, -71.0915)"
472458,101001245064,01/09/2015 02:43:57 PM,12/29/2016 02:43:56 PM,01/15/2015 08:28:22 AM,ONTIME,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,9-11 Chestnut Sq  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1904.0,CM,9-11 Chestnut Sq,2130.0,Address,31289.0,42.3154,-71.1069,Constituent Call,"(42.3154, -71.1069)"
472645,101001245329,01/10/2015 02:42:33 PM,12/30/2016 02:42:33 PM,01/14/2015 08:28:37 AM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,80 Frankfort St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,102.0,R4,80 Frankfort St,2128.0,Address,60583.0,42.3712,-71.0339,Constituent Call,"(42.3712, -71.0339)"
473040,101001245901,01/12/2015 10:39:01 AM,01/01/2017 10:39:00 AM,01/29/2015 09:01:05 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,227 Maple St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2020.0,R2,227 Maple St,2132.0,Address,89335.0,42.2936,-71.1591,Constituent Call,"(42.2936, -71.1591)"
473202,101001246202,01/12/2015 04:35:25 PM,01/01/2017 04:35:24 PM,01/15/2015 08:18:04 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Prince St & Salem St  Boston  MA,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,,INTERSECTION Prince St & Salem St,,Intersection,7971.0,42.3652,-71.0555,Constituent Call,"(42.3652, -71.0555)"
473385,101001246458,01/13/2015 09:28:15 AM,01/02/2017 09:28:14 AM,03/02/2015 12:37:19 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,302 K St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,R4,302 K St,2127.0,Address,80556.0,42.3333,-71.0372,Constituent Call,"(42.3333, -71.0372)"
473818,101001247087,01/14/2015 10:00:43 AM,01/03/2017 10:00:42 AM,04/09/2015 03:16:20 PM,ONTIME,Closed,Case Closed NOBASE: No Basis,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,435 E Seventh St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,703.0,CM,435 E Seventh St,2127.0,Address,125276.0,42.332,-71.0425,Constituent Call,"(42.332, -71.0425)"
474383,101001247917,01/15/2015 01:00:01 PM,01/04/2017 01:00:01 PM,04/03/2015 08:45:30 AM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,495 Summer St  Boston  MA  02210,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,E,495 Summer St,2210.0,Address,132021.0,42.3455,-71.0416,Constituent Call,"(42.3455, -71.0416)"
474651,101001248308,01/16/2015 09:32:02 AM,01/05/2017 09:32:02 AM,02/04/2015 10:37:01 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,323 W Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,06,603.0,RL,323 W Fourth St,2127.0,Address,60177.0,42.3376,-71.0514,Constituent Call,"(42.3376, -71.0514)"
474667,101001248351,01/16/2015 10:11:12 AM,01/05/2017 10:11:12 AM,02/04/2015 10:37:49 AM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Seaport Blvd & Sleeper St  Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,,INTERSECTION Seaport Blvd & Sleeper St,,Intersection,8312.0,42.3532,-71.0485,Constituent Call,"(42.3532, -71.0485)"
474900,101001248670,01/16/2015 01:32:55 PM,01/05/2017 01:32:55 PM,01/29/2015 08:41:27 AM,ONTIME,Closed,Case Closed CORR: Corrected,Contractors Complaint,Inspectional Services,Building,Contractors Complaint,ISD_Building (INTERNAL),ISD,,,51 E Concord St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,CM,51 E Concord St,2118.0,Address,41834.0,42.3367,-71.0737,Constituent Call,"(42.3367, -71.0737)"
