,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469886,101001241361,01/02/2015 01:48:05 PM,04/02/2015 01:48:05 PM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,14 Pearl St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1309.0,A,14 Pearl St,2125.0,Address,291713.0,42.3146,-71.0579,Constituent Call,"(42.3146, -71.0579)"
470392,101001242092,01/05/2015 08:31:39 AM,04/05/2015 08:31:39 AM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,31 Edison Grn  Dorchester  MA  02125,7.0,03,2.0,C11,Dorchester,5.0,Ward 7,709.0,R3,31 Edison Grn,2125.0,Address,228336.0,42.3196,-71.0584,Constituent Call,"(42.3196, -71.0584)"
470532,101001242298,01/05/2015 10:35:53 AM,04/05/2015 10:35:53 AM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,27 Fuller St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1711.0,R3,27 Fuller St,2124.0,Address,238659.0,42.2837,-71.0664,Constituent Call,"(42.2837, -71.0664)"
470610,101001242416,01/05/2015 12:53:51 PM,04/05/2015 12:53:50 PM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,111 Fuller St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1711.0,R3,111 Fuller St,2124.0,Address,161204.0,42.2823,-71.071,Constituent Call,"(42.2823, -71.071)"
470932,101001242876,01/06/2015 09:29:12 AM,04/06/2015 09:29:12 AM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,34-36 Ashford St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,R2,34-36 Ashford St,2134.0,Address,5133.0,42.3547,-71.1275,Constituent Call,"(42.3547, -71.1275)"
471283,101001243371,01/06/2015 08:51:21 PM,04/06/2015 08:51:20 PM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,188 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2111.0,R2,188 Washington St,2135.0,Address,329172.0,42.3463,-71.1472,Self Service,"(42.3463, -71.1472)"
471829,101001244170,01/08/2015 12:11:04 PM,04/08/2015 12:11:04 PM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,27 Fuller St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1711.0,R3,27 Fuller St,2124.0,Address,238659.0,42.2837,-71.0664,Constituent Call,"(42.2837, -71.0664)"
472031,101001244446,01/08/2015 04:06:04 PM,04/08/2015 04:06:04 PM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,703-705 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2213.0,R2,703-705 Washington St,2135.0,Address,143683.0,42.3528,-71.1723,Constituent Call,"(42.3528, -71.1723)"
472212,101001244703,01/09/2015 09:20:51 AM,04/09/2015 09:20:50 AM,03/24/2015 02:34:25 PM,ONTIME,Closed,Case Closed :,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,2043 Columbus Ave  Roxbury  MA  02119,9.0,02,7.0,E13,Jamaica Plain,11.0,Ward 11,1105.0,A,2043 Columbus Ave,2119.0,Address,211667.0,42.314,-71.0964,Constituent Call,"(42.314, -71.0964)"
473013,101001245866,01/12/2015 10:12:57 AM,04/12/2015 10:12:57 AM,,OVERDUE,Open,,Cross Metering - Sub-Metering,Inspectional Services,Housing,Cross Metering - Sub-Metering,ISD_Housing (INTERNAL),ISD,,,26 Eastburn St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2209.0,R3,26 Eastburn St,2135.0,Address,227783.0,42.3477,-71.1564,Constituent Call,"(42.3477, -71.1564)"
