,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
493411,101001274649,02/04/2015 12:42:13 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,INTERSECTION of Dudley St & Shirley St  Roxbury  MA,7.0,03,7.0,B2,Roxbury,13.0,Ward 8,805.0,,INTERSECTION Dudley St & Shirley St,,Intersection,4281.0,42.3231,-71.0733,Constituent Call,"(42.3231, -71.0733)"
501094,101001285832,02/10/2015 02:35:11 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,INTERSECTION of Boylston St & Hereford St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,,INTERSECTION Boylston St & Hereford St,,Intersection,1774.0,42.348,-71.0853,Constituent Call,"(42.348, -71.0853)"
502291,101001287547,02/11/2015 08:49:08 AM,,02/11/2015 01:50:13 PM,ONTIME,Closed,Case Closed Case Referred to External Agency No description of problem. Please resubmit if problem persists.,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,21 Walworth St  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2004.0,R1,21 Walworth St,2131.0,Address,142613.0,42.2874,-71.137,Constituent Call,"(42.2874, -71.137)"
508372,101001296372,02/15/2015 04:42:43 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,11 Monponset St  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,9.0,Ward 18,1805.0,R2,11 Monponset St,2126.0,Address,96419.0,42.2639,-71.1001,Constituent Call,"(42.2639, -71.1001)"
508486,101001296493,02/15/2015 05:35:06 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,INTERSECTION of Gallivan Blvd & Granite Ave  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1612.0,,INTERSECTION Gallivan Blvd & Granite Ave,,Intersection,5186.0,42.2826,-71.0557,Constituent Call,"(42.2826, -71.0557)"
510785,101001299272,02/16/2015 05:46:08 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,10 Caspian Way  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1310.0,R1,10 Caspian Way,2125.0,Address,26232.0,42.3101,-71.0507,Constituent Call,"(42.3101, -71.0507)"
510994,101001299531,02/16/2015 07:24:09 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,16-18 Ada St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 19,1910.0,R2,16-18 Ada St,2131.0,Address,289.0,42.281,-71.1224,Constituent Call,"(42.281, -71.1224)"
511006,101001299546,02/16/2015 07:35:46 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,16-18 Ada St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 19,1910.0,R2,16-18 Ada St,2131.0,Address,289.0,42.281,-71.1224,Constituent Call,"(42.281, -71.1224)"
513164,101001302560,02/17/2015 07:01:30 PM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,INTERSECTION of Arborway & South St  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,,INTERSECTION Arborway & South St,,Intersection,513.0,42.3017,-71.1145,Constituent Call,"(42.3017, -71.1145)"
514019,101001303799,02/18/2015 10:32:55 AM,,,ONTIME,Open,,Downed Wire,Mayor's 24 Hour Hotline,Programs,Downed Wire,INFO_Down Wire,INFO,,,104 Topliff St  Dorchester  MA  02122,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1505.0,R1,104 Topliff St,2122.0,Address,136224.0,42.3013,-71.0674,Constituent Call,"(42.3013, -71.0674)"
