,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
521240,101001314524,02/24/2015 01:50:37 PM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,8 Industrial Dr  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1820.0,,8 Industrial Dr,2136.0,Address,352998.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
538249,101001339496,03/23/2015 09:42:24 AM,,03/23/2015 09:55:10 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Charles St & Mount Vernon St  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,511.0,,INTERSECTION Charles St & Mount Vernon St,,Intersection,2787.0,42.3578,-71.0703,Constituent Call,"(42.3578, -71.0703)"
538254,101001339503,03/23/2015 09:45:49 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Charles St & Mount Vernon St  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,511.0,,INTERSECTION Charles St & Mount Vernon St,,Intersection,2787.0,42.3578,-71.0703,Constituent Call,"(42.3578, -71.0703)"
539695,101001341431,03/25/2015 09:58:49 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,143 P St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston,5.0,06,609.0,RC,143 P St,2127.0,Address,156697.0,42.3334,-71.0273,Constituent Call,"(42.3334, -71.0273)"
549248,101001354641,04/13/2015 08:40:26 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1410-1420 Centre St  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2001.0,C,1410-1420 Centre St,2131.0,Address,27568.0,42.2939,-71.1362,Constituent Call,"(42.2939, -71.1362)"
561017,101001371384,05/06/2015 11:01:00 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,55 Huntington Ave  Boston  MA  02199,4.0,1C,2.0,D4,Boston,6.0,04,402.0,,55 Huntington Ave,2199.0,Address,352442.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
565622,101001378259,05/15/2015 10:57:21 AM,,05/15/2015 10:58:29 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-15 10:58:29.267 Case Invalid TEST****,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,5-19 Main St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,CM,5-19 Main St,2129.0,Address,88647.0,42.3725,-71.0617,Constituent Call,"(42.3725, -71.0617)"
580140,101001409693,06/15/2015 10:38:00 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,3 Bardwell St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,R4,3 Bardwell St,2130.0,Address,8173.0,42.3085,-71.116,Constituent Call,"(42.3085, -71.116)"
597435,101001434063,07/21/2015 11:20:00 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,15 Concord Sq  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 4,404.0,CM,15 Concord Sq,2118.0,Address,41582.0,42.3413,-71.0785,Constituent Call,"(42.3413, -71.0785)"
615717,101001528399,08/24/2015 07:00:00 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,28 Exeter St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,507.0,CM,28 Exeter St,2116.0,Address,55336.0,42.3501,-71.0796,Constituent Call,"(42.3501, -71.0796)"
621908,101001546925,09/01/2015 03:47:00 PM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,20 Outlook Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,14,1414.0,E,20 Outlook Rd,2126.0,Address,156539.0,42.2823,-71.095,Constituent Call,"(42.2823, -71.095)"
627168,101001574324,09/10/2015 05:21:00 AM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,217 Bowdoin St  Dorchester  MA  02122,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1502.0,C,217 Bowdoin St,2122.0,Address,156157.0,42.3055,-71.0675,Constituent Call,"(42.3055, -71.0675)"
630534,101001579097,09/15/2015 12:43:00 PM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,352 Massachusetts Ave  Boston  MA  02115,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,RC,352 Massachusetts Ave,2115.0,Address,156786.0,42.3421,-71.0835,Constituent Call,"(42.3421, -71.0835)"
631565,101001580633,09/16/2015 03:52:00 PM,,,ONTIME,Open,,Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,531 Columbia Rd  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 13,1305.0,C,531 Columbia Rd,2125.0,Address,156840.0,42.3154,-71.0663,Constituent Call,"(42.3154, -71.0663)"
