,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469739,101001241151,01/02/2015 10:39:18 AM,12/22/2016 10:39:17 AM,02/03/2015 10:44:00 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,27 Linden St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,R3,27 Linden St,2134.0,Address,86420.0,42.3547,-71.1307,Constituent Call,"(42.3547, -71.1307)"
471082,101001243101,01/06/2015 01:05:36 PM,12/26/2016 01:05:36 PM,03/04/2015 03:45:38 PM,ONTIME,Closed,Case Closed TFA: Tenant Failed Apt\Was Not Home,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,35 Ardale St  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2001.0,R2,35 Ardale St,2131.0,Address,4629.0,42.2913,-71.1339,Constituent Call,"(42.2913, -71.1339)"
472785,101001245547,01/11/2015 03:58:20 PM,12/31/2016 03:58:20 PM,01/14/2015 08:42:41 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Bunker Hill St & Boswell Ln  Charlestown  MA,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,204.0,,INTERSECTION Bunker Hill St & Boswell Ln,,Intersection,2197.0,42.3782,-71.0602,Self Service,"(42.3782, -71.0602)"
473412,101001246497,01/13/2015 09:54:06 AM,01/02/2017 09:54:06 AM,09/18/2015 08:00:13 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-18 08:00:13.963 CORR: Corrected,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,131 Arlington St  Boston  MA  02116,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,C,131 Arlington St,2116.0,Address,4814.0,42.3489,-71.0697,Constituent Call,"(42.3489, -71.0697)"
474393,101001247932,01/15/2015 01:07:48 PM,01/04/2017 01:07:48 PM,08/04/2015 09:31:36 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-04 09:31:36.397 REINSP: Issues Found  Re-Inspection,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,1191 Boylston St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,A,1191 Boylston St,2215.0,Address,18067.0,42.3462,-71.0942,Self Service,"(42.3462, -71.0942)"
491291,101001271596,02/03/2015 05:17:30 PM,01/23/2017 05:17:30 PM,05/08/2015 03:30:40 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-08 15:30:40.72 NOVIO: No Violation Found/No Cause,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,126 Marginal St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,101.0,A,126 Marginal St,2128.0,Address,268528.0,42.3656,-71.0363,Self Service,"(42.3656, -71.0363)"
493989,101001275486,02/04/2015 03:52:25 PM,01/24/2017 03:52:25 PM,02/13/2015 07:41:06 AM,ONTIME,Closed,Case Closed TICKET: Ticket Issued,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,15 Newbury St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,506.0,E,15 Newbury St,2116.0,Address,101352.0,42.3526,-71.0724,Constituent Call,"(42.3526, -71.0724)"
494624,101001276490,02/04/2015 09:53:44 PM,01/24/2017 09:53:44 PM,03/16/2015 03:51:54 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,135 Neponset Ave  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1605.0,CD,135 Neponset Ave,2122.0,Address,100745.0,42.2938,-71.052,Constituent Call,"(42.2938, -71.052)"
495249,101001277485,02/05/2015 10:20:50 AM,01/25/2017 10:20:49 AM,03/19/2015 03:17:17 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,28-30 Hillis Rd  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1819.0,R4,28-30 Hillis Rd,2136.0,Address,74045.0,42.2497,-71.1323,Constituent Call,"(42.2497, -71.1323)"
498801,101001282997,02/09/2015 09:12:16 AM,01/29/2017 09:12:16 AM,02/13/2015 06:58:22 PM,ONTIME,Closed,Case Closed TICKET: Ticket Issued,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,837 River St  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1806.0,A,837 River St,2126.0,Address,116740.0,42.2632,-71.1078,Constituent Call,"(42.2632, -71.1078)"
499168,101001283436,02/09/2015 01:35:36 PM,01/29/2017 01:35:35 PM,03/19/2015 03:26:13 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,64 Burbank St  Boston  MA  02115,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,04,407.0,,64 Burbank St,2115.0,Address,341171.0,42.3443,-71.0888,Constituent Call,"(42.3443, -71.0888)"
499732,101001284095,02/09/2015 05:54:00 PM,01/29/2017 05:54:00 PM,02/19/2015 03:22:54 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Egress,Inspectional Services,Building,Egress,ISD_Building (INTERNAL),ISD,,,1954 Commonwealth Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2116.0,R3,1954 Commonwealth Ave,2135.0,Address,39104.0,42.3386,-71.1562,Self Service,"(42.3386, -71.1562)"
