,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469937,101001241454,01/02/2015 03:14:47 PM,01/09/2015 03:14:47 PM,03/04/2015 08:35:02 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,95 Berkeley St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 5,501.0,E,95 Berkeley St,2116.0,Address,158197.0,42.3473,-71.0708,Constituent Call,"(42.3473, -71.0708)"
471228,101001243299,01/06/2015 04:33:59 PM,01/13/2015 04:33:59 PM,02/19/2015 02:31:08 PM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,418 Talbot Ave  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,8.0,Ward 16,1603.0,R3,418 Talbot Ave,2124.0,Address,133719.0,42.2899,-71.0688,Constituent Call,"(42.2899, -71.0688)"
471537,101001243752,01/07/2015 02:58:01 PM,01/14/2015 02:58:01 PM,01/20/2015 02:42:31 PM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,418 Talbot Ave  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,8.0,Ward 16,1603.0,R3,418 Talbot Ave,2124.0,Address,133719.0,42.2899,-71.0688,Constituent Call,"(42.2899, -71.0688)"
471623,101001243868,01/07/2015 08:05:55 PM,01/15/2015 08:30:00 AM,02/19/2015 08:40:43 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,317 W Third St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,A,317 W Third St,2127.0,Address,319187.0,42.3371,-71.0464,Constituent Call,"(42.3371, -71.0464)"
471639,101001243893,01/08/2015 06:09:19 AM,01/15/2015 08:30:00 AM,02/19/2015 02:29:36 PM,OVERDUE,Closed,Case Closed CORR: Corrected,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,25 Clark St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,A,25 Clark St,2113.0,Address,33460.0,42.365,-71.0525,Constituent Call,"(42.365, -71.0525)"
471650,101001243904,01/08/2015 07:04:22 AM,01/15/2015 08:30:00 AM,01/12/2015 08:00:32 AM,ONTIME,Closed,Case Closed CORR: Corrected,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,27 Wormwood St  Boston  MA  02210,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,C,27 Wormwood St,2210.0,Address,339486.0,42.347,-71.0497,Constituent Call,"(42.347, -71.0497)"
471899,101001244262,01/08/2015 01:00:56 PM,01/15/2015 01:00:55 PM,01/20/2015 08:25:26 AM,OVERDUE,Closed,Case Closed NOACC: Closed-No Access,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,21-23 Beacon St  Boston  MA  02108,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,306.0,,21-23 Beacon St,2108.0,Address,161878.0,42.3583,-71.0624,Constituent Call,"(42.3583, -71.0624)"
472050,101001244466,01/08/2015 04:45:40 PM,01/15/2015 04:45:40 PM,01/15/2015 02:20:35 PM,ONTIME,Closed,Case Closed NOBASE: No Basis,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,18-20 Wrentham St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1606.0,R2,18-20 Wrentham St,2124.0,Address,152982.0,42.2878,-71.063,Constituent Call,"(42.2878, -71.063)"
472104,101001244533,01/08/2015 08:24:23 PM,01/16/2015 08:30:00 AM,01/20/2015 08:40:28 AM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,26 Lake Shore Ct  Brighton  MA  02135,,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2208.0,CD,26 Lake Shore Ct,2135.0,Address,83076.0,42.3456,-71.1709,Constituent Call,"(42.3456, -71.1709)"
472135,101001244579,01/09/2015 03:40:55 AM,01/16/2015 08:30:00 AM,01/12/2015 02:19:41 PM,ONTIME,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Electrical,Inspectional Services,Building,Electrical,ISD_Building (INTERNAL),ISD,,,55 Oakcrest Rd  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,9.0,Ward 18,1805.0,R1,55 Oakcrest Rd,2126.0,Address,104682.0,42.2651,-71.1035,Constituent Call,"(42.2651, -71.1035)"
