,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469510,101001240819,01/01/2015 01:20:33 PM,01/05/2015 08:30:00 AM,01/05/2015 10:04:20 AM,OVERDUE,Closed,Case Closed Case Noted trash can emptied,Park Maintenance: Polcari Park,Public Works Department,Highway Maintenance,Empty Litter Basket,PARK_Maintenance_Region 1,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/54a58fe20485ee8a710d40bf/report.jpg,,585 Commercial St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,302.0,C,585 Commercial St,2109.0,Address,36812.0,42.3679,-71.0578,Citizens Connect App,"(42.3679, -71.0578)"
469542,101001240860,01/01/2015 04:40:40 PM,01/05/2015 08:30:00 AM,01/05/2015 10:05:55 AM,OVERDUE,Closed,Case Closed Case Resolved done,Ground Maintenance: Myrtle Street Play Area,Public Works Department,Highway Maintenance,Empty Litter Basket,PARK_Maintenance_Region 1,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/54a5becc0485ee8a710d4192/photo_20150101_163841.jpg,,INTERSECTION of Irving St & Myrtle St  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,503.0,,INTERSECTION Irving St & Myrtle St,,Intersection,6514.0,42.3593,-71.0664,Citizens Connect App,"(42.3593, -71.0664)"
469549,101001240869,01/01/2015 05:52:26 PM,01/05/2015 08:30:00 AM,01/01/2015 07:33:56 PM,ONTIME,Closed,Case Closed Case Resolved empty,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,PWDx_District 1B: North End,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a5cf9d0485ee8a710d41e3/photo_20150101_174440.jpg,,264-266 Hanover St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,303.0,RC,264-266 Hanover St,2113.0,Address,155960.0,42.3636,-71.0549,Citizens Connect App,"(42.3636, -71.0549)"
469750,101001241166,01/02/2015 10:51:34 AM,01/05/2015 10:51:34 AM,01/05/2015 04:52:35 PM,OVERDUE,Closed,Case Closed Case Resolved it is all set,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,PWDx_Empty Litter Basket,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6be760485ee8a710d45f5/report.jpg,https://cityworker.cityofboston.gov:8443/attachments/report/54a6be8fd052affa7e4928e3/closed_photo/Report.jpg,465 W Broadway  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,RC,465 W Broadway,2127.0,Address,158318.0,42.3357,-71.0463,Citizens Connect App,"(42.3357, -71.0463)"
469770,101001241193,01/02/2015 11:06:34 AM,01/05/2015 11:06:34 AM,01/05/2015 06:55:32 PM,OVERDUE,Closed,Case Closed Case Resolved Completed all trash barrels were  pick up .,Ground Maintenance: Dudley Town Common,Public Works Department,Highway Maintenance,Empty Litter Basket,PARK_Maintenance_Region 5,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54a6c208d052065cdb4cd318/photo/Report.jpg,,2407-2413 Washington St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,E,2407-2413 Washington St,2119.0,Address,144501.0,42.3287,-71.0859,City Worker App,"(42.3287, -71.0859)"
470053,101001241627,01/03/2015 10:49:59 AM,01/06/2015 08:30:00 AM,01/03/2015 12:52:43 PM,ONTIME,Closed,Case Closed Case Resolved barrel changed,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,PWDx_District 1B: North End,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a80f8e04855a39b2f89497/photo_20150103_101443.jpg,,135 Prince St  Boston  MA  02113,3.0,1B,1.0,A1,Boston,3.0,3,303.0,,135 Prince St,2113.0,Address,342060.0,42.3594,-71.0587,Citizens Connect App,"(0, 0)"
470054,101001241630,01/03/2015 11:00:29 AM,01/06/2015 08:30:00 AM,01/03/2015 12:03:39 PM,ONTIME,Closed,Case Closed Case Resolved Barrel changed,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,PWDx_Empty Litter Basket,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a8120004855a39b2f894b0/report.jpg,https://cityworker.cityofboston.gov:8443/attachments/report/54a81221d052affa7e493dcc/closed_photo/Report.jpg,446-456 W Broadway   South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,06,604.0,E,446-456 W Broadway,2127.0,Address,21509.0,42.3363,-71.0466,Citizens Connect App,"(42.3363, -71.0466)"
470057,101001241634,01/03/2015 11:16:18 AM,01/06/2015 08:30:00 AM,,OVERDUE,Open,,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a815b904855a39b2f894ba/report.jpg,,585 Commercial St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,302.0,C,585 Commercial St,2109.0,Address,36812.0,42.3679,-71.0578,Citizens Connect App,"(42.3679, -71.0578)"
470059,101001241637,01/03/2015 11:26:41 AM,01/06/2015 08:30:00 AM,,OVERDUE,Open,,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a8182104855a39b2f894de/report.jpg,,585 Commercial St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,302.0,C,585 Commercial St,2109.0,Address,36812.0,42.3679,-71.0578,Citizens Connect App,"(42.3679, -71.0578)"
470076,101001241660,01/03/2015 12:13:42 PM,01/06/2015 08:30:00 AM,01/03/2015 01:51:18 PM,ONTIME,Closed,Case Closed Case Resolved barrel changed,Empty Litter Basket,Public Works Department,Highway Maintenance,Empty Litter Basket,PWDx_District 1A: Charlestown,PWDx,,,INTERSECTION of Eighth St & First Ave  Charlestown  MA,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,202.0,,INTERSECTION Eighth St & First Ave,,Intersection,4440.0,42.3755,-71.0535,Constituent Call,"(42.3755, -71.0535)"
