,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469690,101001241075,01/02/2015 09:40:42 AM,01/09/2015 09:40:42 AM,01/05/2015 07:48:04 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,61 Elm St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,204.0,R3,61 Elm St,2129.0,Address,53113.0,42.3785,-71.0628,Constituent Call,"(42.3785, -71.0628)"
470693,101001242534,01/05/2015 02:55:29 PM,01/12/2015 02:55:29 PM,01/08/2015 10:20:41 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,64 Cohasset St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2002.0,R2,64 Cohasset St,2131.0,Address,34316.0,42.2844,-71.1315,Self Service,"(42.2844, -71.1315)"
471648,101001243902,01/08/2015 06:58:30 AM,01/15/2015 08:30:00 AM,01/12/2015 11:26:05 AM,ONTIME,Closed,Case Closed PERMIS: Permit Issued,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Kenmore St & Newbury St  Boston  MA,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,510.0,,INTERSECTION Kenmore St & Newbury St,,Intersection,6622.0,42.348,-71.0949,Constituent Call,"(42.348, -71.0949)"
472371,101001244917,01/09/2015 12:16:01 PM,01/16/2015 12:16:01 PM,02/27/2015 03:45:39 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,189 I St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,702.0,R2,189 I St,2127.0,Address,77854.0,42.3317,-71.04,Constituent Call,"(42.3317, -71.04)"
473331,101001246372,01/13/2015 08:16:52 AM,01/21/2015 08:30:00 AM,01/14/2015 09:52:57 AM,ONTIME,Closed,Case Closed PERMIS: Permit Issued,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,521 Shawmut Ave  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,R4,521 Shawmut Ave,2118.0,Address,126430.0,42.3377,-71.0777,Constituent Call,"(42.3377, -71.0777)"
474366,101001247883,01/15/2015 12:37:44 PM,01/23/2015 12:37:44 PM,01/22/2015 03:25:20 PM,ONTIME,Closed,Case Closed CLOSED: Closed/No Permit,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,100 Fulton St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,CC,100 Fulton St,2109.0,Address,61254.0,42.3628,-71.0529,Constituent Call,"(42.3628, -71.0529)"
476160,101001250311,01/20/2015 12:23:09 PM,01/27/2015 12:23:08 PM,01/22/2015 08:27:07 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,17 Pleasant St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1306.0,R3,17 Pleasant St,2125.0,Address,111178.0,42.3175,-71.0594,Constituent Call,"(42.3175, -71.0594)"
484753,101001262134,01/29/2015 02:23:00 PM,02/05/2015 02:23:00 PM,02/25/2015 08:57:18 AM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,10-12 Barker St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2212.0,R2,10-12 Barker St,2135.0,Address,8185.0,42.3545,-71.1545,Constituent Call,"(42.3545, -71.1545)"
513476,101001302998,02/18/2015 06:45:47 AM,02/25/2015 08:30:00 AM,02/19/2015 03:18:37 PM,ONTIME,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,10-18 John Eliot Sq  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,CM,10-18 John Eliot Sq,2119.0,Address,79850.0,42.3294,-71.0903,Constituent Call,"(42.3294, -71.0903)"
522191,101001315926,02/25/2015 11:49:10 AM,03/04/2015 11:49:10 AM,,OVERDUE,Open,,Exceeding Terms of Permit,Inspectional Services,Building,Exceeding Terms of Permit,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Albany St & W Fourth St  Roxbury  MA,4.0,1C,2.0,D4,South Boston / South Boston Waterfront,4.0,Ward 3,308.0,,INTERSECTION Albany St & W Fourth St,,Intersection,215.0,42.343,-71.0625,Constituent Call,"(42.343, -71.0625)"
