,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
479050,101001255075,01/27/2015 01:37:11 PM,,02/02/2015 08:08:53 AM,ONTIME,Closed,Case Closed Case Invalid No eform,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,11 Claxton St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,R3,11 Claxton St,2131.0,Address,33588.0,42.2937,-71.1195,Constituent Call,"(42.2937, -71.1195)"
479051,101001255076,01/27/2015 01:37:36 PM,,02/02/2015 08:09:23 AM,ONTIME,Closed,Case Closed Case Invalid No eform,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,11 Claxton St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,R3,11 Claxton St,2131.0,Address,33588.0,42.2937,-71.1195,Constituent Call,"(42.2937, -71.1195)"
479054,101001255079,01/27/2015 01:38:09 PM,,02/02/2015 08:09:46 AM,ONTIME,Closed,Case Closed Case Invalid No eform,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,11 Claxton St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,R3,11 Claxton St,2131.0,Address,33588.0,42.2937,-71.1195,Constituent Call,"(42.2937, -71.1195)"
479068,101001255096,01/27/2015 01:45:13 PM,,,ONTIME,Open,,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,491-493 Ashmont St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,R2,491-493 Ashmont St,2122.0,Address,5467.0,42.2887,-71.053,Constituent Call,"(42.2887, -71.053)"
479203,101001255250,01/27/2015 03:00:51 PM,,,ONTIME,Open,,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Blue Hill Ave & Gaston St  Dorchester  MA,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,,INTERSECTION Blue Hill Ave & Gaston St,,Intersection,1580.0,42.3132,-71.0797,Constituent Call,"(42.3132, -71.0797)"
479332,101001255404,01/27/2015 03:56:26 PM,,,ONTIME,Open,,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of D St & W Second St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,,INTERSECTION D St & W Second St,,Intersection,3812.0,42.3401,-71.0493,Constituent Call,"(42.3401, -71.0493)"
479412,101001255498,01/27/2015 04:24:31 PM,,02/16/2015 11:03:38 AM,ONTIME,Closed,Case Closed Case Invalid No eForm Attached,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,304 W Third St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,R1,304 W Third St,2127.0,Address,135378.0,42.3373,-71.046,Constituent Call,"(42.3373, -71.046)"
479446,101001255536,01/27/2015 04:32:59 PM,,,ONTIME,Open,,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,112 Hillside St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R3,112 Hillside St,2120.0,Address,74154.0,42.3307,-71.1045,Constituent Call,"(42.3307, -71.1045)"
479454,101001255545,01/27/2015 04:35:01 PM,,02/02/2015 08:15:33 AM,ONTIME,Closed,Case Closed Case Invalid No eform,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,42 Clifford St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,R1,42 Clifford St,2136.0,Address,33921.0,42.2338,-71.131,Constituent Call,"(42.2338, -71.131)"
479862,101001255997,01/27/2015 06:47:27 PM,,,ONTIME,Open,,Fire Department,Mayor's 24 Hour Hotline,Fire Department,Fire Department Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,85 Perkins St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R2,85 Perkins St,2130.0,Address,109556.0,42.3214,-71.1142,Constituent Call,"(42.3214, -71.1142)"
