,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469958,101001241486,01/02/2015 03:45:56 PM,,01/05/2015 08:32:45 AM,ONTIME,Closed,Case Closed Case Resolved Repaired hydrant 1/3/15.,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,805 Parker St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R2,805 Parker St,2120.0,Address,107875.0,42.3288,-71.0992,Constituent Call,"(42.3288, -71.0992)"
473075,101001245961,01/12/2015 11:42:56 AM,,01/12/2015 03:37:04 PM,ONTIME,Closed,Case Closed Case Resolved CREW HAD HYD OPEN FOR BWSC WORK 1/12,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,114 Chesterfield St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,R1,114 Chesterfield St,2136.0,Address,30951.0,42.2424,-71.1398,Constituent Call,"(42.2424, -71.1398)"
474416,101001247967,01/15/2015 01:45:21 PM,,01/21/2015 11:19:54 AM,ONTIME,Closed,Case Closed Case Noted HYD IS ON PRIVATE WAY HYD WAS HIT HYD AND PAINTED RED ON ARRIVAL MAINT DEPT NEEDS TO BE NOTIFIED THE REPAIRS ARE UP TO OWNER. 1/16-CALLED MATTHEW JOHNSON 781-853-8999 AND LEFT MESSSAGE HYDRANT IS PRIVATE   ALSO CALLED MGT CO (JACKLYN MASSEY 617-536-2630 AND EXPLAINED) 1/21,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,319-321 A St  Boston  MA  02210,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,I,319-321 A St,2210.0,Address,155129.0,42.349,-71.049,Constituent Call,"(42.349, -71.049)"
475290,101001249257,01/19/2015 06:43:46 AM,,01/20/2015 11:33:22 AM,ONTIME,Closed,Case Closed Case Resolved Closed hydrant 1/19/15,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,30 Northbourne Rd  Jamaica Plain  MA  02130,12.0,02,6.0,E13,Jamaica Plain,10.0,Ward 19,1912.0,R1,30 Northbourne Rd,2130.0,Address,103778.0,42.2915,-71.1165,Constituent Call,"(42.2915, -71.1165)"
478108,101001253334,01/24/2015 07:21:53 PM,,02/02/2015 11:01:33 AM,ONTIME,Closed,Case Closed Case Resolved Hydrant repaired 1/30,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,14 Rockwood St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,R1,14 Rockwood St,2130.0,Address,117985.0,42.3124,-71.1279,Constituent Call,"(42.3124, -71.1279)"
478240,101001253589,01/25/2015 02:08:22 PM,,01/27/2015 11:27:30 AM,ONTIME,Closed,Case Closed Case Resolved Crew investigated found no knocked over hydrant at this location 1/25,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,INTERSECTION of Anawan Ave & Belgrade Ave  Roslindale  MA,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2008.0,,INTERSECTION Anawan Ave & Belgrade Ave,,Intersection,429.0,42.286,-71.1465,Constituent Call,"(42.286, -71.1465)"
478618,101001254547,01/26/2015 06:43:45 PM,,02/02/2015 11:02:44 AM,ONTIME,Closed,Case Closed Case Resolved Hydrant repaired 1/29,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,12 Marlin Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,R1,12 Marlin Rd,2132.0,Address,91613.0,42.294,-71.1659,Constituent Call,"(42.294, -71.1659)"
478619,101001254548,01/26/2015 06:44:37 PM,,02/02/2015 11:02:14 AM,ONTIME,Closed,Case Closed Case Resolved Hydrant repaired 1/29,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,12 Marlin Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,R1,12 Marlin Rd,2132.0,Address,91613.0,42.294,-71.1659,Constituent Call,"(42.294, -71.1659)"
480868,101001257142,01/28/2015 09:03:45 AM,,02/02/2015 11:04:35 AM,ONTIME,Closed,Case Closed Case Resolved REPAIRED HYDRANT 1/30,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,416 Baker St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,R2,416 Baker St,2132.0,Address,7738.0,42.2833,-71.1697,Constituent Call,"(42.2833, -71.1697)"
483826,101001260818,01/29/2015 09:08:53 AM,,01/29/2015 12:21:39 PM,ONTIME,Closed,Case Closed Case Noted Bwsc on site working at this location has hydrant open 1/29,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,INTERSECTION of Dorchester Ave & Hancock St  Dorchester  MA,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1506.0,,INTERSECTION Dorchester Ave & Hancock St,,Intersection,4154.0,42.308,-71.0583,Constituent Call,"(42.308, -71.0583)"
484702,101001262057,01/29/2015 02:00:11 PM,,03/09/2015 11:54:33 AM,ONTIME,Closed,Case Closed Case Resolved HYDRANT REPAIRED 1/29,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,596 Gallivan Blvd  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,R2,596 Gallivan Blvd,2122.0,Address,165527.0,42.2834,-71.052,Constituent Call,"(42.2834, -71.052)"
487137,101001265939,01/31/2015 01:30:20 PM,,08/21/2015 02:41:39 PM,ONTIME,Closed,Case Closed. Closed date : 2015-08-21 14:41:39.453 Case Resolved Crew dug and cleared snow from hydrant 2/4,Fire Hydrant,Boston Water & Sewer Commission,Fire Hydrant,Fire Hydrant,BWSC_All Cases,BWSC,,,9-11 Lawrence Pl  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2206.0,R2,9-11 Lawrence Pl,2135.0,Address,84568.0,42.3552,-71.1489,Constituent Call,"(42.3552, -71.1489)"
