,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
472136,101001244580,01/09/2015 03:43:23 AM,01/12/2015 08:30:00 AM,01/12/2015 09:00:27 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,277-279 Dartmouth St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,507.0,C,277-279 Dartmouth St,2116.0,Address,158145.0,42.3511,-71.0776,Constituent Call,"(42.3511, -71.0776)"
474582,101001248200,01/16/2015 02:41:51 AM,01/20/2015 08:30:00 AM,01/16/2015 03:19:51 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,899 Boylston St  Boston  MA  02115,4.0,1C,8.0,D4,Back Bay,14.0,05,509.0,,899 Boylston St,2115.0,Address,348061.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
494881,101001276907,02/05/2015 08:03:28 AM,02/06/2015 08:30:00 AM,02/05/2015 10:00:49 AM,ONTIME,Closed,Case Closed Case Invalid No Case Details or eForm,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,425 Massachusetts Ave  Roxbury  MA  02118,9.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,EA,425 Massachusetts Ave,2118.0,Address,92102.0,42.3407,-71.0824,Constituent Call,"(42.3407, -71.0824)"
521179,101001314437,02/24/2015 01:14:09 PM,02/25/2015 01:14:09 PM,02/24/2015 03:25:53 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,867-871 Boylston St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,C,867-871 Boylston St,2116.0,Address,18414.0,42.3487,-71.0834,Constituent Call,"(42.3487, -71.0834)"
537316,101001338186,03/20/2015 10:52:00 AM,03/23/2015 10:52:00 AM,03/23/2015 08:41:59 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,547 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2207.0,RC,547 Washington St,2135.0,Address,156340.0,42.3495,-71.1638,Constituent Call,"(42.3495, -71.1638)"
552120,101001358691,04/17/2015 09:34:22 AM,04/21/2015 09:34:22 AM,04/17/2015 03:47:00 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,5 Redlands Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2018.0,C,5 Redlands Rd,2132.0,Address,115054.0,42.288,-71.1512,Constituent Call,"(42.288, -71.1512)"
558558,101001367735,05/01/2015 05:05:19 AM,05/04/2015 08:30:00 AM,05/01/2015 08:50:23 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,4-28 River St  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1714.0,C,4-28 River St,2126.0,Address,116594.0,42.2719,-71.0697,Constituent Call,"(42.2719, -71.0697)"
565959,101001378756,05/16/2015 04:52:00 AM,05/19/2015 08:30:00 AM,05/19/2015 07:19:53 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-19 07:19:53.377 VIOISS: Violation Filed,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,300 Longwood Ave  Boston  MA  02115,9.0,10A,8.0,B2,Boston,14.0,04,410.0,C,300 Longwood Ave,2115.0,Address,87170.0,42.3369,-71.1054,Constituent Call,"(42.3369, -71.1054)"
589253,101001423014,07/05/2015 01:10:00 AM,07/07/2015 08:30:00 AM,07/07/2015 08:23:53 AM,ONTIME,Closed,Case Closed. Closed date : 2015-07-07 08:23:53.52 NOVIO: No Violation Found/No Cause,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,161 Brighton Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,C,161 Brighton Ave,2134.0,Address,157226.0,42.3533,-71.1324,Constituent Call,"(42.3533, -71.1324)"
610903,101001522172,08/15/2015 10:27:00 PM,08/18/2015 08:30:00 AM,08/19/2015 09:04:24 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-08-19 09:04:24.953 NOVIO: No Violation Found/No Cause,Fire in Food Establishment,Inspectional Services,Health,Fire in Food Establishment,ISD_Health (INTERNAL),ISD,,,405 Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,RC,405 Chelsea St,2128.0,Address,30547.0,42.3798,-71.027,Constituent Call,"(42.3798, -71.027)"
