,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470878,101001242795,01/06/2015 08:27:34 AM,01/08/2015 08:30:00 AM,01/09/2015 08:04:26 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,224 Boston St  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,709.0,RC,224 Boston St,2125.0,Address,156048.0,42.3223,-71.0608,Constituent Call,"(42.3223, -71.0608)"
472182,101001244663,01/09/2015 08:48:56 AM,01/13/2015 08:48:56 AM,01/16/2015 03:09:45 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472188,101001244678,01/09/2015 09:01:30 AM,01/13/2015 09:01:30 AM,01/12/2015 08:42:41 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,78-80 Brighton Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,14.0,Ward 21,2103.0,C,78-80 Brighton Ave,2134.0,Address,156849.0,42.3524,-71.1289,Constituent Call,"(42.3524, -71.1289)"
478344,101001253873,01/26/2015 08:27:34 AM,01/28/2015 08:30:00 AM,01/30/2015 09:13:23 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,555 Talbot Ave  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1709.0,C,555 Talbot Ave,2124.0,Address,156895.0,42.2861,-71.0647,Constituent Call,"(42.2861, -71.0647)"
478362,101001253916,01/26/2015 08:51:58 AM,01/28/2015 08:51:57 AM,02/04/2015 11:13:00 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,26 Oxford St  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,RC,26 Oxford St,2111.0,Address,106209.0,42.3517,-71.0603,Constituent Call,"(42.3517, -71.0603)"
511469,101001300167,02/17/2015 08:36:23 AM,02/19/2015 08:36:23 AM,02/19/2015 06:34:43 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,707 Centre St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1908.0,RC,707 Centre St,2130.0,Address,155915.0,42.3114,-71.1147,Constituent Call,"(42.3114, -71.1147)"
526666,101001322561,03/03/2015 11:15:48 AM,03/05/2015 11:15:48 AM,03/06/2015 08:59:57 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,1746-1748 Washington St  Roxbury  MA  02118,,,0.0,,South End,0.0,08,,,1746-1748 Washington St,2118.0,Address,348891.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
526672,101001322570,03/03/2015 11:23:24 AM,03/05/2015 11:23:24 AM,03/05/2015 08:07:35 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,533 Commonwealth Ave  Boston  MA  02215,4.0,10A,8.0,D4,Boston,14.0,05,510.0,C,533 Commonwealth Ave,2215.0,Address,41056.0,42.3492,-71.0966,Constituent Call,"(42.3492, -71.0966)"
529134,101001326273,03/06/2015 03:15:12 PM,03/10/2015 03:15:12 PM,03/10/2015 09:32:21 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,38 Ash St  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,38 Ash St,2111.0,Address,172565.0,42.3489,-71.0634,Constituent Call,"(42.3489, -71.0634)"
531661,101001330269,03/11/2015 01:18:55 PM,03/13/2015 01:18:55 PM,03/16/2015 08:49:50 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Confirmed,Inspectional Services,Health,Food Alert - Confirmed,ISD_Health (INTERNAL),ISD,,,189-277 Massachusetts Ave  Boston  MA  02115,4.0,10A,7.0,D4,Back Bay,14.0,Ward 4,405.0,RC,189-277 Massachusetts Ave,2115.0,Address,92019.0,42.3453,-71.0872,Constituent Call,"(42.3453, -71.0872)"
