,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469646,101001241022,01/02/2015 09:02:51 AM,01/06/2015 09:02:51 AM,01/02/2015 03:28:05 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
470888,101001242811,01/06/2015 08:49:40 AM,01/08/2015 08:49:40 AM,01/07/2015 10:24:02 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472008,101001244408,01/08/2015 03:22:52 PM,01/12/2015 03:22:52 PM,01/09/2015 03:42:23 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,1744-1750 Centre St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2018.0,C,1744-1750 Centre St,2132.0,Address,27712.0,42.287,-71.1504,Constituent Call,"(42.287, -71.1504)"
472025,101001244440,01/08/2015 03:58:13 PM,01/12/2015 03:58:13 PM,01/12/2015 09:31:18 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472773,101001245532,01/11/2015 03:10:00 PM,01/14/2015 08:30:00 AM,01/14/2015 08:51:24 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,15 N Beacon St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2202.0,CM,15 N Beacon St,2134.0,Address,12560.0,42.3543,-71.1376,Constituent Call,"(42.3543, -71.1376)"
473079,101001245968,01/12/2015 11:54:21 AM,01/14/2015 11:54:21 AM,01/13/2015 03:21:09 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,375 Longwood Ave  Boston  MA  02215,4.0,10A,8.0,B2,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,410.0,C,375 Longwood Ave,2215.0,Address,87182.0,42.34,-71.1083,Constituent Call,"(42.34, -71.1083)"
474635,101001248285,01/16/2015 09:12:46 AM,01/21/2015 09:12:46 AM,01/26/2015 08:33:29 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,1 Legends Way  Boston  MA  02114,3.0,1B,8.0,A1,Boston,3.0,03,,,1 Legends Way,2114.0,Address,352668.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
474648,101001248302,01/16/2015 09:27:04 AM,01/21/2015 09:27:04 AM,02/04/2015 10:02:19 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,3 Beach St  Boston  MA  02111,4.0,1C,2.0,A1,Boston,4.0,03,308.0,C,3 Beach St,2111.0,Address,157523.0,42.3514,-71.0626,Constituent Call,"(42.3514, -71.0626)"
476175,101001250337,01/20/2015 12:44:37 PM,01/22/2015 12:44:37 PM,01/22/2015 09:41:28 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,983-985 Commonwealth Ave  Boston  MA  02215,11.0,04,8.0,D14,Allston / Brighton,14.0,Ward 21,2102.0,E,983-985 Commonwealth Ave,2215.0,Address,41314.0,42.352,-71.1202,Constituent Call,"(42.352, -71.1202)"
476190,101001250371,01/20/2015 01:01:26 PM,01/22/2015 01:01:26 PM,01/22/2015 09:14:17 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Food Alert - Unconfirmed,Inspectional Services,Health,Food Alert - Unconfirmed,ISD_Health (INTERNAL),ISD,,,550 Tremont St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,RC,550 Tremont St,2118.0,Address,137629.0,42.3439,-71.0713,Constituent Call,"(42.3439, -71.0713)"
