,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
474067,101001247466,01/14/2015 04:12:39 PM,02/13/2015 04:11:00 PM,08/26/2015 10:15:51 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-08-26 10:15:51.73 Case Noted We would not be able to do this as part of re-striping because it is a new request. Please call me if you need more info.,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,INFO_Reallocation From Dept,INFO,,,INTERSECTION of Dorchester Ave & Elton St  Dorchester  MA,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1309.0,,INTERSECTION Dorchester Ave & Elton St,,Intersection,4177.0,42.3139,-71.057,Employee Generated,"(42.3139, -71.057)"
478957,101001254961,01/27/2015 12:31:26 PM,02/26/2015 12:31:25 PM,01/28/2015 09:01:03 AM,ONTIME,Closed,Case Closed Case Noted Thank you for contacting the Boston Transportation Department regarding your concerns with the operation and safety concerns of the the intersection and traffic signal at Columbus Avenue and Dartmouth Street.    We are aware of the tragic accident that occurred between a school bus and a pedestrian and his dog.    I want to assure you we are looking at remedies to improve the operation at this intersection.    It is quite challenging due to the traffic volumes  two-way streets on both Dartmouth St and Columbus Avenue  limited geometry to allow widening for turn lanes  and pedestrian volumes as well.      We are in the process of retiming the Back Bay traffic signals and this intersection is part of the study.    Our goal is to come up with a signal phasing that will improve pedestrian safety and accommodate vehicles as well  without causing more backups in your neighborhood.    Currently  the traffic signal has concurrent walks for pedestrians (Walks in the same direction of traffic) and it also has turning arrows from Dartmouth SB to Columbus inbound as well as a right turn arrow from Columbus outbound to Dartmouth northbound.  One issue we have observed is pedestrians crossing Columbus Ave on the east side during the turning arrow phases even though the pedestrian signals display Don't Walk.  They see the traffic signal on Columbus Ave turn red and assume they can walk across  especially from south to north where they cannot see the turning arrows.    The benefit of an exclusive only pedestrian phase (all-walk  all-red for cars) is it is the absolute safest condition for pedestrians.  The downside to an exclusive is it adds delays to the overall intersection causing longer vehicular queues  longer cycle lengths (the amount of time for a signal to serve all approaches before starting over)  and even longer pedestrian delays because a pedestrian will have to wait for other phases to happen before finally receiving the exclusive all-walk.  This can lead to pedestrians becoming impatient and jaywalking  putting themselves in harms way.      Our current plan is to add an exclusive pedestrian phase.  Our study shows the north crosswalk across Dartmouth St is best to only operate under this condition due to the amount of left and right turning vehicles from Columbus Avenue to Dartmouth St NB.  This crosswalk will only turn on during the exclusive pedestrian phase and will display Don't Walk at all other times.  All other crosswalks will also be on during the exclusive pedestrian phase but will remain on during the concurrent traffic phases as well.  We will also eliminate the turn arrows on Dartmouth SB and Columbus outbound to Dartmouth NB  since our analysis shows arrows are not warranted and have a limited effect without a dedicated left-turn lane on to store traffic and there is no room to add one.      A hybrid exclusive/concurrent pedestrian operation should improve pedestrian safety but also not increase pedestrian delay too much overall.    I hope I explained our understanding of the situation and our plan that we hope to enact in Spring 2015 (some of the improvements require restriping and we must wait until after the winter).  Before then we will be making some adjustments to yellow/red times and pedestrian times to the way the signal currently operates.,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Engineering_New Sign and Pavement Marking Requests,BTDT,,,INTERSECTION of Columbus Ave & Dartmouth St  Boston  MA,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,,INTERSECTION Columbus Ave & Dartmouth St,,Intersection,3300.0,42.3458,-71.0752,Constituent Call,"(42.3458, -71.0752)"
487769,101001266947,02/02/2015 08:40:15 AM,03/04/2015 08:40:13 AM,03/11/2015 02:39:23 PM,OVERDUE,Closed,Case Closed Case Noted This location  is being evaluated as part of a retiming project in this area.,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Engineering_Request for Traffic Signal Study or Review,BTDT,,,INTERSECTION of Columbus Ave & Dartmouth St  Boston  MA,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,,INTERSECTION Columbus Ave & Dartmouth St,,Intersection,3300.0,42.3458,-71.0752,Constituent Call,"(42.3458, -71.0752)"
504674,101001291156,02/12/2015 12:09:13 PM,03/14/2015 12:09:12 PM,03/20/2015 09:27:01 AM,OVERDUE,Closed,Case Closed Case Resolved Work completed 3/20/15.,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Sign Shop_Sign Installation,BTDT,,,28-30A Warren St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,08,804.0,R3,28-30A Warren St,2119.0,Address,170946.0,42.331,-71.0812,Constituent Call,"(42.331, -71.0812)"
522593,101001316474,02/25/2015 04:13:14 PM,03/27/2015 04:13:14 PM,02/26/2015 09:38:49 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case Refer to Case 101001295619,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Engineering_New Sign and Pavement Marking Requests,BTDT,,,22 Sussex St  Mission Hill  MA  02120,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,R1,22 Sussex St,2120.0,Address,132853.0,42.3359,-71.0836,Constituent Call,"(42.3359, -71.0836)"
523777,101001318182,02/26/2015 04:35:40 PM,03/28/2015 04:35:40 PM,04/01/2015 12:05:54 PM,OVERDUE,Closed,"Case Closed Case Noted There is a traffic signal at Brookline Avenue & Fullerton Street which uses a concurrent pedestrian scheme.  This scheme is advocated by pedestrian groups like ""WALK BOSTON"" this scheme diminishes delays for both pedestrians and vehicles alike.  There warning signs that advise the driver to ""YIELD TO PEDESTRIANS ON TURN"" as well as ""WATCH FOR TURNING VEHICLES"".",General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Engineering_Request for Traffic Signal Study or Review,BTDT,,,INTERSECTION of Brookline Ave & Fullerton St  Boston  MA,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 21,2101.0,,INTERSECTION Brookline Ave & Fullerton St,,Intersection,2069.0,42.3449,-71.101,Constituent Call,"(42.3449, -71.101)"
525668,101001321091,03/02/2015 10:36:48 AM,04/01/2015 10:36:00 AM,,OVERDUE,Open,,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Pavement Marking_Workorders from Engineering,BTDT,,,INTERSECTION of Gallivan Blvd & Hallet St  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,,INTERSECTION Gallivan Blvd & Hallet St,,Intersection,5197.0,42.284,-71.0467,Employee Generated,"(42.284, -71.0467)"
531730,101001330371,03/11/2015 02:31:41 PM,04/10/2015 02:31:41 PM,03/12/2015 04:35:10 PM,ONTIME,Closed,Case Closed Case Resolved VEHICLES TAGGED.,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Parking Enforcement,BTDT,,,658 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,17,1706.0,RC,658 Washington St,2124.0,Address,332547.0,42.2889,-71.0709,Constituent Call,"(42.2889, -71.0709)"
535083,101001335192,03/17/2015 02:24:10 PM,04/16/2015 02:24:10 PM,03/18/2015 05:47:58 PM,ONTIME,Closed,Case Closed Case Invalid no info included,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,INFO_Reallocation From Dept,INFO,,,10-12 Barker St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2212.0,R2,10-12 Barker St,2135.0,Address,8185.0,42.3545,-71.1545,Constituent Call,"(42.3545, -71.1545)"
538931,101001340411,03/24/2015 09:35:00 AM,04/23/2015 09:35:00 AM,05/26/2015 10:01:59 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-26 10:01:59.257 Case Noted,General Traffic Engineering Request,Transportation - Traffic Division,Traffic Management & Engineering,General Traffic Engineering Request,BTDT_Engineering_New Sign and Pavement Marking Requests,BTDT,,,INTERSECTION of Congress St & Quaker Ln  Boston  MA,3.0,1C,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,,INTERSECTION Congress St & Quaker Ln,,Intersection,3432.0,42.358,-71.0565,Employee Generated,"(42.358, -71.0565)"
