,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469482,101001240782,01/01/2015 10:37:47 AM,01/08/2015 10:37:47 AM,01/02/2015 02:05:11 PM,ONTIME,Closed,Case Closed Case Resolved Case has been completed  Graffiti has been removed,Graffiti: 06  0606  Racial,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,,615 E Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston,5.0,06,606.0,CM,615 E Fourth St,2127.0,Address,164780.0,42.3345,-71.0398,Constituent Call,"(42.3345, -71.0398)"
469492,101001240796,01/01/2015 11:55:58 AM,03/10/2015 08:30:00 AM,01/06/2015 08:50:05 AM,ONTIME,Closed,Case Closed Case Noted have put on file,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,BTDT_Traffic Signal_Graffiti,BTDT,,,INTERSECTION of Boston St & Washburn St  Dorchester  MA,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,708.0,,INTERSECTION Boston St & Washburn St,,Intersection,1668.0,42.3259,-71.0589,Citizens Connect App,"(42.3259, -71.0589)"
469513,101001240822,01/01/2015 01:25:36 PM,03/10/2015 08:30:00 AM,,OVERDUE,Open,,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a591140485ee8a710d40ce/report.jpg,,INTERSECTION of Commonwealth Ave & Charlesgate  Boston  MA,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,510.0,,INTERSECTION Commonwealth Ave & Charlesgate,,Intersection,3390.0,42.3488,-71.0923,Citizens Connect App,"(42.3488, -71.0923)"
469533,101001240847,01/01/2015 03:06:51 PM,03/10/2015 08:30:00 AM,,OVERDUE,Open,,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a5a8cd0485ee8a710d415b/report.jpg,,52 Westland Ave  Boston  MA  02115,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,A,52 Westland Ave,2115.0,Address,148492.0,42.3434,-71.0882,Citizens Connect App,"(42.3434, -71.0882)"
469540,101001240856,01/01/2015 04:15:33 PM,03/10/2015 08:30:00 AM,,OVERDUE,Open,,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a5b8e90485ee8a710d4178/report.jpg,,INTERSECTION of Huntington Ave & Jamaicaway  Jamaica Plain  MA,,,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,,INTERSECTION Huntington Ave & Jamaicaway,,Intersection,6416.0,42.3319,-71.113,Citizens Connect App,"(42.3319, -71.113)"
469543,101001240861,01/01/2015 04:57:32 PM,03/10/2015 08:30:00 AM,01/06/2015 08:49:41 AM,ONTIME,Closed,Case Closed Case Noted have put on file,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,BTDT_Traffic Signal_Graffiti,BTDT,https://mayors24.cityofboston.gov/media/boston/report/photos/54a5c2bc0485ee8a710d41a2/report.jpg,,437 Shawmut Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 9,901.0,CM,437 Shawmut Ave,2118.0,Address,126273.0,42.3397,-71.0748,Citizens Connect App,"(42.3397, -71.0748)"
469568,101001240898,01/01/2015 10:33:05 PM,03/10/2015 08:30:00 AM,03/12/2015 10:32:14 AM,OVERDUE,Closed,Case Closed Case Resolved Graffiti has been removed,Graffiti: Ward 11  1109,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,https://mayors24.cityofboston.gov/media/boston/report/photos/54a611670485ee8a710d42bc/report.jpg,,86-90 South St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1109.0,RC,86-90 South St,2130.0,Address,128985.0,42.3067,-71.1151,Citizens Connect App,"(42.3067, -71.1151)"
469718,101001241117,01/02/2015 10:07:10 AM,01/08/2015 10:07:10 AM,01/23/2015 07:57:09 AM,OVERDUE,Closed,Case Closed Case Resolved Graffiti has been removed  Case has been resolved,Graffiti: Ward 19  1913  Profane Text,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,,INTERSECTION of Florence St & Seanar Rd  Roslindale  MA,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1913.0,,INTERSECTION Florence St & Seanar Rd,,Intersection,4959.0,42.2876,-71.1221,Citizens Connect App,"(42.2876, -71.1221)"
469720,101001241119,01/02/2015 10:11:53 AM,03/10/2015 10:11:53 AM,01/06/2015 02:15:20 PM,ONTIME,Closed,Case Closed Case Resolved remove graffiti,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PARK_Maintenance_Trades,PARK,,,27 Stellman Rd  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1913.0,R3,27 Stellman Rd,2131.0,Address,314344.0,42.2891,-71.1232,Citizens Connect App,"(42.2891, -71.1232)"
469863,101001241331,01/02/2015 01:18:49 PM,03/10/2015 01:18:49 PM,,OVERDUE,Open,,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6e0fd0485ee8a710d4806/report.jpg,,394 Riverway  Boston  MA  02115,4.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,CD,394 Riverway,2115.0,Address,117166.0,42.3322,-71.1124,Citizens Connect App,"(42.3322, -71.1124)"
469865,101001241334,01/02/2015 01:20:11 PM,03/10/2015 01:20:11 PM,01/02/2015 02:10:12 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case 101001241331 Duplicate case #,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6e14f0485ee8a710d4811/report.jpg,,394 Riverway  Boston  MA  02115,4.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,CD,394 Riverway,2115.0,Address,117166.0,42.3322,-71.1124,Citizens Connect App,"(42.3322, -71.1124)"
469868,101001241338,01/02/2015 01:21:56 PM,03/10/2015 01:21:56 PM,,OVERDUE,Open,,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6e1b80485ee8a710d481b/report.jpg,,INTERSECTION of Huntington Ave & Jamaicaway  Jamaica Plain  MA,,,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,,INTERSECTION Huntington Ave & Jamaicaway,,Intersection,6416.0,42.3319,-71.113,Citizens Connect App,"(42.3319, -71.113)"
469989,101001241532,01/02/2015 06:15:18 PM,03/11/2015 08:30:00 AM,,OVERDUE,Open,,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54a7266f04855a39b2f892c3/report.jpg,,3 Robert St  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2004.0,E,3 Robert St,2131.0,Address,117227.0,42.2875,-71.1303,Citizens Connect App,"(42.2875, -71.1303)"
470060,101001241638,01/03/2015 11:28:32 AM,03/11/2015 08:30:00 AM,01/13/2015 09:35:14 AM,ONTIME,Closed,Case Closed Case Resolved case has been resolved,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,https://mayors24.cityofboston.gov/media/boston/report/photos/54a8189804855a39b2f894e9/report.jpg,,490-494 Summer St  Boston  MA  02210,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,E,490-494 Summer St,2210.0,Address,132020.0,42.3455,-71.0403,Citizens Connect App,"(42.3455, -71.0403)"
470087,101001241674,01/03/2015 01:21:25 PM,03/11/2015 08:30:00 AM,01/09/2015 11:54:32 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case 101001236407 duplicate case #,Graffiti: Ward 2  0201  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,https://mayors24.cityofboston.gov/media/boston/report/photos/54a8330f04855a39b2f8955a/photo_20150103_132015.jpg,,INTERSECTION of Henley St & Warren St  Charlestown  MA,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,,INTERSECTION Henley St & Warren St,,Intersection,5866.0,42.3731,-71.061,Citizens Connect App,"(42.3731, -71.061)"
