,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469462,101001240754,01/01/2015 07:27:13 AM,01/31/2015 07:27:13 AM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,1744 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,08,802.0,,1744 Washington St,2118.0,Address,351061.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
469468,101001240762,01/01/2015 08:53:51 AM,01/31/2015 08:53:51 AM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,77 Camden St  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,EA,77 Camden St,2118.0,Address,201313.0,42.3375,-71.0804,Constituent Call,"(42.3375, -71.0804)"
469485,101001240786,01/01/2015 10:59:01 AM,01/31/2015 10:59:01 AM,01/07/2015 08:49:25 AM,ONTIME,Closed,Case Closed :,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,282 Columbus Ave  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,RC,282 Columbus Ave,2116.0,Address,211739.0,42.3469,-71.0736,Constituent Call,"(42.3469, -71.0736)"
469501,101001240809,01/01/2015 12:37:13 PM,01/31/2015 12:37:13 PM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,522 Blue Hill Ave  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1403.0,A,522 Blue Hill Ave,2121.0,Address,190031.0,42.3064,-71.0841,Constituent Call,"(42.3064, -71.0841)"
469525,101001240837,01/01/2015 02:24:55 PM,01/31/2015 02:24:55 PM,01/01/2015 02:32:32 PM,ONTIME,Closed,Case Closed Case Invalid landlord called while taking the report,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,5070-5072 Washington St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,10.0,Ward 20,2003.0,R2,5070-5072 Washington St,2132.0,Address,145574.0,42.2646,-71.1531,Constituent Call,"(42.2646, -71.1531)"
469526,101001240838,01/01/2015 02:25:24 PM,01/31/2015 02:25:23 PM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,282 Columbus Ave  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,RC,282 Columbus Ave,2116.0,Address,211724.0,42.3469,-71.0736,Constituent Call,"(42.3469, -71.0736)"
469529,101001240842,01/01/2015 02:44:54 PM,01/31/2015 02:44:54 PM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,72 Gardner St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,A,72 Gardner St,2134.0,Address,239609.0,42.354,-71.1273,Self Service,"(42.354, -71.1273)"
469545,101001240863,01/01/2015 05:13:28 PM,01/31/2015 05:13:28 PM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,11-25 E Newton St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,CM,11-25 E Newton St,2118.0,Address,102338.0,42.3382,-71.0731,Constituent Call,"(42.3382, -71.0731)"
469557,101001240882,01/01/2015 07:25:55 PM,01/31/2015 07:25:55 PM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,950 Canterbury St  Roslindale  MA  02131,12.0,08,5.0,E18,Roslindale,10.0,Ward 18,1808.0,A,950 Canterbury St,2131.0,Address,201733.0,42.2785,-71.1172,Constituent Call,"(42.2785, -71.1172)"
469566,101001240896,01/01/2015 10:11:51 PM,01/31/2015 10:11:50 PM,,OVERDUE,Open,,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,31 Wales St  Dorchester  MA  02124,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1407.0,A,31 Wales St,2124.0,Address,326017.0,42.2969,-71.085,Constituent Call,"(42.2969, -71.085)"
