,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471124,101001243166,01/06/2015 02:18:32 PM,,01/22/2015 11:04:27 AM,ONTIME,Closed,Case Closed Case Noted Mr. Massaquoi left voicemail on Jan 22  2015  stating that he is cancelling his appointment with VSS.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471696,101001243986,01/08/2015 09:23:27 AM,,01/15/2015 10:28:05 AM,ONTIME,Closed,Case Closed Case Noted Referral-MCAD - Mr. Glover previously called BFHC.  However  at that time  he had a complaint with MCAD (April 2013).  It is assumed that MCAD rendered a decision  which prompted this call. VSS: Glover had a case at MCAD.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471709,101001244005,01/08/2015 09:34:50 AM,,01/20/2015 10:19:51 AM,ONTIME,Closed,Case Closed Case Noted Was not jurisdictional.  No issues we could assist with,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471826,101001244167,01/08/2015 12:09:59 PM,,02/12/2015 10:15:31 AM,ONTIME,Closed,Case Closed Case Noted Offered to meet with him  don't have enough information to file anything  he did not want to answer questions about housing court.  He declined meeting.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
474003,101001247361,01/14/2015 02:42:36 PM,,01/15/2015 11:46:42 AM,ONTIME,Closed,Case Closed Case Noted Move to Investigations - C spoke to VSS and Chardline. VSS called CHRC  Nancy Schlachter said C should call/come by Thursday 1/15.   VSS: trying to get ads tested.Could file complaint.  Referred to INV,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
474493,101001248081,01/15/2015 04:17:28 PM,,01/15/2015 04:24:31 PM,ONTIME,Closed,Case Closed Case Noted Referral-Other - I referred Mr. McDonald to ISD and Rental Housing Center.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
476117,101001250245,01/20/2015 11:33:15 AM,,01/20/2015 12:57:21 PM,ONTIME,Closed,Case Closed Matter not jurisdictional for this office Housing Court Agreement from December 2  2014  is already in place.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
484749,101001262126,01/29/2015 02:22:15 PM,,02/05/2015 01:02:05 PM,ONTIME,Closed,Case Closed Case Noted Not Jurisdictional - Scheduled appointment for 11 a.m. Feb 5  2015.  VSS met with M. Estepan  Cristina Infanzon translating.  Referred to ISD  Suffolk Housing Clinic  and Harvard Legal Clinic  and suggested her dr. refer her to BreatheEasy.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
486072,101001264292,01/30/2015 10:53:52 AM,,04/09/2015 10:25:45 AM,ONTIME,Closed,Case Closed Case Noted Administrative closed - mailed closure letter.  Mailed another letter saying Caggiano could file against neighbor  just contact us.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
486394,101001264800,01/30/2015 02:08:43 PM,,02/05/2015 02:28:01 PM,ONTIME,Closed,Case Closed Case Resolved Referred to BHA.,Housing Discrimination Intake Form,Civil Rights,Investigations and Enforcement,Housing Discrimination Intake Form,HS_OCR_Investigation Enforcement,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
