,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469976,101001241519,01/02/2015 05:24:37 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
471600,101001243840,01/07/2015 05:45:47 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
471862,101001244210,01/08/2015 12:34:57 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
471864,101001244212,01/08/2015 12:35:49 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
471868,101001244216,01/08/2015 12:37:03 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
471883,101001244234,01/08/2015 12:47:11 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
471998,101001244389,01/08/2015 02:59:26 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
472000,101001244391,01/08/2015 03:03:56 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
472012,101001244414,01/08/2015 03:27:23 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
472026,101001244441,01/08/2015 03:59:23 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
472711,101001245447,01/11/2015 10:40:43 AM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
472797,101001245569,01/11/2015 06:45:38 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
476878,101001251453,01/21/2015 05:29:41 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
476880,101001251456,01/21/2015 05:45:29 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
477027,101001251694,01/22/2015 09:43:24 AM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
477323,101001252148,01/22/2015 05:08:44 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
477328,101001252156,01/22/2015 05:32:04 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
477364,101001252216,01/22/2015 10:15:13 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
477720,101001252823,01/23/2015 03:36:52 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479642,101001255760,01/27/2015 05:46:28 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479644,101001255762,01/27/2015 05:46:36 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479653,101001255771,01/27/2015 05:48:27 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479655,101001255773,01/27/2015 05:48:33 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479657,101001255776,01/27/2015 05:48:42 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479658,101001255777,01/27/2015 05:48:42 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479662,101001255781,01/27/2015 05:49:32 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479663,101001255782,01/27/2015 05:49:34 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479668,101001255788,01/27/2015 05:51:07 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479677,101001255798,01/27/2015 05:52:36 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479678,101001255799,01/27/2015 05:52:57 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479680,101001255801,01/27/2015 05:53:22 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479682,101001255803,01/27/2015 05:53:37 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479685,101001255806,01/27/2015 05:53:52 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479694,101001255817,01/27/2015 05:55:57 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479695,101001255818,01/27/2015 05:56:24 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479701,101001255824,01/27/2015 05:58:14 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479704,101001255827,01/27/2015 05:58:38 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479706,101001255830,01/27/2015 05:59:28 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479709,101001255833,01/27/2015 05:59:56 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479710,101001255834,01/27/2015 06:00:06 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479719,101001255844,01/27/2015 06:02:57 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479720,101001255845,01/27/2015 06:03:07 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479723,101001255848,01/27/2015 06:03:27 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479724,101001255849,01/27/2015 06:03:34 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479732,101001255859,01/27/2015 06:05:54 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479749,101001255876,01/27/2015 06:10:05 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479755,101001255882,01/27/2015 06:11:04 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479756,101001255883,01/27/2015 06:11:20 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479762,101001255890,01/27/2015 06:12:52 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
479859,101001255994,01/27/2015 06:46:23 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
480172,101001256330,01/27/2015 09:01:00 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
490946,101001271128,02/03/2015 03:27:40 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
498487,101001282543,02/08/2015 03:36:17 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
503875,101001289942,02/11/2015 11:51:25 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
503877,101001289948,02/12/2015 12:00:43 AM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
505043,101001291739,02/12/2015 03:37:18 PM,,02/19/2015 05:06:09 PM,ONTIME,Closed,Case Closed Case Noted Maybe - This would be expensive to build as a stand-alone site.  Are there upgrades that can be made to exitsing BCYF facilities to accomplish some of the same goals?,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
505177,101001291967,02/12/2015 04:52:58 PM,,,ONTIME,Open,,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
506481,101001293857,02/13/2015 03:13:18 PM,,02/19/2015 04:58:35 PM,ONTIME,Closed,Case Closed Case Noted Maybe - What's described here would cost well over $1 million to build  but maybe there are components of it that could be added to existing BCYF facilities.,Youthline Idea Collection,Youthline,Participatory Budgeting Idea Collection,Idea Collection,HS_Youthline_General_Idea_Review,HS_Y,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
