,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470290,101001241949,01/04/2015 03:41:40 PM,01/08/2015 08:30:00 AM,01/12/2015 01:05:24 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
471135,101001243179,01/06/2015 02:35:51 PM,01/09/2015 02:35:51 PM,,OVERDUE,Open,,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,133 Southern Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,17,1705.0,E,133 Southern Ave,2124.0,Address,129159.0,42.2897,-71.078,Constituent Call,"(42.2897, -71.078)"
472092,101001244518,01/08/2015 07:23:45 PM,01/14/2015 08:30:00 AM,01/12/2015 01:03:36 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
473247,101001246266,01/12/2015 08:03:22 PM,01/16/2015 08:30:00 AM,01/14/2015 08:25:50 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
475151,101001249055,01/17/2015 08:05:34 PM,01/23/2015 08:30:00 AM,01/20/2015 07:54:07 AM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
475152,101001249056,01/17/2015 08:07:31 PM,01/23/2015 08:30:00 AM,01/20/2015 07:55:00 AM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
526227,101001321866,03/02/2015 05:45:12 PM,03/06/2015 08:30:00 AM,04/21/2015 11:59:24 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,1837 Columbus Ave  Roxbury  MA  02119,9.0,10B,6.0,E13,Jamaica Plain,11.0,Ward 11,1104.0,C,1837 Columbus Ave,2119.0,Address,35497.0,42.3197,-71.0986,Constituent Call,"(42.3197, -71.0986)"
531487,101001329977,03/11/2015 10:28:28 AM,03/16/2015 10:28:28 AM,04/21/2015 11:54:31 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,756 Gallivan Blvd  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,C,756 Gallivan Blvd,2122.0,Address,62403.0,42.2851,-71.0448,Constituent Call,"(42.2851, -71.0448)"
539222,101001340799,03/24/2015 01:34:55 PM,03/27/2015 01:34:55 PM,04/06/2015 10:16:49 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
540210,101001342128,03/25/2015 05:40:34 PM,03/31/2015 08:30:00 AM,,OVERDUE,Open,,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,191 New England Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 17,1705.0,C,191 New England Ave,2124.0,Address,172424.0,42.2885,-71.0786,Constituent Call,"(42.2885, -71.0786)"
540759,101001342948,03/26/2015 05:03:15 PM,04/01/2015 08:30:00 AM,04/21/2015 11:58:04 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,17 Robey St  Roxbury  MA  02119,7.0,03,7.0,B2,Roxbury,13.0,Ward 8,806.0,I,17 Robey St,2119.0,Address,117299.0,42.3226,-71.0685,Constituent Call,"(42.3226, -71.0685)"
544627,101001348349,04/02/2015 08:21:33 PM,04/08/2015 08:30:00 AM,04/06/2015 10:15:19 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
544979,101001348841,04/03/2015 01:45:53 PM,04/08/2015 01:45:53 PM,04/06/2015 10:13:14 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
547609,101001352364,04/08/2015 05:09:31 PM,04/14/2015 08:30:00 AM,04/21/2015 11:55:57 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,125-127 Southern Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1705.0,R2,125-127 Southern Ave,2124.0,Address,129155.0,42.2898,-71.0777,Constituent Call,"(42.2898, -71.0777)"
547625,101001352384,04/08/2015 06:14:47 PM,04/14/2015 08:30:00 AM,04/21/2015 11:57:02 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,24 Aspinwall Rd  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1703.0,R2,24 Aspinwall Rd,2124.0,Address,5582.0,42.2915,-71.0729,Constituent Call,"(42.2915, -71.0729)"
548415,101001353472,04/10/2015 10:12:29 AM,04/15/2015 10:12:29 AM,04/24/2015 10:33:56 AM,OVERDUE,Closed,Case Closed VIOCOR: Violation Corrected,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,331-335 Belgrade Ave  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2008.0,C,331-335 Belgrade Ave,2131.0,Address,13658.0,42.2862,-71.1453,Constituent Call,"(42.2862, -71.1453)"
549549,101001355062,04/13/2015 01:18:56 PM,04/16/2015 01:18:56 PM,04/23/2015 09:34:02 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of Belgrade Ave & Mccraw St  Roslindale  MA,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2008.0,,INTERSECTION Belgrade Ave & Mccraw St,,Intersection,1225.0,42.286,-71.1452,Constituent Call,"(42.286, -71.1452)"
551156,101001357281,04/15/2015 03:33:28 PM,04/21/2015 03:33:28 PM,,OVERDUE,Open,,Illegal Auto Body Shop,Inspectional Services,Environmental Services,Illegal Auto Body Shop,ISD_Environmental Services (INTERNAL),ISD,,,32 Spice St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,207.0,I,32 Spice St,2129.0,Address,129394.0,42.3827,-71.0744,Constituent Call,"(42.3827, -71.0744)"
