,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
478037,101001253231,01/24/2015 02:36:52 PM,01/27/2015 08:30:00 AM,01/27/2015 08:34:04 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,BTDT_District 06,BTDT,,,145 Pinckney St  Boston  MA  02114,3.0,1B,8.0,A1,Back Bay,14.0,Ward 5,511.0,CM,145 Pinckney St,2114.0,Address,110402.0,42.359,-71.0717,Self Service,"(42.359, -71.0717)"
525058,101001320124,02/28/2015 03:30:35 PM,03/03/2015 08:30:00 AM,03/16/2015 08:25:27 AM,OVERDUE,Closed,Case Closed TICKET: Ticket Issued,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 02: Jamaica Plain,PWDx,,,49 Johnswood Rd  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1910.0,R1,49 Johnswood Rd,2131.0,Address,79987.0,42.2824,-71.1228,Self Service,"(42.2824, -71.1228)"
525471,101001320814,03/02/2015 07:13:10 AM,03/03/2015 08:30:00 AM,03/04/2015 02:38:14 PM,OVERDUE,Closed,Case Closed Case Noted refer to public works to pick up,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 10A: Roxbury,PWDx,,,25-35 Chesterton St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,806.0,I,25-35 Chesterton St,2119.0,Address,31000.0,42.3299,-71.0715,Constituent Call,"(42.3299, -71.0715)"
528788,101001325760,03/06/2015 09:21:27 AM,03/09/2015 09:21:27 AM,03/07/2015 10:04:54 AM,ONTIME,Closed,Case Closed Case Noted referred over to public works for pickup,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 1C: Downtown,PWDx,,,1679-1677 Washington St  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,RC,1679-1677 Washington St,2118.0,Address,144323.0,42.3377,-71.0757,Constituent Call,"(42.3377, -71.0757)"
529208,101001326386,03/06/2015 04:56:43 PM,03/09/2015 04:56:43 PM,03/09/2015 10:03:34 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_Missed Trash\Recycling\Yard Waste\Bulk Item,PWDx,,,436 Ashmont St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1607.0,CD,436 Ashmont St,2122.0,Address,5435.0,42.2885,-71.0551,Self Service,"(42.2885, -71.0551)"
529632,101001327079,03/08/2015 01:38:33 PM,03/10/2015 08:30:00 AM,03/11/2015 07:34:20 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,INFO_Reallocation From Dept,INFO,,,6 Morrow Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2206.0,R2,6 Morrow Rd,2135.0,Address,97585.0,42.3539,-71.1499,Constituent Call,"(42.3539, -71.1499)"
529821,101001327413,03/09/2015 08:47:24 AM,03/10/2015 08:47:24 AM,03/10/2015 10:18:27 AM,OVERDUE,Closed,Case Closed Case Noted refered for pick up,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 04: Allston/Brighton,PWDx,,,12-14 Rose Garden Cir  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2209.0,R2,12-14 Rose Garden Cir,2135.0,Address,118258.0,42.3421,-71.1579,Self Service,"(42.3421, -71.1579)"
531480,101001329967,03/11/2015 10:23:27 AM,03/12/2015 10:23:27 AM,03/13/2015 07:24:03 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,INFO_Reallocation From Dept,INFO,,,94 Oakland St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2210.0,R1,94 Oakland St,2135.0,Address,104783.0,42.3516,-71.1602,Constituent Call,"(42.3516, -71.1602)"
532588,101001331610,03/12/2015 03:11:55 PM,03/13/2015 03:11:55 PM,03/13/2015 05:56:39 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,INFO_Reallocation From Dept,INFO,,,21 Morris St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,R3,21 Morris St,2128.0,Address,97527.0,42.3753,-71.0332,Constituent Call,"(42.3753, -71.0332)"
534127,101001333831,03/16/2015 09:44:35 AM,03/17/2015 09:44:35 AM,03/18/2015 06:16:42 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 03: North Dorchester,PWDx,,,51-53 Harbor View St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1308.0,R3,51-53 Harbor View St,2125.0,Address,69363.0,42.3169,-71.0542,Constituent Call,"(42.3169, -71.0542)"
534247,101001334006,03/16/2015 11:57:16 AM,03/17/2015 11:57:16 AM,03/18/2015 06:16:42 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 03: North Dorchester,PWDx,,,51-53 Harbor View St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1308.0,R3,51-53 Harbor View St,2125.0,Address,69363.0,42.3169,-71.0542,Self Service,"(42.3169, -71.0542)"
536168,101001336596,03/18/2015 03:30:00 PM,03/19/2015 03:29:59 PM,03/20/2015 08:05:14 AM,OVERDUE,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 1C: Downtown,PWDx,,,593-593A Tremont St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,R4,593-593A Tremont St,2118.0,Address,137724.0,42.3434,-71.0733,Self Service,"(42.3434, -71.0733)"
536842,101001337508,03/19/2015 02:45:00 PM,03/20/2015 02:45:00 PM,03/20/2015 09:25:30 AM,ONTIME,Closed,Case Closed Case Resolved pick up,Illegal Dumping,Inspectional Services,Code Enforcement,Illegal Dumping,PWDx_District 08: Hyde Park,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/550b192dd052a8008cd04cc6/closed_photo/Report.jpg,28 Arlington St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1815.0,E,28 Arlington St,2136.0,Address,4900.0,42.2591,-71.1156,Constituent Call,"(42.2591, -71.1156)"
