,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469936,101001241452,01/02/2015 03:12:29 PM,01/09/2015 03:12:29 PM,01/09/2015 08:37:42 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,94 Bragdon St  Roxbury  MA  02119,9.0,10B,6.0,E13,Jamaica Plain,11.0,Ward 11,1104.0,R3,94 Bragdon St,2119.0,Address,19281.0,42.319,-71.1,Self Service,"(42.319, -71.1)"
470582,101001242381,01/05/2015 12:02:28 PM,01/12/2015 12:02:28 PM,06/15/2015 02:54:22 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-06-15 14:54:22.62 NOACC: Closed-No Access,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,1465 Blue Hill Ave  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1803.0,CM,1465 Blue Hill Ave,2126.0,Address,16286.0,42.274,-71.0939,Constituent Call,"(42.274, -71.0939)"
471086,101001243112,01/06/2015 01:21:55 PM,01/13/2015 01:21:54 PM,01/09/2015 07:17:42 AM,ONTIME,Closed,Case Closed REINSP: Issues Found  Re-Inspection,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,77 Eutaw St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,107.0,R2,77 Eutaw St,2128.0,Address,54734.0,42.3795,-71.0364,Constituent Call,"(42.3795, -71.0364)"
471089,101001243115,01/06/2015 01:29:55 PM,01/13/2015 01:29:55 PM,03/04/2015 03:32:22 PM,OVERDUE,Closed,Case Closed TFA: Tenant Failed Apt\Was Not Home,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,4 Cowing St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2010.0,R4,4 Cowing St,2132.0,Address,43896.0,42.272,-71.1456,Constituent Call,"(42.272, -71.1456)"
471100,101001243132,01/06/2015 01:55:41 PM,01/13/2015 01:55:40 PM,01/06/2015 02:51:28 PM,ONTIME,Closed,Case Closed Case Invalid No E-FORM,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,32 Ashcroft St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,32 Ashcroft St,2130.0,Address,5059.0,42.3202,-71.1137,Constituent Call,"(42.3202, -71.1137)"
471102,101001243135,01/06/2015 01:56:41 PM,01/13/2015 01:56:41 PM,01/06/2015 02:52:15 PM,ONTIME,Closed,Case Closed Case Invalid No E-form,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,32 Ashcroft St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,32 Ashcroft St,2130.0,Address,5059.0,42.3202,-71.1137,Constituent Call,"(42.3202, -71.1137)"
471103,101001243136,01/06/2015 01:57:02 PM,01/13/2015 01:57:02 PM,01/09/2015 08:35:11 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,32 Ashcroft St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,32 Ashcroft St,2130.0,Address,5059.0,42.3202,-71.1137,Constituent Call,"(42.3202, -71.1137)"
471150,101001243200,01/06/2015 02:54:44 PM,01/13/2015 02:54:44 PM,01/09/2015 08:35:33 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,32 Ashcroft St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,32 Ashcroft St,2130.0,Address,179677.0,42.3202,-71.1137,Constituent Call,"(42.3202, -71.1137)"
471407,101001243547,01/07/2015 10:42:17 AM,01/14/2015 10:42:17 AM,04/09/2015 10:11:49 AM,OVERDUE,Closed,Case Closed NOACC: Closed-No Access,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,78-80 Readville St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,R3,78-80 Readville St,2136.0,Address,114923.0,42.243,-71.1339,Constituent Call,"(42.243, -71.1339)"
471497,101001243678,01/07/2015 01:04:21 PM,01/14/2015 01:04:21 PM,01/08/2015 03:31:49 PM,ONTIME,Closed,Case Closed TFA: Tenant Failed Apt\Was Not Home,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,26-28 Aldie St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2202.0,R3,26-28 Aldie St,2134.0,Address,1767.0,42.3593,-71.1357,Constituent Call,"(42.3593, -71.1357)"
471568,101001243801,01/07/2015 03:51:50 PM,01/14/2015 03:51:50 PM,02/19/2015 02:30:35 PM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,60 Clarkson St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1503.0,R3,60 Clarkson St,2125.0,Address,33524.0,42.3081,-71.0674,Constituent Call,"(42.3081, -71.0674)"
472324,101001244851,01/09/2015 11:22:18 AM,01/16/2015 11:22:18 AM,02/27/2015 10:01:53 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,78 Everett St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,102.0,R1,78 Everett St,2128.0,Address,55175.0,42.3676,-71.0347,Self Service,"(42.3676, -71.0347)"
472990,101001245835,01/12/2015 09:52:59 AM,01/20/2015 09:52:58 AM,02/27/2015 03:44:45 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,190 Boston St  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,709.0,R3,190 Boston St,2125.0,Address,17124.0,42.3232,-71.0602,Constituent Call,"(42.3232, -71.0602)"
473048,101001245914,01/12/2015 10:48:59 AM,01/20/2015 10:48:59 AM,01/12/2015 10:50:40 AM,ONTIME,Closed,Case Closed Case Invalid Caller gave me the wrong information.,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,1198 Blue Hill Ave  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1414.0,C,1198 Blue Hill Ave,2126.0,Address,156964.0,42.2837,-71.092,Constituent Call,"(42.2837, -71.092)"
473763,101001247004,01/14/2015 08:43:43 AM,01/22/2015 08:43:43 AM,01/14/2015 02:57:33 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,130-130B Salem St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,304.0,RC,130-130B Salem St,2113.0,Address,121742.0,42.3651,-71.0556,Self Service,"(42.3651, -71.0556)"
473872,101001247161,01/14/2015 11:14:23 AM,01/22/2015 11:14:23 AM,01/29/2015 09:18:04 AM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Illegal Occupancy,Inspectional Services,Building,Illegal Occupancy,ISD_Building (INTERNAL),ISD,,,95 Landseer St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2014.0,R2,95 Landseer St,2132.0,Address,83876.0,42.2793,-71.1569,Constituent Call,"(42.2793, -71.1569)"
