,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469464,101001240757,01/01/2015 08:25:52 AM,01/09/2015 08:30:00 AM,02/24/2015 08:06:51 AM,OVERDUE,Closed,Case Closed NOACC: Closed-No Access,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,50 Hereford St  Boston  MA  02115,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,R2,50 Hereford St,2115.0,Address,73014.0,42.349,-71.0856,Self Service,"(42.349, -71.0856)"
471492,101001243672,01/07/2015 01:01:47 PM,01/14/2015 01:01:47 PM,01/09/2015 08:34:13 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,9 Ridge St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1910.0,R2,9 Ridge St,2131.0,Address,115906.0,42.2857,-71.1207,Constituent Call,"(42.2857, -71.1207)"
471680,101001243960,01/08/2015 08:49:53 AM,01/15/2015 08:49:52 AM,01/09/2015 08:32:41 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,9 Ridge St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1910.0,R2,9 Ridge St,2131.0,Address,115906.0,42.2857,-71.1207,Constituent Call,"(42.2857, -71.1207)"
471682,101001243963,01/08/2015 08:56:17 AM,01/15/2015 08:56:16 AM,01/09/2015 08:31:56 AM,ONTIME,Closed,Case Closed NOACC: Closed-No Access,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,30-32 Archdale Rd  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,R2,30-32 Archdale Rd,2131.0,Address,4558.0,42.2931,-71.1217,Constituent Call,"(42.2931, -71.1217)"
474415,101001247966,01/15/2015 01:44:53 PM,01/23/2015 01:44:53 PM,01/16/2015 11:08:36 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,30 Moultrie St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1706.0,R1,30 Moultrie St,2124.0,Address,98055.0,42.2913,-71.0697,Self Service,"(42.2913, -71.0697)"
474721,101001248449,01/16/2015 11:24:26 AM,01/26/2015 11:24:26 AM,02/26/2015 10:13:57 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,360 Harvard St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1411.0,R2,360 Harvard St,2124.0,Address,70859.0,42.2917,-71.0902,Constituent Call,"(42.2917, -71.0902)"
476035,101001250119,01/20/2015 10:14:16 AM,01/27/2015 10:14:16 AM,,OVERDUE,Open,,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,36 Spencer St  Dorchester  MA  02124,8.0,03,4.0,B3,Dorchester,9.0,Ward 17,1701.0,R3,36 Spencer St,2124.0,Address,313052.0,42.2958,-71.0765,Constituent Call,"(42.2958, -71.0765)"
476319,101001250552,01/20/2015 03:02:20 PM,01/27/2015 03:02:20 PM,09/23/2015 02:40:14 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-23 14:40:14.49 PERMIS: Permit Issued,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,120 Falcon St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,108.0,R2,120 Falcon St,2128.0,Address,55964.0,42.3821,-71.0343,Constituent Call,"(42.3821, -71.0343)"
476479,101001250815,01/21/2015 08:42:21 AM,01/28/2015 08:42:21 AM,,OVERDUE,Open,,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,21 Esmond St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1407.0,R3,21 Esmond St,2121.0,Address,230837.0,42.2987,-71.0856,Constituent Call,"(42.2987, -71.0856)"
477092,101001251779,01/22/2015 10:45:54 AM,01/29/2015 10:45:54 AM,03/16/2015 09:24:33 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Illegal Rooming House,Inspectional Services,Building,Illegal Rooming House,ISD_Building (INTERNAL),ISD,,,1187 Morton St  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1714.0,R2,1187 Morton St,2126.0,Address,97668.0,42.2748,-71.0723,Constituent Call,"(42.2748, -71.0723)"
