,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
526749,101001322696,03/03/2015 12:46:53 PM,03/05/2015 12:46:53 PM,03/04/2015 02:34:47 PM,ONTIME,Closed,Case Closed Case Noted refer to public works to pick up tv,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 10A: Roxbury,PWDx,,,42 Hollander St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1202.0,CD,42 Hollander St,2121.0,Address,74634.0,42.3158,-71.0903,Constituent Call,"(42.3158, -71.0903)"
530920,101001329076,03/10/2015 12:35:53 PM,03/12/2015 12:35:53 PM,03/12/2015 06:40:51 AM,ONTIME,Closed,Case Closed TICKET: Ticket Issued,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 1B: North End,PWDx,,,2 Lime St  Boston  MA  02108,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,505.0,RC,2 Lime St,2108.0,Address,264564.0,42.3573,-71.0706,Constituent Call,"(42.3573, -71.0706)"
536450,101001337001,03/19/2015 09:36:01 AM,03/23/2015 09:36:01 AM,03/20/2015 08:18:40 AM,ONTIME,Closed,Case Closed TICKET: Ticket Issued,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 03: North Dorchester,PWDx,,,18 Mallon Rd  Dorchester  MA  02121,7.0,03,4.0,C11,Dorchester,8.0,Ward 14,1404.0,R2,18 Mallon Rd,2121.0,Address,88805.0,42.3024,-71.0744,Constituent Call,"(42.3024, -71.0744)"
542143,101001344902,03/30/2015 12:30:13 PM,04/01/2015 12:30:13 PM,04/01/2015 05:54:23 AM,ONTIME,Closed,Case Closed TICKET: Ticket Issued,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 1C: Downtown,PWDx,,,7 Anderson St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,504.0,A,7 Anderson St,2114.0,Address,3565.0,42.3608,-71.068,Constituent Call,"(42.3608, -71.068)"
542548,101001345480,03/31/2015 08:22:26 AM,04/02/2015 08:30:00 AM,03/31/2015 11:01:36 AM,ONTIME,Closed,Case Closed Case Resolved,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 03: North Dorchester,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/551a918570b4ca2b9517e284/closed_photo/Report.jpg,51 Wainwright St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,8.0,Ward 16,1603.0,R2,51 Wainwright St,2124.0,Address,141310.0,42.2895,-71.0669,Constituent Call,"(42.2895, -71.0669)"
543114,101001346259,03/31/2015 06:37:16 PM,04/03/2015 08:30:00 AM,04/02/2015 06:03:14 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 07: South Dorchester,PWDx,,,51 Wainwright St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,8.0,Ward 16,1603.0,R2,51 Wainwright St,2124.0,Address,141310.0,42.2895,-71.0669,Constituent Call,"(42.2895, -71.0669)"
561860,101001372708,05/07/2015 02:16:00 PM,05/11/2015 02:16:22 PM,05/11/2015 05:47:12 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-11 05:47:12.157 ROA: Refer to Other Agency/Division,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 03: North Dorchester,PWDx,,,11 Groom St  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 7,710.0,R3,11 Groom St,2125.0,Address,67274.0,42.3204,-71.0666,Constituent Call,"(42.3204, -71.0666)"
562976,101001374469,05/11/2015 09:59:00 AM,05/13/2015 09:59:24 AM,05/12/2015 05:28:36 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-12 05:28:36.053 ROA: Refer to Other Agency/Division,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 03: North Dorchester,PWDx,,,15 Bakersfield St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1306.0,E,15 Bakersfield St,2125.0,Address,174162.0,42.3175,-71.061,Constituent Call,"(42.3175, -71.061)"
578120,101001406606,06/10/2015 11:40:00 AM,06/12/2015 11:40:47 AM,06/10/2015 08:08:27 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-10 20:08:27.98 NOVIO: No Violation Found/No Cause,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_Administration,PWDx,,,500 Commonwealth Ave  Boston  MA  02215,4.0,10A,8.0,D4,Boston,14.0,05,510.0,C,500 Commonwealth Ave,2215.0,Address,157943.0,42.3485,-71.0951,Constituent Call,"(42.3485, -71.0951)"
591431,101001426005,07/09/2015 10:46:00 AM,07/13/2015 10:46:38 AM,07/09/2015 12:36:11 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-09 12:36:11.893 ROA: Refer to Other Agency/Division,Improper Storage of Trash (Barrels),Inspectional Services,Code Enforcement,Improper Storage of Trash (Barrels),PWDx_District 05: South Boston,PWDx,,,799 E Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,608.0,R2,799 E Fourth St,2127.0,Address,59996.0,42.3347,-71.0317,Self Service,"(42.3347, -71.0317)"
