,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
477095,101001251784,01/22/2015 10:50:17 AM,07/21/2015 10:50:17 AM,02/02/2015 01:32:47 PM,ONTIME,Closed,Case Closed Case Resolved Installed 6ft arm  11 LED and ran new leads light is on.  Contr. Mark 1/29/15,Install New Lighting//duplicate case//sent to contractor,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,44 Violet St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1802.0,R1,44 Violet St,2126.0,Address,140877.0,42.2749,-71.089,Constituent Call,"(42.2749, -71.089)"
541254,101001343652,03/27/2015 02:02:00 PM,05/26/2015 02:02:19 PM,08/14/2015 09:36:49 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-08-14 09:36:49.457 Case Resolved Installed one 24' concrete post -w- #27 LED standard. and tied in.  McCarthy  Santry  tyra  Peterson  Hennessy,Install New Lighting    PRINTED,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light Knockdown Replacement,PWDx,,,4 Bunker Hill Industrial Park  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,02,201.0,,4 Bunker Hill Industrial Park,2129.0,Address,352842.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
546399,101001350796,04/07/2015 10:04:00 AM,06/06/2015 10:04:39 AM,,OVERDUE,Open,,new pole install request,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light_Install New Lighting,PWDx,,,INTERSECTION of Harrison Ave & Marginal Rd  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Harrison Ave & Marginal Rd,,Intersection,5702.0,42.3471,-71.063,Constituent Call,"(42.3471, -71.063)"
549371,101001354832,04/13/2015 10:48:14 AM,06/12/2015 10:48:14 AM,,OVERDUE,Open,,Install New Lighting,Public Works Department,Street Lights,Install New Lighting,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,525-535 West Roxbury Pkwy  West Roxbury  MA  02132,9.0,06,6.0,E5,West Roxbury,10.0,20,2007.0,E,525-535 West Roxbury Pkwy,2132.0,Address,119220.0,42.2884,-71.1482,Constituent Call,"(42.2884, -71.1482)"
556508,101001364865,04/27/2015 03:29:00 PM,06/26/2015 03:29:32 PM,09/16/2015 02:13:40 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-16 14:13:40.427 Case Resolved NO POLES MISSING ALL WOODEN CARRING POLES ON THIS STREET,PRINTED,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light Knockdown Replacement,PWDx,,,INTERSECTION of Franklin St & Redfield St  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,,INTERSECTION Franklin St & Redfield St,,Intersection,5098.0,42.2881,-71.0411,Constituent Call,"(42.2881, -71.0411)"
556896,101001365399,04/28/2015 11:14:00 AM,06/27/2015 11:14:43 AM,09/10/2015 02:23:10 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-10 14:23:10.397 Case Resolved POLE WAS ALREADY INSTALLED,PRINTED,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light Knockdown Replacement,PWDx,,,15 Lambert St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,R2,15 Lambert St,2119.0,Address,262590.0,42.3282,-71.0913,Constituent Call,"(42.3282, -71.0913)"
558211,101001367218,04/30/2015 11:29:00 AM,06/29/2015 11:29:35 AM,09/02/2015 02:45:15 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-02 14:45:15.68 Case Resolved POLE AND FIXTURE INSTALLED AND TIED IN   J.FELDER / G.McCARTHY /H.TYRA /J.PETERSON /W.LYNCH,PRINTED,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light Knockdown Replacement,PWDx,,,5-23 Turquoise Way  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,13.0,10,1001.0,EA,5-23 Turquoise Way,2120.0,Address,341618.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
560403,101001370553,05/05/2015 01:21:00 PM,05/05/2015 01:21:45 PM,05/08/2015 08:35:28 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-08 08:35:28.69 Case Resolved installed new pole,Install New Lighting//duplicate case/printed,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light_Install New Lighting,PWDx,,,111 Harold St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1208.0,R3,111 Harold St,2121.0,Address,69576.0,42.3177,-71.0899,Constituent Call,"(42.3177, -71.0899)"
563749,101001375603,05/12/2015 11:44:00 AM,07/11/2015 11:44:30 AM,07/20/2015 12:57:52 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-07-20 12:57:52.04 Case Resolved,Install New Lighting,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,19 Austin St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1812.0,R2,19 Austin St,2136.0,Address,6728.0,42.258,-71.126,Constituent Call,"(42.258, -71.126)"
566457,101001379484,05/18/2015 09:18:00 AM,07/17/2015 09:18:00 AM,05/22/2015 11:11:42 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-22 11:11:42.373 Case Resolved CREW INSTALLED 24' POLE ON NEW SUB BASE WITH 209w L.E.D. & BRACKET ARM  SPLICED CABLES IN PULLBOX D.PRIOLEAU  K.HOGE T.HARVEY  H.TYRA  J.HENNESSY,PRINTED,Public Works Department,Street Lights,Install New Lighting,PWDx_Street Light_Install New Lighting,PWDx,,,718 Adams St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,R2,718 Adams St,2122.0,Address,175873.0,42.2851,-71.0549,Employee Generated,"(42.2851, -71.0549)"
