,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471850,101001244197,01/08/2015 12:27:12 PM,05/08/2015 12:27:11 PM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,80-82 Forbes St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R3,80-82 Forbes St,2130.0,Address,59234.0,42.3202,-71.1058,Constituent Call,"(42.3202, -71.1058)"
472434,101001245026,01/09/2015 01:57:08 PM,05/09/2015 01:57:08 PM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,50 Moseley St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1307.0,R2,50 Moseley St,2125.0,Address,278328.0,42.3207,-71.0547,Constituent Call,"(42.3207, -71.0547)"
478383,101001253964,01/26/2015 09:20:07 AM,05/26/2015 09:20:07 AM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,77 Draper St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1507.0,CD,77 Draper St,2122.0,Address,49456.0,42.3042,-71.0644,Constituent Call,"(42.3042, -71.0644)"
478510,101001254260,01/26/2015 01:07:47 PM,05/26/2015 01:07:47 PM,01/26/2015 01:11:04 PM,ONTIME,Closed,Case Closed Case Invalid,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,80-82 Forbes St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R3,80-82 Forbes St,2130.0,Address,59234.0,42.3202,-71.1058,Constituent Call,"(42.3202, -71.1058)"
484484,101001261760,01/29/2015 12:29:28 PM,05/29/2015 12:29:28 PM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,140-142 Princeton St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,109.0,RC,140-142 Princeton St,2128.0,Address,113170.0,42.3782,-71.0345,Constituent Call,"(42.3782, -71.0345)"
497160,101001280455,02/06/2015 01:52:54 PM,06/06/2015 01:52:54 PM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,53 School St  Dorchester  MA  02124,8.0,03,4.0,B3,Dorchester,9.0,17,1701.0,R4,53 School St,2124.0,Address,307352.0,42.2973,-71.076,Constituent Call,"(42.2973, -71.076)"
503331,101001289092,02/11/2015 04:31:20 PM,06/11/2015 04:31:20 PM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,80 Annunciation Rd  Mission Hill  MA  02120,9.0,10A,7.0,B2,Mission Hill,13.0,Ward 4,409.0,E,80 Annunciation Rd,2120.0,Address,178515.0,42.3347,-71.0944,Constituent Call,"(42.3347, -71.0944)"
517252,101001308601,02/20/2015 12:05:39 PM,06/20/2015 12:05:39 PM,03/14/2015 09:12:17 AM,ONTIME,Closed,Case Closed :,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,40 King St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1604.0,R3,40 King St,2122.0,Address,261595.0,42.2929,-71.059,Constituent Call,"(42.2929, -71.059)"
533349,101001332626,03/13/2015 01:21:54 PM,07/11/2015 01:21:54 PM,03/13/2015 01:26:08 PM,ONTIME,Closed,Case Closed Case Noted incorrect data,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,560 Harrison Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,C,560 Harrison Ave,2118.0,Address,69986.0,42.3408,-71.0674,Constituent Call,"(42.3408, -71.0674)"
533353,101001332631,03/13/2015 01:24:53 PM,07/11/2015 01:24:53 PM,,OVERDUE,Open,,Lead,Inspectional Services,Housing,Lead,ISD_Housing (INTERNAL),ISD,,,INTERSECTION of Havre St & Meridian St  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,,INTERSECTION Havre St & Meridian St,,Intersection,5806.0,42.3723,-71.039,Constituent Call,"(42.3723, -71.039)"
