,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469711,101001241107,01/02/2015 09:56:35 AM,,01/07/2015 06:54:08 AM,ONTIME,Closed,Case Closed Case Noted  re-install scheduled,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of Centre St & Hastings St  West Roxbury  MA,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2018.0,,INTERSECTION Centre St & Hastings St,,Intersection,2634.0,42.2857,-71.1558,Constituent Call,"(42.2857, -71.1558)"
469859,101001241326,01/02/2015 01:14:02 PM,,01/02/2015 01:37:12 PM,ONTIME,Closed,Case Closed Case Resolved fixed,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of Clark St & Paul Revere Mall  Boston  MA,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,,INTERSECTION Clark St & Paul Revere Mall,,Intersection,3083.0,42.3653,-71.0531,Constituent Call,"(42.3653, -71.0531)"
474050,101001247436,01/14/2015 03:34:02 PM,,01/14/2015 05:08:23 PM,ONTIME,Closed,Case Closed Case Resolved complaints taken care of,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of W Newton St & Tremont St  Roxbury  MA,4.0,1C,2.0,D4,South End,6.0,Ward 9,901.0,,INTERSECTION W Newton St & Tremont St,,Intersection,7577.0,42.3413,-71.0766,Constituent Call,"(42.3413, -71.0766)"
475359,101001249339,01/19/2015 11:37:07 AM,,01/20/2015 09:02:36 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of Tremont St & Winter St  Boston  MA,3.0,1C,8.0,A1,Downtown / Financial District,14.0,Ward 5,503.0,,INTERSECTION Tremont St & Winter St,,Intersection,8555.0,42.3563,-71.0623,Constituent Call,"(42.3563, -71.0623)"
484772,101001262157,01/29/2015 02:27:57 PM,,01/29/2015 02:29:45 PM,ONTIME,Closed,Case Closed Case Invalid Wrong eform.,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of Berkeley St & Columbus Ave  Boston  MA,4.0,1C,2.0,D4,Back Bay,6.0,Ward 5,501.0,,INTERSECTION Berkeley St & Columbus Ave,,Intersection,1358.0,42.3487,-71.0718,Constituent Call,"(42.3487, -71.0718)"
486311,101001264674,01/30/2015 01:17:18 PM,,02/06/2015 06:17:03 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,582-584 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1706.0,C,582-584 Washington St,2124.0,Address,171337.0,42.2913,-71.0715,Constituent Call,"(42.2913, -71.0715)"
496897,101001280015,02/06/2015 11:27:16 AM,,02/13/2015 12:08:46 PM,ONTIME,Closed,Case Closed Case Invalid no case details or eForm attached.,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,245 W Fifth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,603.0,CM,245 W Fifth St,2127.0,Address,58239.0,42.3356,-71.0498,Constituent Call,"(42.3356, -71.0498)"
505283,101001292135,02/12/2015 06:24:06 PM,,02/26/2015 06:38:35 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,234 Marlborough St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,CM,234 Marlborough St,2116.0,Address,90692.0,42.3519,-71.0815,Constituent Call,"(42.3519, -71.0815)"
510589,101001299017,02/16/2015 04:26:53 PM,,03/09/2015 01:35:49 PM,ONTIME,Closed,Case Closed Case Noted emptied,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_District 02: Jamaica Plain,PWDx,,,INTERSECTION of Washington St & Iffley Rd  Jamaica Plain  MA,9.0,02,7.0,E13,Jamaica Plain,11.0,Ward 11,1105.0,,INTERSECTION Washington St & Iffley Rd,,Intersection,6023.0,42.313,-71.101,Constituent Call,"(42.313, -71.101)"
511941,101001300866,02/17/2015 11:16:27 AM,,02/20/2015 05:03:27 PM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,26 Austin St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,R1,26 Austin St,2129.0,Address,6654.0,42.3748,-71.0652,Constituent Call,"(42.3748, -71.0652)"
522308,101001316075,02/25/2015 01:03:57 PM,,04/14/2015 07:40:17 AM,ONTIME,Closed,Case Closed Case Noted,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_District 03: North Dorchester,PWDx,,,592-598 Columbia Rd  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 7,710.0,CM,592-598 Columbia Rd,2125.0,Address,35302.0,42.3173,-71.0651,Constituent Call,"(42.3173, -71.0651)"
522312,101001316081,02/25/2015 01:06:27 PM,,03/30/2015 06:41:49 AM,ONTIME,Closed,Case Closed Case Invalid,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,592-598 Columbia Rd  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 7,710.0,CM,592-598 Columbia Rd,2125.0,Address,35302.0,42.3173,-71.0651,Constituent Call,"(42.3173, -71.0651)"
527370,101001323635,03/04/2015 10:07:55 AM,,03/04/2015 10:50:56 PM,ONTIME,Closed,Case Closed Case Noted  Will investigate relocation in the spring,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,1746-1748 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,CD,1746-1748 Washington St,2118.0,Address,144424.0,42.3365,-71.0765,Constituent Call,"(42.3365, -71.0765)"
528058,101001324678,03/05/2015 09:36:43 AM,,03/09/2015 02:02:47 PM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,1701 Washington St  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,E,1701 Washington St,2118.0,Address,144360.0,42.3374,-71.0762,Constituent Call,"(42.3374, -71.0762)"
528821,101001325797,03/06/2015 09:53:25 AM,,03/07/2015 10:09:25 AM,ONTIME,Closed,Case Closed Case Resolved basket changed,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_District 06: West Roxbury and Roslindale,PWDx,,,INTERSECTION of Centre St & South St  West Roxbury  MA,9.0,06,6.0,E5,Roslindale,12.0,Ward 20,2006.0,,INTERSECTION Centre St & South St,,Intersection,2645.0,42.2882,-71.1447,Constituent Call,"(42.2882, -71.1447)"
530218,101001328009,03/09/2015 02:38:41 PM,,03/10/2015 01:48:50 PM,ONTIME,Closed,Case Closed Case Noted,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,3347 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1106.0,,3347 Washington St,2130.0,Address,342017.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
530729,101001328814,03/10/2015 10:50:29 AM,03/26/2015 12:00:00 AM,03/25/2015 02:36:50 PM,ONTIME,Closed,Case Closed Case Resolved private trash,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_District 10A: Roxbury,PWDx,,,16 Wardman Rd  Roxbury  MA  02119,9.0,10B,7.0,E13,Roxbury,13.0,Ward 11,1103.0,CM,16 Wardman Rd,2119.0,Address,142727.0,42.3151,-71.0949,Constituent Call,"(42.3151, -71.0949)"
531098,101001329361,03/10/2015 03:41:42 PM,,03/19/2015 10:29:31 PM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,655 Warren St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,12,1202.0,,655 Warren St,2121.0,Address,343885.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
534877,101001334906,03/17/2015 11:17:47 AM,,03/19/2015 10:29:58 PM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,256-262 Hanover St  Boston  MA  02113,3.0,1B,1.0,A1,Boston,3.0,03,303.0,C,256-262 Hanover St,2113.0,Address,69072.0,42.3637,-71.055,Constituent Call,"(42.3637, -71.055)"
534883,101001334914,03/17/2015 11:24:30 AM,,03/17/2015 10:36:56 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,270-272 Hanover St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,RC,270-272 Hanover St,2113.0,Address,69076.0,42.3638,-71.0547,Constituent Call,"(42.3638, -71.0547)"
535103,101001335220,03/17/2015 02:46:35 PM,,03/17/2015 10:36:42 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,276-278 Hanover St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,RC,276-278 Hanover St,2113.0,Address,69077.0,42.3639,-71.0546,Constituent Call,"(42.3639, -71.0546)"
536048,101001336455,03/18/2015 02:23:30 PM,,03/30/2015 02:11:59 PM,ONTIME,Closed,Case Closed Case Noted  Problem is missuse of the public space basket. please forward future complaints to Code Enforcement,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,291 Newbury St  Boston  MA  02115,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,RC,291 Newbury St,2115.0,Address,101526.0,42.3491,-71.085,Constituent Call,"(42.3491, -71.085)"
538132,101001339320,03/23/2015 07:33:10 AM,,03/30/2015 06:47:04 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of Berkeley St & Boylston St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,506.0,,INTERSECTION Berkeley St & Boylston St,,Intersection,1353.0,42.3512,-71.0731,Constituent Call,"(42.3512, -71.0731)"
538494,101001339816,03/23/2015 01:12:54 PM,,03/30/2015 02:12:29 PM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,612 Cambridge St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2106.0,R3,612 Cambridge St,2134.0,Address,25181.0,42.3515,-71.1426,Constituent Call,"(42.3515, -71.1426)"
539606,101001341325,03/25/2015 08:50:02 AM,,03/25/2015 02:25:23 PM,ONTIME,Closed,Case Closed Case Resolved Location has been made safe  bars have been removed  barrel replacment in works,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,515 Blue Hill Ave  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,E,515 Blue Hill Ave,2121.0,Address,16495.0,42.3075,-71.0843,Constituent Call,"(42.3075, -71.0843)"
540575,101001342661,03/26/2015 12:28:52 PM,,03/27/2015 02:03:12 PM,ONTIME,Closed,Case Closed Case Resolved Tipsy removed,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,1592 Tremont St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,10,1003.0,,1592 Tremont St,2120.0,Address,351757.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
541065,101001343417,03/27/2015 11:18:31 AM,,03/27/2015 02:11:05 PM,ONTIME,Closed,Case Closed Case Resolved Belly is safe inspected by Norman Hatem deemed safe,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,767-781 Dudley St  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 13,1305.0,RC,767-781 Dudley St,2125.0,Address,49844.0,42.3172,-71.0659,Constituent Call,"(42.3172, -71.0659)"
542645,101001345609,03/31/2015 09:24:27 AM,,04/01/2015 02:16:32 PM,ONTIME,Closed,Case Closed Case Invalid,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
543596,101001346896,04/01/2015 12:30:27 PM,,04/01/2015 02:41:29 PM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_District 03: North Dorchester,PWDx,,,15-21 Stoughton St  Dorchester  MA  02125,7.0,03,7.0,C11,Dorchester,13.0,Ward 13,1305.0,C,15-21 Stoughton St,2125.0,Address,131113.0,42.3167,-71.0647,Constituent Call,"(42.3167, -71.0647)"
544017,101001347468,04/02/2015 08:15:19 AM,,04/07/2015 06:28:53 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,21-27 Massachusetts Ave  Boston  MA  02215,4.0,10A,8.0,D4,Back Bay,14.0,Ward 5,509.0,RC,21-27 Massachusetts Ave,2215.0,Address,167468.0,42.3506,-71.0896,Constituent Call,"(42.3506, -71.0896)"
545295,101001349274,04/04/2015 12:07:01 PM,,04/06/2015 11:40:45 AM,ONTIME,Closed,Case Closed Case Invalid  Need better location,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,INTERSECTION of Charles St & Charles Street Pl  Charlestown  MA,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,207.0,,INTERSECTION Charles St & Charles Street Pl,,Intersection,2794.0,42.3827,-71.0712,Constituent Call,"(42.3827, -71.0712)"
548175,101001353131,04/09/2015 04:22:15 PM,,04/12/2015 06:30:51 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,281 Humboldt Ave  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,R3,281 Humboldt Ave,2121.0,Address,76010.0,42.3106,-71.0919,Constituent Call,"(42.3106, -71.0919)"
548555,101001353646,04/10/2015 01:15:31 PM,,04/10/2015 01:16:09 PM,ONTIME,Closed,Case Closed Case Invalid case opened in error,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,46 Waverly St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1204.0,A,46 Waverly St,2119.0,Address,146546.0,42.3208,-71.0795,Constituent Call,"(42.3208, -71.0795)"
548787,101001353959,04/11/2015 08:17:58 AM,,04/11/2015 08:18:48 AM,ONTIME,Closed,Case Closed Case Invalid wrong form,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,256-262 Hanover St  Boston  MA  02113,3.0,1B,1.0,A1,Boston,3.0,03,303.0,C,256-262 Hanover St,2113.0,Address,69072.0,42.3637,-71.055,Constituent Call,"(42.3637, -71.055)"
551166,101001357292,04/15/2015 03:37:45 PM,,04/18/2015 06:18:08 AM,ONTIME,Closed,Case Closed Case Resolved,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,19 North Sq  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,E,19 North Sq,2113.0,Address,103513.0,42.3637,-71.0537,Constituent Call,"(42.3637, -71.0537)"
551241,101001357386,04/15/2015 05:38:01 PM,,04/18/2015 06:17:49 AM,ONTIME,Closed,Case Closed Case Noted  Parts ordered,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Litter Basket Maintenance,PWDx,,,77 Harrison Ave  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,RC,77 Harrison Ave,2111.0,Address,70058.0,42.3511,-71.0616,Constituent Call,"(42.3511, -71.0616)"
552662,101001359481,04/18/2015 12:20:00 PM,,05/03/2015 06:09:35 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-03 06:09:35.067 Case Resolved removed,Litter Basket Maintenance,Public Works Department,Highway Maintenance,Litter Basket Maintenance,PWDx_Request for Litter Basket Installation,PWDx,,,214-216 Bowdoin St  Dorchester  MA  02125,7.0,03,4.0,C11,Dorchester,8.0,15,1502.0,RC,214-216 Bowdoin St,2125.0,Address,162391.0,42.3054,-71.0683,Constituent Call,"(42.3054, -71.0683)"
