,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
480786,101001257036,01/28/2015 08:41:58 AM,,02/16/2015 11:04:08 AM,ONTIME,Closed,Case Closed Case Invalid No Case Details,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,6 Brockton St  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1821.0,R2,6 Brockton St,2126.0,Address,21775.0,42.2708,-71.0994,Constituent Call,"(42.2708, -71.0994)"
480800,101001257055,01/28/2015 08:46:03 AM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Bismarck St & Brockton St  Mattapan  MA,8.0,08,5.0,B3,Greater Mattapan,9.0,Ward 18,1821.0,,INTERSECTION Bismarck St & Brockton St,,Intersection,1460.0,42.2704,-71.0995,Constituent Call,"(42.2704, -71.0995)"
481403,101001257770,01/28/2015 11:11:21 AM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,615 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2207.0,E,615 Washington St,2135.0,Address,143654.0,42.3509,-71.1671,Constituent Call,"(42.3509, -71.1671)"
481543,101001257938,01/28/2015 11:46:25 AM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,101 Anawan Ave  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2011.0,R1,101 Anawan Ave,2132.0,Address,3403.0,42.2838,-71.1494,Constituent Call,"(42.2838, -71.1494)"
481595,101001258000,01/28/2015 12:03:37 PM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,500 Columbia Rd  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,13,1305.0,E,500 Columbia Rd,2125.0,Address,35283.0,42.3148,-71.0676,Constituent Call,"(42.3148, -71.0676)"
481853,101001258304,01/28/2015 01:06:43 PM,,02/16/2015 11:05:31 AM,ONTIME,Closed,Case Closed Case Invalid No Case Details,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,77 Dakota St  Dorchester  MA  02124,7.0,03,4.0,C11,Dorchester,8.0,Ward 17,1702.0,CM,77 Dakota St,2124.0,Address,45642.0,42.2993,-71.0695,Constituent Call,"(42.2993, -71.0695)"
482404,101001258981,01/28/2015 03:50:20 PM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Washington St & Mcbride St  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,,INTERSECTION Washington St & Mcbride St,,Intersection,6013.0,42.3055,-71.1084,Constituent Call,"(42.3055, -71.1084)"
482594,101001259201,01/28/2015 04:40:01 PM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,505 Old Colony Ave  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,707.0,E,505 Old Colony Ave,2127.0,Address,105093.0,42.3235,-71.0527,Constituent Call,"(42.3235, -71.0527)"
482901,101001259591,01/28/2015 06:14:53 PM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Kneeland St & Lincoln St  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Kneeland St & Lincoln St,,Intersection,6680.0,42.3499,-71.0589,Constituent Call,"(42.3499, -71.0589)"
483094,101001259834,01/28/2015 07:37:22 PM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Blue Hill Ave & Warren St  Dorchester  MA,9.0,03,7.0,B2,Roxbury,13.0,Ward 12,1202.0,,INTERSECTION Blue Hill Ave & Warren St,,Intersection,1573.0,42.3095,-71.0826,Constituent Call,"(42.3095, -71.0826)"
483420,101001260249,01/29/2015 06:41:53 AM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Blue Hill Ave & Warren St  Dorchester  MA,9.0,03,7.0,B2,Roxbury,13.0,Ward 12,1202.0,,INTERSECTION Blue Hill Ave & Warren St,,Intersection,1573.0,42.3095,-71.0826,Constituent Call,"(42.3095, -71.0826)"
483456,101001260293,01/29/2015 07:14:12 AM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,4925 Washington St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2005.0,CM,4925 Washington St,2132.0,Address,145357.0,42.2689,-71.1492,Constituent Call,"(42.2689, -71.1492)"
483490,101001260338,01/29/2015 07:31:42 AM,,,ONTIME,Open,,MBTA,Mayor's 24 Hour Hotline,MBTA,MBTA Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Crawford St & Warren St  Dorchester  MA,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1202.0,,INTERSECTION Crawford St & Warren St,,Intersection,3643.0,42.3106,-71.0833,Constituent Call,"(42.3106, -71.0833)"
