,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471579,101001243815,01/07/2015 04:27:43 PM,01/14/2015 04:27:43 PM,01/23/2015 10:24:46 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,143 W Newton St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 4,403.0,R1,143 W Newton St,2118.0,Address,102409.0,42.3423,-71.0773,Constituent Call,"(42.3423, -71.0773)"
473059,101001245928,01/12/2015 11:10:17 AM,01/20/2015 11:10:17 AM,01/14/2015 08:50:28 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,22 Mystic St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,205.0,R3,22 Mystic St,2129.0,Address,99975.0,42.3799,-71.0628,Self Service,"(42.3799, -71.0628)"
474471,101001248041,01/15/2015 03:30:01 PM,01/23/2015 03:30:01 PM,01/16/2015 03:32:24 PM,ONTIME,Closed,Case Closed CLOSED: Closed/No Permit,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,110 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,106.0,R3,110 Bennington St,2128.0,Address,14564.0,42.3765,-71.0349,Constituent Call,"(42.3765, -71.0349)"
476702,101001251158,01/21/2015 01:00:41 PM,01/28/2015 01:00:41 PM,,OVERDUE,Open,,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,330 Bowdoin St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,E,330 Bowdoin St,2125.0,Address,192201.0,42.3084,-71.065,Constituent Call,"(42.3084, -71.065)"
478636,101001254578,01/26/2015 08:30:15 PM,02/03/2015 08:30:00 AM,01/29/2015 10:09:51 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,15-17 Ackley Pl  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1106.0,,15-17 Ackley Pl,2130.0,Address,172165.0,42.3114,-71.1037,Constituent Call,"(42.3114, -71.1037)"
492975,101001274019,02/04/2015 10:39:11 AM,02/11/2015 10:39:11 AM,03/10/2015 10:31:01 AM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,38-40 Saint Botolph St  Boston  MA  02116,4.0,1C,2.0,D4,Back Bay,6.0,Ward 4,402.0,CM,38-40 Saint Botolph St,2116.0,Address,120810.0,42.3462,-71.0789,Constituent Call,"(42.3462, -71.0789)"
493925,101001275394,02/04/2015 03:30:59 PM,02/11/2015 03:30:59 PM,,OVERDUE,Open,,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,852-854 Huntington Ave  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,11.0,Ward 10,1008.0,RC,852-854 Huntington Ave,2120.0,Address,76451.0,42.3328,-71.1103,Constituent Call,"(42.3328, -71.1103)"
494047,101001275566,02/04/2015 04:09:09 PM,02/11/2015 04:09:09 PM,05/14/2015 08:26:07 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-14 08:26:07.2 NOACC: Closed-No Access,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,17 Newport St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1307.0,R3,17 Newport St,2125.0,Address,282668.0,42.3184,-71.0542,Constituent Call,"(42.3184, -71.0542)"
495958,101001278596,02/05/2015 04:23:54 PM,02/12/2015 04:23:54 PM,03/20/2015 09:39:55 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,43 Sheafe St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,302.0,R4,43 Sheafe St,2113.0,Address,126558.0,42.3667,-71.0564,Constituent Call,"(42.3667, -71.0564)"
505948,101001293083,02/13/2015 10:14:14 AM,02/23/2015 10:14:14 AM,03/20/2015 09:45:47 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Maintenance - Homeowner,Inspectional Services,Building,Maintenance - Homeowner,ISD_Building (INTERNAL),ISD,,,32 Lawrence St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,R2,32 Lawrence St,2116.0,Address,84628.0,42.3459,-71.0735,Constituent Call,"(42.3459, -71.0735)"
