,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469532,101001240846,01/01/2015 03:03:22 PM,04/01/2015 03:03:21 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,72 Gardner St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,A,72 Gardner St,2134.0,Address,239609.0,42.354,-71.1273,Self Service,"(42.354, -71.1273)"
470813,101001242702,01/05/2015 08:44:39 PM,04/05/2015 08:44:38 PM,01/13/2015 02:58:57 PM,ONTIME,Closed,Case Closed :,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,19 Harlem St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1402.0,R2,19 Harlem St,2121.0,Address,247169.0,42.3001,-71.081,Constituent Call,"(42.3001, -71.081)"
470918,101001242855,01/06/2015 09:17:05 AM,04/06/2015 09:17:04 AM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,32-34 Elm Hill Park  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1202.0,R2,32-34 Elm Hill Park,2121.0,Address,53257.0,42.3132,-71.0817,Constituent Call,"(42.3132, -71.0817)"
471504,101001243694,01/07/2015 01:17:28 PM,04/07/2015 01:17:27 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,1170 Tremont St  Mission Hill  MA  02120,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,904.0,E,1170 Tremont St,2120.0,Address,173666.0,42.3344,-71.0888,Constituent Call,"(42.3344, -71.0888)"
472060,101001244478,01/08/2015 05:06:58 PM,04/08/2015 05:06:58 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,105 Warren Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1816.0,R1,105 Warren Ave,2136.0,Address,142818.0,42.2496,-71.1141,Constituent Call,"(42.2496, -71.1141)"
472310,101001244833,01/09/2015 11:12:03 AM,04/09/2015 11:12:03 AM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,711 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,9.0,Ward 17,1708.0,R2,711 Washington St,2124.0,Address,332612.0,42.2866,-71.0714,Constituent Call,"(42.2866, -71.0714)"
472794,101001245564,01/11/2015 05:51:31 PM,04/11/2015 05:51:31 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,167 Homestead St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,A,167 Homestead St,2121.0,Address,253170.0,42.3101,-71.0879,Constituent Call,"(42.3101, -71.0879)"
472796,101001245568,01/11/2015 06:39:16 PM,04/11/2015 06:39:16 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,9 Higgins St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2106.0,R4,9 Higgins St,2134.0,Address,251524.0,42.3529,-71.1359,Constituent Call,"(42.3529, -71.1359)"
472824,101001245605,01/11/2015 10:47:11 PM,04/11/2015 10:47:11 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,30 Alaska St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1204.0,R3,30 Alaska St,2119.0,Address,176331.0,42.321,-71.0781,Constituent Call,"(42.321, -71.0781)"
473243,101001246260,01/12/2015 07:30:53 PM,04/12/2015 07:30:53 PM,,OVERDUE,Open,,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,345-345R Centre St  Jamaica Plain  MA  02130,9.0,10A,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,RC,345-345R Centre St,2130.0,Address,27992.0,42.3228,-71.1063,Constituent Call,"(42.3228, -71.1063)"
