,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470144,101001241765,01/03/2015 06:46:21 PM,01/06/2015 08:30:00 AM,01/05/2015 11:43:17 AM,ONTIME,Closed,Case Closed Case Resolved NSTAR RESTORED SERVICE 702L,Major System Failure,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,INTERSECTION of Drummond St & Erie St  Dorchester  MA,7.0,03,4.0,B3,Greater Mattapan,13.0,Ward 14,1403.0,,INTERSECTION Drummond St & Erie St,,Intersection,4251.0,42.3009,-71.0837,Constituent Call,"(42.3009, -71.0837)"
470302,101001241966,01/04/2015 05:29:27 PM,01/06/2015 08:30:00 AM,01/06/2015 04:06:11 PM,OVERDUE,Closed,Case Closed Case Resolved installed overhead and located short in pb,Major System Failure////printed,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,INTERSECTION of Bowen St & E St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,602.0,,INTERSECTION Bowen St & E St,,Intersection,1746.0,42.3362,-71.0512,Constituent Call,"(42.3362, -71.0512)"
470306,101001241970,01/04/2015 05:48:55 PM,01/06/2015 08:30:00 AM,01/07/2015 09:46:07 AM,OVERDUE,Closed,Case Closed Case Resolved ON CALL MAN CHECKED OUT CONTROL PANEL RESET BREAKERS  INSPECTOR  D.PRIOLEAU,Major System Failure////printed,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,10 Monmouth St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,108.0,R2,10 Monmouth St,2128.0,Address,96365.0,42.3797,-71.0387,Constituent Call,"(42.3797, -71.0387)"
470314,101001241981,01/04/2015 06:57:50 PM,01/06/2015 08:30:00 AM,01/05/2015 11:45:35 AM,ONTIME,Closed,Case Closed Case Resolved PULLED TIE CONNECTION NORMANDY ST IS BACK ON LINE 702L 301L,Major System Failure PRINTED,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,INTERSECTION of Normandy St & Stanwood St  Dorchester  MA,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,,INTERSECTION Normandy St & Stanwood St,,Intersection,7613.0,42.3093,-71.0803,Constituent Call,"(42.3093, -71.0803)"
470333,101001242005,01/04/2015 10:02:35 PM,01/06/2015 08:30:00 AM,01/06/2015 04:05:37 PM,OVERDUE,Closed,Case Closed Case Resolved installed overhead and located short in pb,Major System Failure////printed,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,INTERSECTION of Bowen St & D St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,602.0,,INTERSECTION Bowen St & D St,,Intersection,1745.0,42.3372,-71.0528,Constituent Call,"(42.3372, -71.0528)"
470720,101001242580,01/05/2015 03:45:30 PM,01/06/2015 03:45:30 PM,01/26/2015 10:28:39 AM,OVERDUE,Closed,Case Closed Case Resolved CREW REPAIRED SEVERAL GAS SOLAR BURBERS IN AREA,outage////printed,Public Works Department,Street Lights,Major System Failure,PWDx_Street Light Outages,PWDx,,,54 Harvard St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,R2,54 Harvard St,2129.0,Address,70725.0,42.3734,-71.0633,Constituent Call,"(42.3734, -71.0633)"
471167,101001243223,01/06/2015 03:16:02 PM,01/07/2015 03:16:02 PM,01/22/2015 11:18:25 AM,OVERDUE,Closed,Case Closed Case Resolved Repaired broken neutral  light is on.  Contractor Mark 1/21/15,Major System Failure/LAMP #N1454015  85 Austin St/sent,Public Works Department,Street Lights,Major System Failure,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,89 Austin St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1812.0,R1,89 Austin St,2136.0,Address,6794.0,42.2618,-71.1256,Constituent Call,"(42.2618, -71.1256)"
471305,101001243401,01/07/2015 02:17:00 AM,01/08/2015 08:30:00 AM,01/07/2015 02:19:39 AM,ONTIME,Closed,Case Closed Case Resolved  Ballast Sitting On # 10 Wires  Repaired,Major System Failure,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
472094,101001244520,01/08/2015 07:40:46 PM,01/12/2015 08:30:00 AM,01/08/2015 09:42:24 PM,ONTIME,Closed,Case Closed Case Resolved Contactor replaced,Major System Failure,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,INTERSECTION of Humboldt Ave & Seaver St  Dorchester  MA,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,,INTERSECTION Humboldt Ave & Seaver St,,Intersection,6398.0,42.31,-71.0921,Constituent Call,"(42.31, -71.0921)"
472237,101001244736,01/09/2015 09:53:09 AM,01/12/2015 09:53:09 AM,01/13/2015 10:24:23 AM,OVERDUE,Closed,Case Closed Case Resolved checked out and all lights on,Major System Failure/printed,Public Works Department,Street Lights,Major System Failure,PWDx_Major System Failure,PWDx,,,INTERSECTION of Commonwealth Ave & Sutherland Rd  Brighton  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2112.0,,INTERSECTION Commonwealth Ave & Sutherland Rd,,Intersection,3348.0,42.3414,-71.1468,Constituent Call,"(42.3414, -71.1468)"
