,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
480828,101001257092,01/28/2015 08:52:36 AM,02/04/2015 08:52:35 AM,03/02/2015 03:47:21 PM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,55 Colonial Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1705.0,R4,55 Colonial Ave,2124.0,Address,209877.0,42.2905,-71.0774,Constituent Call,"(42.2905, -71.0774)"
503217,101001288932,02/11/2015 03:37:48 PM,02/19/2015 03:37:48 PM,02/13/2015 08:07:28 AM,ONTIME,Closed,Case Closed CORR: Corrected,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,107 Third Ave  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,202.0,E,107 Third Ave,2129.0,Address,170338.0,42.3761,-71.0545,Constituent Call,"(42.3761, -71.0545)"
513064,101001302417,02/17/2015 06:17:30 PM,02/25/2015 08:30:00 AM,02/24/2015 07:53:21 AM,ONTIME,Closed,Case Closed CORR: Corrected,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,1 Westinghouse Plz  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1819.0,CM,1 Westinghouse Plz,2136.0,Address,148470.0,42.2444,-71.1324,Constituent Call,"(42.2444, -71.1324)"
521489,101001314890,02/24/2015 04:35:20 PM,03/03/2015 04:35:20 PM,02/26/2015 08:24:08 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,49 Tremont St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,02,203.0,,49 Tremont St,2129.0,Address,352768.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
542538,101001345469,03/31/2015 08:16:41 AM,04/07/2015 08:30:00 AM,,OVERDUE,Open,,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,10 York St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1402.0,R2,10 York St,2121.0,Address,153282.0,42.2997,-71.081,Constituent Call,"(42.2997, -71.081)"
542584,101001345530,03/31/2015 08:46:10 AM,04/07/2015 08:46:10 AM,,OVERDUE,Open,,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,84 Pierce St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1813.0,R2,84 Pierce St,2136.0,Address,110303.0,42.2573,-71.1172,Constituent Call,"(42.2573, -71.1172)"
542630,101001345592,03/31/2015 09:13:29 AM,04/07/2015 09:13:29 AM,04/13/2015 03:25:13 PM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,120-150 Orleans St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,CM,120-150 Orleans St,2128.0,Address,105890.0,42.3705,-71.0359,Constituent Call,"(42.3705, -71.0359)"
543266,101001346472,04/01/2015 08:35:18 AM,04/08/2015 08:35:18 AM,04/07/2015 08:06:44 AM,ONTIME,Closed,Case Closed CORR: Corrected,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,1271 Boylston St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,05,502.0,C,1271 Boylston St,2215.0,Address,18077.0,42.3452,-71.0968,Constituent Call,"(42.3452, -71.0968)"
550023,101001355757,04/14/2015 09:51:40 AM,04/22/2015 09:51:40 AM,04/15/2015 08:04:09 AM,ONTIME,Closed,Case Closed PERMIS: Permit Issued,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,50-52 Farquhar St  Roslindale  MA  02131,9.0,06,5.0,E5,Roslindale,10.0,Ward 20,2001.0,CM,50-52 Farquhar St,2131.0,Address,56434.0,42.29,-71.1367,Constituent Call,"(42.29, -71.1367)"
557443,101001366120,04/29/2015 08:27:28 AM,05/06/2015 08:30:00 AM,05/15/2015 03:52:55 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-15 15:52:55.47 ADCLSD: Administratively Closed,Mechanical,Inspectional Services,Building,Mechanical,ISD_Building (INTERNAL),ISD,,,622 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,17,1706.0,,622 Washington St,2124.0,Address,355352.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
