,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
473956,101001247286,01/14/2015 01:21:21 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
474177,101001247613,01/15/2015 07:42:20 AM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
497412,101001280849,02/06/2015 04:50:47 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673168,101001660981,12/08/2015 02:48:32 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673172,101001660987,12/08/2015 02:52:17 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673217,101001661067,12/08/2015 03:52:51 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673230,101001661087,12/08/2015 04:12:25 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673237,101001661097,12/08/2015 04:27:39 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673252,101001661117,12/08/2015 05:00:18 PM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
673342,101001661233,12/09/2015 06:11:43 AM,,,ONTIME,Open,,Metrolist Survey,Civil Rights,Survey,Metrolist Survey,HS_OCR Metrolist Survey,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
