,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470480,101001242222,01/05/2015 09:49:51 AM,05/05/2015 09:49:51 AM,,OVERDUE,Open,,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,11 Abbot St  Dorchester  MA  02124,7.0,03,4.0,B3,Dorchester,9.0,14,1409.0,A,11 Abbot St,2124.0,Address,174937.0,42.2972,-71.0865,Constituent Call,"(42.2972, -71.0865)"
470587,101001242388,01/05/2015 12:10:02 PM,05/05/2015 12:10:01 PM,03/16/2015 08:47:52 AM,ONTIME,Closed,Case Closed VIOLFND: Violation Found,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,1465 Blue Hill Ave  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1803.0,CD,1465 Blue Hill Ave,2126.0,Address,16288.0,42.274,-71.0939,Constituent Call,"(42.274, -71.0939)"
470798,101001242685,01/05/2015 07:25:15 PM,05/05/2015 07:25:15 PM,03/05/2015 03:34:11 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,14 Ripley Rd  Dorchester  MA  02121,7.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,R3,14 Ripley Rd,2121.0,Address,116113.0,42.2988,-71.0763,Constituent Call,"(42.2988, -71.0763)"
470976,101001242935,01/06/2015 10:06:10 AM,05/06/2015 10:06:10 AM,,OVERDUE,Open,,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,16 Hansborough St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1411.0,R3,16 Hansborough St,2124.0,Address,246600.0,42.2879,-71.0913,Constituent Call,"(42.2879, -71.0913)"
471072,101001243087,01/06/2015 12:35:06 PM,05/06/2015 12:35:06 PM,03/05/2015 03:32:48 PM,ONTIME,Closed,Case Closed :,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,275 Minot St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1608.0,R3,275 Minot St,2124.0,Address,275987.0,42.2837,-71.059,Constituent Call,"(42.2837, -71.059)"
471159,101001243213,01/06/2015 03:08:45 PM,05/06/2015 03:08:45 PM,,OVERDUE,Open,,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,1041 Tremont St  Mission Hill  MA  02120,9.0,10B,7.0,D4,Roxbury,13.0,Ward 9,904.0,RC,1041 Tremont St,2120.0,Address,320371.0,42.3366,-71.0857,Constituent Call,"(42.3366, -71.0857)"
471220,101001243291,01/06/2015 04:25:33 PM,05/06/2015 04:25:33 PM,,OVERDUE,Open,,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,15 Hansborough St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1411.0,R3,15 Hansborough St,2124.0,Address,246597.0,42.2882,-71.0911,Constituent Call,"(42.2882, -71.0911)"
471453,101001243607,01/07/2015 11:46:44 AM,05/07/2015 11:46:43 AM,,OVERDUE,Open,,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,64 Beach St  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,RC,64 Beach St,2111.0,Address,183329.0,42.3514,-71.0601,Constituent Call,"(42.3514, -71.0601)"
472306,101001244829,01/09/2015 11:07:48 AM,05/09/2015 11:07:47 AM,03/25/2015 02:54:44 PM,ONTIME,Closed,Case Closed VIOLFND: Violation Found,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,109 Fuller St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1711.0,R3,109 Fuller St,2124.0,Address,238561.0,42.2823,-71.0708,Constituent Call,"(42.2823, -71.0708)"
472757,101001245508,01/11/2015 01:39:49 PM,05/11/2015 01:39:49 PM,,OVERDUE,Open,,Mice Infestation - Residential,Inspectional Services,Housing,Mice Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,11 Peterborough St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,A,11 Peterborough St,2215.0,Address,292648.0,42.3443,-71.0958,Self Service,"(42.3443, -71.0958)"
