,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471562,101001243791,01/07/2015 03:38:40 PM,,01/08/2015 04:29:33 AM,ONTIME,Closed,Case Closed Case Resolved Dist. supervisor has been notified to cease salting,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 06: West Roxbury and Roslindale,PWDx,,,INTERSECTION of Lagrange St & Lasell St  West Roxbury  MA,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,,INTERSECTION Lagrange St & Lasell St,,Intersection,6702.0,42.289,-71.1667,Constituent Call,"(42.289, -71.1667)"
471582,101001243818,01/07/2015 04:38:13 PM,,01/08/2015 04:28:28 AM,ONTIME,Closed,Case Closed Case Resolved dist supervisor has been notified,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 09: East Boston,PWDx,,,INTERSECTION of Cowper St & Wordsworth St  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,,INTERSECTION Cowper St & Wordsworth St,,Intersection,3626.0,42.3819,-71.0138,Constituent Call,"(42.3819, -71.0138)"
477918,101001253079,01/24/2015 11:08:45 AM,,01/25/2015 01:58:37 AM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 10A: Roxbury,PWDx,,,390 Centre St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1901.0,RC,390 Centre St,2130.0,Address,28020.0,42.3216,-71.1097,Constituent Call,"(42.3216, -71.1097)"
477978,101001253158,01/24/2015 12:58:27 PM,,01/24/2015 03:46:07 PM,ONTIME,Closed,Case Closed Case Noted  Thank you for the call  the PWD district will check to see if the driver is working for City of Boston.,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 05: South Boston,PWDx,,,246 Dorchester St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,705.0,C,246 Dorchester St,2127.0,Address,155850.0,42.3325,-71.0513,Constituent Call,"(42.3325, -71.0513)"
477985,101001253165,01/24/2015 01:08:46 PM,,01/24/2015 01:32:49 PM,ONTIME,Closed,Case Closed Case Resolved will have inspector check on this,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 1B: North End,PWDx,,,6 Sheafe St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,R3,6 Sheafe St,2113.0,Address,126560.0,42.366,-71.0553,Constituent Call,"(42.366, -71.0553)"
478224,101001253554,01/25/2015 12:58:47 PM,,01/25/2015 07:02:04 PM,ONTIME,Closed,Case Closed Case Resolved salted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 05: South Boston,PWDx,,,770 E Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,608.0,R1,770 E Fourth St,2127.0,Address,59960.0,42.335,-71.0329,Constituent Call,"(42.335, -71.0329)"
478301,101001253731,01/25/2015 08:55:15 PM,,01/26/2015 02:56:49 AM,ONTIME,Closed,Case Closed Case Resolved D P W salt it,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 1C: Downtown,PWDx,,,222 Commonwealth Ave  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,R4,222 Commonwealth Ave,2116.0,Address,39677.0,42.3505,-71.0815,Constituent Call,"(42.3505, -71.0815)"
478353,101001253897,01/26/2015 08:42:59 AM,,01/26/2015 06:30:40 PM,ONTIME,Closed,Case Closed Case Noted cannot change blade,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 09: East Boston,PWDx,,,5 Lamson St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,101.0,R3,5 Lamson St,2128.0,Address,83707.0,42.3655,-71.0332,Constituent Call,"(42.3655, -71.0332)"
478369,101001253933,01/26/2015 09:00:49 AM,,01/26/2015 06:49:10 PM,ONTIME,Closed,Case Closed Case Noted  no contact information given.,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 1C: Downtown,PWDx,,,209 Columbus Ave  Boston  MA  02116,4.0,1C,2.0,D4,Back Bay,6.0,Ward 4,402.0,C,209 Columbus Ave,2116.0,Address,156406.0,42.3485,-71.0724,Constituent Call,"(42.3485, -71.0724)"
478378,101001253955,01/26/2015 09:11:50 AM,,01/26/2015 11:52:27 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,26 Central Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1813.0,E,26 Central Ave,2136.0,Address,27296.0,42.2573,-71.1213,Constituent Call,"(42.2573, -71.1213)"
478381,101001253961,01/26/2015 09:18:11 AM,,01/28/2015 12:34:18 PM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 06: West Roxbury and Roslindale,PWDx,,,0 Hartlawn Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2016.0,RL,0 Hartlawn Rd,2132.0,Address,70262.0,42.2754,-71.1657,Constituent Call,"(42.2754, -71.1657)"
478385,101001253966,01/26/2015 09:21:27 AM,,05/04/2015 11:39:38 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-04 11:39:38.01 Case Noted Thank you for your request. This service request is now considered closed due to the recent arrival of Spring. The City worked around the clock this winter to address the record-breaking snowfall and we hope that many of your concerns were resolved. We encourage you to let us know of any additional issues and thank you for working with us to make the City a better place. Thank you for your patience and we apologize for any requests that we were not able to get to.,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,INFO_Reallocation From Dept,INFO,,,529-531 Gallivan Blvd  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1612.0,R2,529-531 Gallivan Blvd,2124.0,Address,62339.0,42.2825,-71.0546,Constituent Call,"(42.2825, -71.0546)"
478413,101001254042,01/26/2015 10:11:03 AM,,01/26/2015 11:50:58 AM,ONTIME,Closed,Case Closed Case Noted Will notify the driver,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,46 Beacon St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1816.0,R2,46 Beacon St,2136.0,Address,12515.0,42.254,-71.1159,Constituent Call,"(42.254, -71.1159)"
478597,101001254500,01/26/2015 05:06:07 PM,,01/29/2015 08:16:30 AM,ONTIME,Closed,Case Closed Case Noted did u get a plate or a city number,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 06: West Roxbury and Roslindale,PWDx,,,15 Realton Rd  West Roxbury  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2019.0,R1,15 Realton Rd,2132.0,Address,114936.0,42.2926,-71.1484,Constituent Call,"(42.2926, -71.1484)"
478737,101001254706,01/27/2015 09:04:08 AM,,01/28/2015 01:37:08 PM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,855 Metropolitan Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1816.0,R1,855 Metropolitan Ave,2136.0,Address,95049.0,42.2568,-71.1127,Constituent Call,"(42.2568, -71.1127)"
478774,101001254749,01/27/2015 09:51:28 AM,,01/28/2015 01:38:06 PM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,12 Bradlee Park  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,12 Bradlee Park,2136.0,Address,18992.0,42.269,-71.1161,Constituent Call,"(42.269, -71.1161)"
478777,101001254752,01/27/2015 09:55:55 AM,,02/17/2015 07:18:23 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,3 Fendale Ave  Dorchester  MA  02124,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1704.0,R1,3 Fendale Ave,2124.0,Address,57340.0,42.2794,-71.0704,Constituent Call,"(42.2794, -71.0704)"
478786,101001254762,01/27/2015 10:09:10 AM,,04/15/2015 10:30:16 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 10B: Roxbury,PWDx,,,2 Pickering Ave  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1203.0,R1,2 Pickering Ave,2119.0,Address,110163.0,42.3218,-71.0847,Constituent Call,"(42.3218, -71.0847)"
478842,101001254831,01/27/2015 11:00:58 AM,,01/31/2015 08:19:10 AM,ONTIME,Closed,Case Closed Case Resolved truck has been released - street plowed and treated,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 03: North Dorchester,PWDx,,,15 Humphreys Pl  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 7,710.0,R2,15 Humphreys Pl,2125.0,Address,76054.0,42.3194,-71.0677,Constituent Call,"(42.3194, -71.0677)"
478862,101001254855,01/27/2015 11:21:26 AM,,01/28/2015 01:46:18 PM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,12 Bradlee Park  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,12 Bradlee Park,2136.0,Address,18992.0,42.269,-71.1161,Constituent Call,"(42.269, -71.1161)"
478968,101001254976,01/27/2015 12:42:21 PM,,02/17/2015 07:18:22 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,4 Tiverton Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1801.0,R2,4 Tiverton Rd,2126.0,Address,136088.0,42.2793,-71.0824,Constituent Call,"(42.2793, -71.0824)"
478984,101001254999,01/27/2015 12:53:17 PM,,02/17/2015 07:18:22 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,170 Almont St  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1803.0,R1,170 Almont St,2126.0,Address,2765.0,42.2789,-71.0985,Constituent Call,"(42.2789, -71.0985)"
478991,101001255006,01/27/2015 12:56:02 PM,,,ONTIME,Open,,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,ISD_Building (INTERNAL),ISD,,,121 Cottage St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,102.0,R3,121 Cottage St,2128.0,Address,43338.0,42.3686,-71.0341,Constituent Call,"(42.3686, -71.0341)"
479003,101001255019,01/27/2015 01:02:32 PM,,02/17/2015 07:18:23 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,23-27 Cedar St  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1714.0,R3,23-27 Cedar St,2126.0,Address,26848.0,42.2723,-71.0751,Constituent Call,"(42.2723, -71.0751)"
479006,101001255022,01/27/2015 01:05:32 PM,,02/17/2015 07:18:22 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,2-4 Ledgebrook Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1801.0,R2,2-4 Ledgebrook Rd,2126.0,Address,84803.0,42.2711,-71.0835,Constituent Call,"(42.2711, -71.0835)"
479028,101001255048,01/27/2015 01:19:06 PM,,01/30/2015 02:52:54 AM,ONTIME,Closed,Case Closed Case Noted DPW is not doing snow removal at this time however  this will be put on the list.,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 06: West Roxbury and Roslindale,PWDx,,,INTERSECTION of Rowe St & Seymour St  Roslindale  MA,12.0,06,5.0,E5,Roslindale,10.0,Ward 19,1910.0,,INTERSECTION Rowe St & Seymour St,,Intersection,8182.0,42.2793,-71.1208,Constituent Call,"(42.2793, -71.1208)"
479033,101001255056,01/27/2015 01:25:38 PM,,01/31/2015 02:11:06 AM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,12 Bradlee Park  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,12 Bradlee Park,2136.0,Address,18992.0,42.269,-71.1161,Constituent Call,"(42.269, -71.1161)"
479037,101001255061,01/27/2015 01:30:56 PM,,01/27/2015 01:36:57 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case Please refer to #1255056.,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,12 Bradlee Park  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,12 Bradlee Park,2136.0,Address,18992.0,42.269,-71.1161,Constituent Call,"(42.269, -71.1161)"
479059,101001255084,01/27/2015 01:40:39 PM,,01/27/2015 02:20:23 PM,ONTIME,Closed,Case Closed Case Resolved  Inspector states no car abandon,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 05: South Boston,PWDx,,,160 E St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,705.0,R3,160 E St,2127.0,Address,160120.0,42.3339,-71.0542,Constituent Call,"(42.3339, -71.0542)"
479061,101001255086,01/27/2015 01:41:28 PM,,01/31/2015 05:38:37 AM,ONTIME,Closed,Case Closed Case Resolved Case Closed,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 02: Jamaica Plain,PWDx,,,2 Brownson Ter  Roslindale  MA  02131,9.0,02,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,R1,2 Brownson Ter,2131.0,Address,22815.0,42.3001,-71.1285,Constituent Call,"(42.3001, -71.1285)"
479106,101001255138,01/27/2015 02:07:48 PM,,01/31/2015 02:09:24 AM,ONTIME,Closed,Case Closed Case Resolved,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 08: Hyde Park,PWDx,,,12 Bradlee Park  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,12 Bradlee Park,2136.0,Address,18992.0,42.269,-71.1161,Constituent Call,"(42.269, -71.1161)"
479122,101001255156,01/27/2015 02:19:11 PM,,01/27/2015 06:37:54 PM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 03: North Dorchester,PWDx,,,169 Bowdoin St  Dorchester  MA  02122,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1502.0,R3,169 Bowdoin St,2122.0,Address,17661.0,42.3039,-71.0698,Constituent Call,"(42.3039, -71.0698)"
479217,101001255267,01/27/2015 03:07:15 PM,,01/31/2015 12:39:01 PM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 1B: North End,PWDx,,,25 Charter St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,302.0,A,25 Charter St,2113.0,Address,29957.0,42.3668,-71.0536,Constituent Call,"(42.3668, -71.0536)"
479255,101001255310,01/27/2015 03:26:15 PM,,02/17/2015 07:18:22 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,23-25 Arbroth St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1607.0,R2,23-25 Arbroth St,2122.0,Address,4477.0,42.2905,-71.0515,Constituent Call,"(42.2905, -71.0515)"
479307,101001255369,01/27/2015 03:47:30 PM,,02/17/2015 04:06:40 PM,ONTIME,Closed,Case Closed Case Noted  Your street had been added to the snow removal list.  Thank you for your patience.,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 10B: Roxbury,PWDx,,,16 Magazine St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,807.0,CM,16 Magazine St,2119.0,Address,88170.0,42.3256,-71.0739,Constituent Call,"(42.3256, -71.0739)"
479317,101001255385,01/27/2015 03:51:05 PM,,02/17/2015 07:18:22 AM,ONTIME,Closed,Case Closed Case Noted,Misc. Snow Complaint,Public Works Department,Administrative & General Requests,Misc. Snow Complaint,PWDx_District 07: South Dorchester,PWDx,,,32 Woolson St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1405.0,R3,32 Woolson St,2126.0,Address,152132.0,42.282,-71.0906,Constituent Call,"(42.282, -71.0906)"
