,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
476253,101001250472,01/20/2015 02:06:04 PM,02/19/2015 02:06:04 PM,,OVERDUE,Open,,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,550 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,1,111.0,,550 Bennington St,2128.0,Address,342518.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
560629,101001370838,05/05/2015 04:10:00 PM,06/04/2015 04:10:58 PM,05/06/2015 08:48:52 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-06 08:48:52.74 ADCLSD: Administratively Closed,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,127 King St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1605.0,R3,127 King St,2122.0,Address,261541.0,42.2937,-71.054,Self Service,"(42.2937, -71.054)"
566801,101001379957,05/18/2015 02:43:00 PM,06/17/2015 02:43:47 PM,05/19/2015 08:19:53 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-19 08:19:53.543 NOVIO: No Violation Found/No Cause,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,21-21A Haskell St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2201.0,R2,21-21A Haskell St,2134.0,Address,166126.0,42.3593,-71.1283,Constituent Call,"(42.3593, -71.1283)"
570787,101001395876,05/27/2015 11:53:00 AM,06/26/2015 11:53:15 AM,05/28/2015 07:20:57 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-28 07:20:57.31 ADCLSD: Administratively Closed,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,155 Wood Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,155 Wood Ave,2136.0,Address,151223.0,42.2687,-71.1114,Constituent Call,"(42.2687, -71.1114)"
572044,101001397711,05/29/2015 09:24:00 AM,06/28/2015 09:24:47 AM,06/02/2015 09:58:50 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-02 09:58:50.64 NOVIO: No Violation Found/No Cause,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,92 Webster St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,R3,92 Webster St,2128.0,Address,146945.0,42.367,-71.0372,Constituent Call,"(42.367, -71.0372)"
574478,101001401240,06/03/2015 08:41:51 AM,07/03/2015 08:41:51 AM,,OVERDUE,Open,,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,173 Kennebec St  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1821.0,R1,173 Kennebec St,2126.0,Address,81123.0,42.2734,-71.1061,Constituent Call,"(42.2734, -71.1061)"
575407,101001402605,06/04/2015 01:49:00 PM,07/04/2015 01:49:01 PM,06/12/2015 09:31:59 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-12 09:31:59.857 NOVIO: No Violation Found/No Cause,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,39 Chappie St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,207.0,R3,39 Chappie St,2129.0,Address,29001.0,42.3828,-71.0687,Constituent Call,"(42.3828, -71.0687)"
579477,101001408700,06/12/2015 03:47:25 PM,07/12/2015 03:47:25 PM,06/12/2015 03:49:28 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-12 15:49:28.597 Case Invalid,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of Columbia Rd & Hamilton St  Dorchester  MA,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1501.0,,INTERSECTION Columbia Rd & Hamilton St,,Intersection,3225.0,42.3101,-71.0723,Constituent Call,"(42.3101, -71.0723)"
579483,101001408709,06/12/2015 03:54:00 PM,07/12/2015 03:54:46 PM,06/24/2015 02:07:15 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-24 14:07:15.8 NOVIO: No Violation Found/No Cause,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,9 Estes Ave  Dorchester  MA  02121,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1501.0,RL,9 Estes Ave,2121.0,Address,54400.0,42.3079,-71.0723,Constituent Call,"(42.3079, -71.0723)"
584878,101001416680,06/24/2015 02:18:00 PM,07/24/2015 02:18:29 PM,09/14/2015 09:56:23 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-14 09:56:23.983 NOVIO: No Violation Found/No Cause,Mosquitoes (West Nile),Inspectional Services,Environmental Services,Mosquitoes (West Nile),ISD_Environmental Services (INTERNAL),ISD,,,82 Topliff St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1507.0,R3,82 Topliff St,2122.0,Address,136259.0,42.302,-71.0676,Constituent Call,"(42.302, -71.0676)"
