,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
490391,101001270278,02/03/2015 12:08:43 PM,02/10/2015 12:08:43 PM,10/19/2015 09:37:32 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-19 09:37:32.1 Case Noted,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,0 Charles St  Boston  MA  02114,3.0,1B,8.0,A1,Back Bay,3.0,Ward 3,305.0,E,0 Charles St,2114.0,Address,29035.0,42.3652,-71.0692,Constituent Call,"(42.3652, -71.0692)"
504701,101001291198,02/12/2015 12:22:37 PM,02/20/2015 12:22:36 PM,02/12/2015 02:43:26 PM,ONTIME,Closed,Case Closed Case Noted Snow contractors have been working nights to try to reduce the size of the snow mounds.  Unfortuntely we do not have the ability to completely remove all of the snow,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,1249 Hyde Park Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1813.0,E,1249 Hyde Park Ave,2136.0,Address,340349.0,42.2565,-71.1242,Constituent Call,"(42.2565, -71.1242)"
516835,101001307999,02/20/2015 08:19:48 AM,02/27/2015 08:30:00 AM,02/20/2015 12:48:21 PM,ONTIME,Closed,Case Closed Case Resolved The lot has been plowed/sanded/salted several times during the number of storms.  An inspection today confirms that it is good condition,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,459 River St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1804.0,E,459 River St,2126.0,Address,116612.0,42.2688,-71.0926,Constituent Call,"(42.2688, -71.0926)"
525967,101001321507,03/02/2015 01:59:58 PM,03/09/2015 01:59:57 PM,03/05/2015 10:14:37 AM,ONTIME,Closed,Case Closed Case Noted,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,11 Tafthill Ter  Roslindale  MA  02131,9.0,02,5.0,E5,Roslindale,10.0,Ward 20,2002.0,R4,11 Tafthill Ter,2131.0,Address,133624.0,42.2874,-71.128,Constituent Call,"(42.2874, -71.128)"
598681,101001435919,07/24/2015 09:15:00 AM,07/31/2015 09:15:58 AM,10/16/2015 10:57:14 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-16 10:57:14.26 Case Resolved 2 Hour Parking Limit initiated in these lots,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,INTERSECTION of London St & Porter St  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,,INTERSECTION London St & Porter St,,Intersection,6923.0,42.3743,-71.0378,Constituent Call,"(42.3743, -71.0378)"
615634,101001528282,08/23/2015 05:06:00 PM,08/31/2015 08:30:00 AM,10/19/2015 09:33:51 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-19 09:33:51.047 Case Resolved Lines Painted,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,INTERSECTION of Centre St & Thomas St  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1908.0,,INTERSECTION Centre St & Thomas St,,Intersection,2670.0,42.3104,-71.1149,Constituent Call,"(42.3104, -71.1149)"
632613,101001582151,09/18/2015 09:52:00 AM,09/25/2015 09:52:45 AM,09/18/2015 10:30:03 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-18 10:30:03.433 Case Noted Call the Franklin Park Coalition at 617-442-4141. They own this parking lot.,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,INFO_Reallocation From Dept,INFO,,,144 Seaver St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,A,144 Seaver St,2121.0,Address,124146.0,42.3094,-71.0909,Constituent Call,"(42.3094, -71.0909)"
632742,101001582344,09/18/2015 12:06:00 PM,09/25/2015 12:06:45 PM,10/16/2015 10:54:00 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-16 10:54:00.033 Case Resolved Spoke to cleaning subcontractor.,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,555 Amory St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1107.0,RC,555 Amory St,2130.0,Address,178017.0,42.3085,-71.108,Constituent Call,"(42.3085, -71.108)"
641494,101001604936,10/05/2015 11:02:00 AM,10/13/2015 11:02:15 AM,,OVERDUE,Open,,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Administration,BTDT,,,70 E India Row  Boston  MA  02110,3.0,1C,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,C,70 E India Row,2110.0,Address,78366.0,42.3582,-71.0506,Constituent Call,"(42.3582, -71.0506)"
642754,101001606852,10/07/2015 09:41:00 AM,10/15/2015 09:41:57 AM,10/13/2015 08:08:22 AM,ONTIME,Closed,Case Closed. Closed date : 2015-10-13 08:08:22.57 Case Resolved Discussed with business owner. understands the new program,Municipal Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Municipal Parking Lot Complaints,BTDT_Parking Lot_Municipal Parking Lot Complaints,BTDT,,,741 Centre St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1908.0,C,741 Centre St,2130.0,Address,28182.0,42.3108,-71.1149,Constituent Call,"(42.3108, -71.1149)"
