,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
565808,101001378529,05/15/2015 02:40:00 PM,,05/15/2015 02:59:56 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-15 14:59:56.75 Case Invalid Production TEST,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,139 Tremont St  Boston  MA  02108,3.0,1C,8.0,A1,Beacon Hill,14.0,05,503.0,E,139 Tremont St,2108.0,Address,341542.0,42.3554,-71.0638,Constituent Call,"(42.3554, -71.0638)"
568333,101001382252,05/21/2015 09:31:02 AM,,05/21/2015 09:32:53 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-21 09:32:53.67 Case Invalid THIS IS A TEST,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,1 City Hall Plz  Boston  MA  02108,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,306.0,E,1 City Hall Plz,2108.0,Address,32856.0,42.3604,-71.0583,Constituent Call,"(42.3604, -71.0583)"
568359,101001382293,05/21/2015 10:01:46 AM,,05/21/2015 10:02:16 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-21 10:02:16.217 Case Invalid test,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,1 City Hall Plz  Boston  MA  02108,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,306.0,E,1 City Hall Plz,2108.0,Address,32856.0,42.3604,-71.0583,Constituent Call,"(42.3604, -71.0583)"
568829,101001383044,05/22/2015 09:24:00 AM,,05/24/2015 05:25:57 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-24 17:25:57.1 Case Noted Canvassed the baseball/softball field area of the Joe Moakley Park  recovered 0 syringes. Constituent neglected to leave any contact info. According to Parks Dept. employees it wasn't necessarily uncommon to get a false syringe sighting? I'll return to the park with a fresh set of eyes next week.� Canty�,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,INTERSECTION of Logan Way & Old Colony Ave  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,707.0,,INTERSECTION Logan Way & Old Colony Ave,,Intersection,6915.0,42.3271,-71.0525,Constituent Call,"(42.3271, -71.0525)"
569002,101001383310,05/22/2015 12:40:00 PM,,05/22/2015 03:10:51 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-22 15:10:51.2 Case Noted 1 syringe recovered on Clifford park side of Proctor St.�,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,INTERSECTION of Massachusetts Ave & Proctor St  Roxbury  MA,6.0,1C,7.0,C6,South Boston / South Boston Waterfront,13.0,Ward 8,806.0,,INTERSECTION Massachusetts Ave & Proctor St,,Intersection,7151.0,42.3276,-71.0675,Constituent Call,"(42.3276, -71.0675)"
569603,101001394204,05/25/2015 01:08:00 PM,,05/28/2015 09:17:49 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-28 21:17:49.38 Case Noted Hi  We did a thorough search of the area and did not locate any needles. We spoke with the business owner and he advised he didn't see any needles .     Sent from my iPhone,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,INTERSECTION of W Concord St & Shawmut Ave  Roxbury  MA,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,,INTERSECTION W Concord St & Shawmut Ave,,Intersection,3420.0,42.3387,-71.0759,Constituent Call,"(42.3387, -71.0759)"
569646,101001394268,05/25/2015 04:34:00 PM,,10/05/2015 05:40:58 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-05 17:40:58.527 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,INTERSECTION of Saint Cecilia St & Scotia St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 4,406.0,,INTERSECTION Saint Cecilia St & Scotia St,,Intersection,8242.0,42.347,-71.0865,Constituent Call,"(42.347, -71.0865)"
570700,101001395762,05/27/2015 10:54:36 AM,,05/27/2015 10:57:14 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-27 10:57:14.567 Case Invalid,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,150 Norfolk Ave  Roxbury  MA  02119,7.0,03,7.0,B2,Roxbury,13.0,08,806.0,E,150 Norfolk Ave,2119.0,Address,156896.0,42.3262,-71.0712,Constituent Call,"(42.3262, -71.0712)"
570860,101001395965,05/27/2015 12:52:00 PM,,05/31/2015 08:42:06 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-31 20:42:06.067 Case Resolved Hi � We Located one needle across from 106 Blue Hill ave .We canvased the area thoroughly and found no other needles .,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,106 Blue Hill Ave  Roxbury  MA  02119,7.0,03,7.0,B2,Roxbury,13.0,Ward 8,807.0,R3,106 Blue Hill Ave,2119.0,Address,16128.0,42.3215,-71.0772,Constituent Call,"(42.3215, -71.0772)"
572540,101001398396,05/29/2015 04:43:00 PM,,06/01/2015 11:04:48 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-01 11:04:48.627 Case Noted Conducted a detailed search of the area  did not recover any hypodermic needles in the area.� -Canty�,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,1005 Columbia Rd  South Boston  MA  02127,6.0,05,2.0,C6,South Boston,5.0,7,707.0,,1005 Columbia Rd,2127.0,Address,163529.0,42.3272,-71.0504,Constituent Call,"(42.3272, -71.0504)"
