,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470095,101001241686,01/03/2015 02:31:43 PM,12/23/2016 02:31:43 PM,05/29/2015 09:24:56 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:24:56.11 Case Noted Unable to plant new trees at this location. The sidewalk is not ADA compliant,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,230 Amory St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1106.0,R3,230 Amory St,2130.0,Address,158926.0,42.3162,-71.1033,Self Service,"(42.3162, -71.1033)"
470450,101001242177,01/05/2015 09:18:24 AM,12/25/2016 09:18:23 AM,01/07/2016 08:33:18 AM,ONTIME,Closed,Case Closed. Closed date : 2016-01-07 08:33:18.32 Case Resolved The new tree was planted by Leahy Landscaping in the Fall of 2015. The tree is under warranty until Fall of 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54aa9d2cd052065cdb4ce327/photo/Report.jpg,,229 Brighton Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,C,229 Brighton Ave,2134.0,Address,156216.0,42.3537,-71.1357,City Worker App,"(42.3537, -71.1357)"
470592,101001242394,01/05/2015 12:20:50 PM,12/25/2016 12:20:49 PM,12/10/2015 12:01:50 PM,ONTIME,Closed,Case Closed. Closed date : 2015-12-10 12:01:50.87 Case Resolved duplicate case (see case #101001357938),New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,221 Lexington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,109.0,R3,221 Lexington St,2128.0,Address,85598.0,42.3797,-71.0317,Constituent Call,"(42.3797, -71.0317)"
471743,101001244046,01/08/2015 10:15:18 AM,12/28/2016 10:15:10 AM,01/12/2015 12:39:05 PM,ONTIME,Closed,Case Closed Case Invalid No eform,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,25 King St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1604.0,R3,25 King St,2124.0,Address,81819.0,42.2923,-71.0598,Employee Generated,"(42.2923, -71.0598)"
471789,101001244108,01/08/2015 11:12:18 AM,12/28/2016 11:12:18 AM,05/01/2015 08:50:31 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case Duplicate of case # 1188282,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,347 W Second St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,R2,347 W Second St,2127.0,Address,124703.0,42.3384,-71.0468,Constituent Call,"(42.3384, -71.0468)"
471965,101001244341,01/08/2015 02:14:48 PM,12/28/2016 02:14:47 PM,01/20/2015 07:50:49 AM,ONTIME,Closed,Case Closed,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,54 Cerdan Ave  Roslindale  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,R1,54 Cerdan Ave,2132.0,Address,28516.0,42.2907,-71.143,City Worker App,"(42.2907, -71.143)"
472203,101001244694,01/09/2015 09:12:57 AM,12/29/2016 09:12:57 AM,09/11/2015 09:14:33 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-11 09:14:33.35 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,540 Albany St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,801.0,C,540 Albany St,2118.0,Address,1550.0,42.3373,-71.067,City Worker App,"(42.3373, -71.067)"
473000,101001245849,01/12/2015 10:04:06 AM,01/01/2017 10:04:05 AM,09/08/2015 09:43:48 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-08 09:43:48.96 Case Noted Do not Plant. Resident does not want a new tree.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54b3e262d052065cdb4d1321/photo/Report.jpg,,1 Salem St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,02,206.0,RC,1 Salem St,2129.0,Address,305340.0,42.3773,-71.0664,City Worker App,"(42.3773, -71.0664)"
473002,101001245852,01/12/2015 10:06:32 AM,01/01/2017 10:06:32 AM,09/08/2015 10:50:18 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-08 10:50:18.9 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54b3e2f4d052065cdb4d1332/photo/Report.jpg,,25 Salem St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,R1,25 Salem St,2129.0,Address,121973.0,42.3777,-71.0658,City Worker App,"(42.3777, -71.0658)"
473003,101001245853,01/12/2015 10:07:07 AM,01/01/2017 10:07:07 AM,09/08/2015 10:49:36 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-08 10:49:36.443 Case Noted The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54b3e318d052065cdb4d1342/photo/Report.jpg,,12-14 Salem St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,I,12-14 Salem St,2129.0,Address,121960.0,42.3777,-71.0661,City Worker App,"(42.3777, -71.0661)"
473005,101001245855,01/12/2015 10:08:34 AM,01/01/2017 10:08:34 AM,09/08/2015 10:49:54 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-08 10:49:54.623 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54b3e36ed052065cdb4d1355/photo/Report.jpg,,12-14 Salem St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,I,12-14 Salem St,2129.0,Address,121960.0,42.3777,-71.0661,City Worker App,"(42.3777, -71.0661)"
473010,101001245864,01/12/2015 10:11:00 AM,01/01/2017 10:11:16 AM,06/18/2015 01:33:12 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-18 13:33:12.47 Case Noted Planting was stopped due to resident coming out of house and not wanting the tree planted.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54b3e40ed052065cdb4d137c/photo/Report.jpg,,15 Salem St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,R2,15 Salem St,2129.0,Address,121962.0,42.3775,-71.066,City Worker App,"(42.3775, -71.066)"
473508,101001246646,01/13/2015 01:02:16 PM,01/02/2017 01:02:16 PM,01/13/2015 01:10:59 PM,ONTIME,Closed,Case Closed Case Noted A new tree request can not be made while a tree is still standing at this location. There is no room for an adtional tree.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,79 Leyden St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,R3,79 Leyden St,2128.0,Address,85843.0,42.3895,-71.0094,Self Service,"(42.3895, -71.0094)"
473654,101001246860,01/13/2015 07:39:36 PM,01/02/2017 07:39:36 PM,01/14/2015 01:30:10 PM,ONTIME,Closed,Case Closed Case Resolved duplicate case. tree to be planted in spring 2015,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,20 Wycliff Ave  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2005.0,R1,20 Wycliff Ave,2132.0,Address,153043.0,42.2762,-71.1681,Self Service,"(42.2762, -71.1681)"
473877,101001247171,01/14/2015 11:20:49 AM,01/03/2017 11:20:49 AM,09/10/2015 02:09:30 PM,ONTIME,Closed,Case Closed. Closed date : 2015-09-10 14:09:30.797 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,8 Glenham St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,R1,8 Glenham St,2132.0,Address,64407.0,42.2897,-71.168,City Worker App,"(42.2897, -71.168)"
473880,101001247174,01/14/2015 11:23:05 AM,01/03/2017 11:23:05 AM,09/10/2015 02:08:20 PM,ONTIME,Closed,Case Closed. Closed date : 2015-09-10 14:08:20.067 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54b697e7d052065cdb4d292e/photo/Report.jpg,,24 Glenham St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,R1,24 Glenham St,2132.0,Address,64395.0,42.2891,-71.1689,City Worker App,"(42.2891, -71.1689)"
474228,101001247713,01/15/2015 09:47:15 AM,01/04/2017 09:47:13 AM,09/10/2015 01:24:18 PM,ONTIME,Closed,Case Closed. Closed date : 2015-09-10 13:24:18.127 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,54 Cerdan Ave  Roslindale  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,R1,54 Cerdan Ave,2132.0,Address,28516.0,42.2907,-71.143,Employee Generated,"(42.2907, -71.143)"
474400,101001247941,01/15/2015 01:14:00 PM,01/04/2017 01:14:05 PM,,ONTIME,Open,,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,306 Sumner St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,R3,306 Sumner St,2128.0,Address,132384.0,42.3676,-71.0364,Constituent Call,"(42.3676, -71.0364)"
474596,101001248221,01/16/2015 07:32:40 AM,01/05/2017 07:32:39 AM,09/08/2015 09:16:25 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-08 09:16:25.38 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,2 W Cedar St  Boston  MA  02108,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,511.0,R1,2 W Cedar St,2108.0,Address,26900.0,42.3573,-71.0694,Employee Generated,"(42.3573, -71.0694)"
476212,101001250414,01/20/2015 01:34:47 PM,01/09/2017 01:34:42 PM,09/10/2015 03:04:39 PM,ONTIME,Closed,Case Closed. Closed date : 2015-09-10 15:04:39.823 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,New Tree Requests,Parks & Recreation Department,Trees,New Tree Requests,PARK_New Tree Requests,PARK,,,46 Pleasantdale Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2015.0,R1,46 Pleasantdale Rd,2132.0,Address,111349.0,42.2606,-71.162,Employee Generated,"(42.2606, -71.162)"
