,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
506917,101001294516,02/14/2015 01:17:43 AM,02/18/2015 08:30:00 AM,02/17/2015 09:21:30 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,240 Commercial St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,301.0,,240 Commercial St,2109.0,Address,351949.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
518593,101001310553,02/21/2015 10:03:19 PM,02/24/2015 08:30:00 AM,02/25/2015 08:37:58 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,1102 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,308.0,C,1102 Washington St,2118.0,Address,155773.0,42.3443,-71.0653,Constituent Call,"(42.3443, -71.0653)"
521171,101001314427,02/24/2015 01:10:30 PM,02/25/2015 01:10:30 PM,02/25/2015 07:48:03 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,867 Boylston St  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,05,508.0,,867 Boylston St,2116.0,Address,351731.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
579583,101001408848,06/13/2015 12:48:00 AM,06/16/2015 08:30:00 AM,06/16/2015 08:05:27 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-16 08:05:27.137 NOVIO: No Violation Found/No Cause,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,955 Boylston St  Boston  MA  02115,4.0,1C,8.0,D4,Boston,14.0,5,509.0,CM,955 Boylston St,2115.0,Address,18426.0,42.348,-71.0859,Constituent Call,"(42.348, -71.0859)"
583466,101001414658,06/22/2015 10:55:42 AM,06/23/2015 10:55:42 AM,06/22/2015 03:35:48 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-22 15:35:48.163 NOVIO: No Violation Found/No Cause,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,13-15 Maverick Sq  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,C,13-15 Maverick Sq,2128.0,Address,92866.0,42.369,-71.0392,Constituent Call,"(42.369, -71.0392)"
584509,101001416133,06/24/2015 03:04:00 AM,06/25/2015 08:30:00 AM,06/26/2015 08:05:27 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-06-26 08:05:27.703 VIOISS: Violation Filed,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,283-285 Washington St  Boston  MA  02108,3.0,1C,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,C,283-285 Washington St,2108.0,Address,144562.0,42.3576,-71.0584,Constituent Call,"(42.3576, -71.0584)"
636797,101001598172,09/25/2015 01:45:00 PM,09/28/2015 01:45:00 PM,09/28/2015 09:28:55 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-28 09:28:55.443 NOVIO: No Violation Found/No Cause,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,77 Harrison Ave  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,RC,77 Harrison Ave,2111.0,Address,70058.0,42.3511,-71.0616,Constituent Call,"(42.3511, -71.0616)"
640787,101001603927,10/02/2015 11:14:00 PM,10/06/2015 08:30:00 AM,10/07/2015 08:29:05 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-07 08:29:05.23 NOVIO: No Violation Found/No Cause,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,262 Friend St  Boston  MA  02114,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,C,262 Friend St,2114.0,Address,156272.0,42.3645,-71.0614,Constituent Call,"(42.3645, -71.0614)"
647731,101001614241,10/16/2015 07:02:00 PM,10/20/2015 08:30:00 AM,10/19/2015 03:11:39 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-19 15:11:39.24 ADCLSD: Administratively Closed,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,51 Roxbury St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,09,905.0,,51 Roxbury St,2119.0,Address,351534.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
679806,101001680994,12/23/2015 09:52:00 AM,12/24/2015 09:52:00 AM,12/30/2015 08:12:55 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-12-30 08:12:55.84 NOVIO: No Violation Found/No Cause,No Utilities - Food Establishment - Water,Inspectional Services,Health,No Utilities - Food Establishment - Water,ISD_Health (INTERNAL),ISD,,,699 Massachusetts Ave  Roxbury  MA  02118,7.0,10B,2.0,D4,Roxbury,6.0,Ward 8,802.0,E,699 Massachusetts Ave,2118.0,Address,92612.0,42.3351,-71.0756,Constituent Call,"(42.3351, -71.0756)"
