,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
475416,101001249416,01/19/2015 04:19:26 PM,02/18/2015 04:19:25 PM,01/19/2015 04:25:07 PM,ONTIME,Closed,Case Closed Case Invalid wrong e form,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,425 Old Colony Ave  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,707.0,E,425 Old Colony Ave,2127.0,Address,173978.0,42.3258,-71.0528,Constituent Call,"(42.3258, -71.0528)"
476252,101001250466,01/20/2015 02:04:45 PM,02/19/2015 02:04:45 PM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,11 Iowa St  Dorchester  MA  02124,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1505.0,R3,11 Iowa St,2124.0,Address,258738.0,42.3003,-71.0679,Constituent Call,"(42.3003, -71.0679)"
485818,101001263830,01/30/2015 08:44:49 AM,03/01/2015 08:44:49 AM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,429 W Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,R1,429 W Fourth St,2127.0,Address,60297.0,42.3356,-71.0481,Constituent Call,"(42.3356, -71.0481)"
494906,101001276949,02/05/2015 08:12:22 AM,03/07/2015 08:12:21 AM,02/05/2015 08:14:10 AM,ONTIME,Closed,Case Closed Case Invalid Opened wrong eform.,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,477 Meridian St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,108.0,R3,477 Meridian St,2128.0,Address,94632.0,42.3831,-71.0391,Constituent Call,"(42.3831, -71.0391)"
494914,101001276973,02/05/2015 08:17:30 AM,03/07/2015 08:17:30 AM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,477 Meridian St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,108.0,R3,477 Meridian St,2128.0,Address,94632.0,42.3831,-71.0391,Constituent Call,"(42.3831, -71.0391)"
500274,101001284768,02/10/2015 09:17:35 AM,03/12/2015 09:17:35 AM,02/10/2015 09:24:44 AM,ONTIME,Closed,Case Closed Case Invalid Opened wrong eform.  See case number 1284775,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,516 E Broadway  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,R4,516 E Broadway,2127.0,Address,20946.0,42.3357,-71.0436,Constituent Call,"(42.3357, -71.0436)"
502868,101001288428,02/11/2015 12:43:04 PM,03/13/2015 12:43:03 PM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,45 W Broadway  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,CD,45 W Broadway,2127.0,Address,21530.0,42.3421,-71.0564,Constituent Call,"(42.3421, -71.0564)"
508482,101001296489,02/15/2015 05:33:09 PM,03/17/2015 05:33:09 PM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,127 Fuller St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1710.0,R3,127 Fuller St,2124.0,Address,238582.0,42.282,-71.0719,Constituent Call,"(42.282, -71.0719)"
511815,101001300696,02/17/2015 10:35:11 AM,03/19/2015 10:35:10 AM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,8 Rector Rd  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,9.0,Ward 18,1805.0,R3,8 Rector Rd,2126.0,Address,114962.0,42.2653,-71.0996,Constituent Call,"(42.2653, -71.0996)"
518470,101001310344,02/21/2015 04:36:54 PM,03/23/2015 04:36:54 PM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,90 Columbia Rd  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1403.0,A,90 Columbia Rd,2121.0,Address,35449.0,42.3051,-71.0817,Constituent Call,"(42.3051, -71.0817)"
523219,101001317386,02/26/2015 10:27:49 AM,03/28/2015 10:27:48 AM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,45 W Broadway  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,CD,45 W Broadway,2127.0,Address,21530.0,42.3421,-71.0564,Constituent Call,"(42.3421, -71.0564)"
526146,101001321774,03/02/2015 04:39:19 PM,04/01/2015 04:39:19 PM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,1 Weld Ave  Roxbury  MA  02119,9.0,02,7.0,E13,Jamaica Plain,11.0,Ward 11,1105.0,RC,1 Weld Ave,2119.0,Address,147025.0,42.3152,-71.0981,Constituent Call,"(42.3152, -71.0981)"
529289,101001326522,03/06/2015 09:36:27 PM,04/05/2015 09:36:26 PM,03/11/2015 10:06:46 AM,ONTIME,Closed,Case Closed :,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,5 Gleason St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1402.0,R2,5 Gleason St,2121.0,Address,63917.0,42.2966,-71.0812,Constituent Call,"(42.2966, -71.0812)"
532117,101001330964,03/12/2015 09:22:40 AM,04/11/2015 09:22:40 AM,03/12/2015 09:47:31 AM,ONTIME,Closed,Case Closed :,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,14 Alleghany St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R2,14 Alleghany St,2120.0,Address,2242.0,42.3297,-71.0982,Constituent Call,"(42.3297, -71.0982)"
534979,101001335037,03/17/2015 12:46:54 PM,04/16/2015 12:46:53 PM,,OVERDUE,Open,,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,6 Norton St  Dorchester  MA  02125,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1502.0,R3,6 Norton St,2125.0,Address,285089.0,42.3067,-71.0699,Constituent Call,"(42.3067, -71.0699)"
535196,101001335332,03/17/2015 03:22:51 PM,04/16/2015 03:22:51 PM,03/18/2015 03:18:41 PM,ONTIME,Closed,Case Closed :,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,165 Boylston St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1106.0,RL,165 Boylston St,2130.0,Address,18473.0,42.3157,-71.1029,Constituent Call,"(42.3157, -71.1029)"
536950,101001337652,03/19/2015 04:17:10 PM,04/18/2015 04:17:10 PM,03/20/2015 03:27:07 PM,ONTIME,Closed,Case Closed :,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,59hf Round Hill St  Jamaica Plain  MA  02130,9.0,10A,6.0,E13,Jamaica Plain,11.0,Ward 10,1006.0,R1,59hf Round Hill St,2130.0,Address,118918.0,42.3249,-71.1074,Self Service,"(42.3249, -71.1074)"
545861,101001350059,04/06/2015 11:04:18 AM,05/06/2015 11:04:18 AM,04/13/2015 11:29:59 AM,ONTIME,Closed,Case Closed :,No Utilities Residential - Electricity,Inspectional Services,Housing,No Utilities Residential - Electricity,ISD_Housing (INTERNAL),ISD,,,416 Seaver St  Dorchester  MA  02121,7.0,03,4.0,B3,Roxbury,8.0,Ward 14,1406.0,CD,416 Seaver St,2121.0,Address,124205.0,42.3033,-71.0808,Constituent Call,"(42.3033, -71.0808)"
