,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470415,101001242123,01/05/2015 08:49:13 AM,02/04/2015 08:49:13 AM,,OVERDUE,Open,,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,180 Shawmut Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,308.0,A,180 Shawmut Ave,2118.0,Address,309706.0,42.3448,-71.0664,Constituent Call,"(42.3448, -71.0664)"
471760,101001244069,01/08/2015 10:34:32 AM,02/07/2015 10:34:32 AM,01/12/2015 03:47:29 PM,ONTIME,Closed,Case Closed :,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,41-43 Shannon St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,22,2203.0,,41-43 Shannon St,2135.0,Address,347233.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
471767,101001244078,01/08/2015 10:42:27 AM,02/07/2015 10:42:27 AM,01/09/2015 03:49:25 PM,ONTIME,Closed,Case Closed :,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,247 Fuller St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1710.0,R2,247 Fuller St,2124.0,Address,61159.0,42.2809,-71.0774,Constituent Call,"(42.2809, -71.0774)"
471771,101001244082,01/08/2015 10:48:31 AM,02/07/2015 10:48:31 AM,03/05/2015 03:30:27 PM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,175 Minot St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,R3,175 Minot St,2122.0,Address,275955.0,42.2839,-71.0546,Constituent Call,"(42.2839, -71.0546)"
471866,101001244214,01/08/2015 12:36:20 PM,02/07/2015 12:36:19 PM,,OVERDUE,Open,,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,21 San Juan St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,09,901.0,,21 San Juan St,2118.0,Address,351018.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
471909,101001244271,01/08/2015 01:07:00 PM,02/07/2015 01:07:00 PM,,OVERDUE,Open,,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,19 Wedgemere Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2005.0,R1,19 Wedgemere Rd,2132.0,Address,146985.0,42.2715,-71.1607,Self Service,"(42.2715, -71.1607)"
472087,101001244511,01/08/2015 06:41:12 PM,02/07/2015 06:41:12 PM,,OVERDUE,Open,,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,298 Columbus Ave  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 4,401.0,CM,298 Columbus Ave,2116.0,Address,35593.0,42.3465,-71.0741,Self Service,"(42.3465, -71.0741)"
472215,101001244707,01/09/2015 09:23:56 AM,02/08/2015 09:23:56 AM,01/09/2015 10:18:06 AM,ONTIME,Closed,Case Closed Case Resolved Tenant called to cancel.,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,420 Talbot Ave  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,8.0,Ward 16,1603.0,R3,420 Talbot Ave,2124.0,Address,317774.0,42.2899,-71.0687,Constituent Call,"(42.2899, -71.0687)"
472243,101001244745,01/09/2015 10:05:32 AM,02/08/2015 10:05:32 AM,,OVERDUE,Open,,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,588 Park St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1703.0,R2,588 Park St,2124.0,Address,289970.0,42.2945,-71.0767,Constituent Call,"(42.2945, -71.0767)"
472556,101001245199,01/09/2015 08:03:00 PM,02/08/2015 08:03:00 PM,,OVERDUE,Open,,No Utilities Residential - Water,Inspectional Services,Housing,No Utilities Residential - Water,ISD_Housing (INTERNAL),ISD,,,5 Edwin St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1606.0,A,5 Edwin St,2124.0,Address,228452.0,42.2887,-71.0629,Constituent Call,"(42.2887, -71.0629)"
