,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
474141,101001247565,01/14/2015 10:16:08 PM,01/21/2015 08:30:00 AM,01/15/2015 03:08:33 AM,ONTIME,Closed,Case Closed Case Noted This streets are year round,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 1C: Downtown,PWDx,,,1154 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,CD,1154 Washington St,2118.0,Address,143856.0,42.3434,-71.0659,Self Service,"(42.3434, -71.0659)"
477386,101001252243,01/23/2015 06:50:51 AM,01/28/2015 08:30:00 AM,01/23/2015 08:33:47 AM,ONTIME,Closed,Case Closed Case Noted Main routes are done year round and residential area's is April 1st to November 30th,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 1C: Downtown,PWDx,,,INTERSECTION of Washington St & Massachusetts Ave  Roxbury  MA,7.0,1C,7.0,D4,Roxbury,13.0,Ward 9,903.0,,INTERSECTION Washington St & Massachusetts Ave,,Intersection,6046.0,42.3365,-71.0771,Self Service,"(42.3365, -71.0771)"
540035,101001341849,03/25/2015 01:39:34 PM,03/30/2015 01:39:34 PM,04/09/2015 09:14:51 AM,OVERDUE,Closed,Case Closed Case Noted,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 1C: Downtown,PWDx,,,694 Tremont St  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,RC,694 Tremont St,2118.0,Address,322189.0,42.3407,-71.0772,Self Service,"(42.3407, -71.0772)"
540171,101001342074,03/25/2015 04:31:10 PM,03/30/2015 04:31:10 PM,03/26/2015 08:04:45 AM,ONTIME,Closed,Case Closed Case Resolved the signs have been changed to 1st and 3rd 2nd and 4th. according to which side you live on and the web site has not been updated. please always refer to the posted signage. thank you,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 09: East Boston,PWDx,,,227 Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,R3,227 Chelsea St,2128.0,Address,30419.0,42.3753,-71.0322,Self Service,"(42.3753, -71.0322)"
540187,101001342100,03/25/2015 05:05:15 PM,03/31/2015 08:30:00 AM,03/26/2015 06:38:12 AM,ONTIME,Closed,Case Closed Case Noted,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 1C: Downtown,PWDx,,,1140 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,CD,1140 Washington St,2118.0,Address,143846.0,42.3437,-71.0659,Self Service,"(42.3437, -71.0659)"
540767,101001342963,03/26/2015 05:33:00 PM,04/01/2015 08:30:00 AM,,OVERDUE,Open,,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,23 Salcombe St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1306.0,R1,23 Salcombe St,2125.0,Address,121678.0,42.3144,-71.0617,Self Service,"(42.3144, -71.0617)"
542189,101001344974,03/30/2015 01:18:35 PM,04/02/2015 01:18:35 PM,04/01/2015 01:46:35 PM,ONTIME,Closed,Case Closed Case Noted signs on seavern st.are correct.weds.posting,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 02: Jamaica Plain,PWDx,,,17-19 Seaverns Ave  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1906.0,A,17-19 Seaverns Ave,2130.0,Address,169577.0,42.3118,-71.1133,Self Service,"(42.3118, -71.1133)"
542393,101001345260,03/30/2015 05:43:59 PM,04/03/2015 08:30:00 AM,03/31/2015 01:55:36 PM,ONTIME,Closed,Case Closed Case Resolved Bennington from Prescott to  Meridian  has been changed from every Tuesday. To Wednesday with odd side being 1st and 3rd and the even side being 2nd and 4th. The time is still the same from 8 am to 12 noon. Please check your posted signs as we are sweeping on this part of Bennington tomorrow,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 09: East Boston,PWDx,,,177 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,R1,177 Bennington St,2128.0,Address,14640.0,42.3772,-71.0324,Self Service,"(42.3772, -71.0324)"
542395,101001345263,03/30/2015 05:46:17 PM,04/03/2015 08:30:00 AM,03/31/2015 11:40:31 AM,ONTIME,Closed,Case Closed Case Noted Thank you for contacting DPW Dept. the addresses are all on the same side as is other streets in Boston the side are marked as 1st and 3rd side and 2nd and 4th side  i will contact and the person in charge of the street sweeping web site and see if he can make changes to the website as far as the odd and even side on there website  again thank you for contacting us.,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 05: South Boston,PWDx,,,22 Thomas Park  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,CM,22 Thomas Park,2127.0,Address,135616.0,42.3337,-71.0461,Self Service,"(42.3337, -71.0461)"
542413,101001345291,03/30/2015 06:21:59 PM,04/03/2015 08:30:00 AM,03/31/2015 07:24:26 AM,ONTIME,Closed,Case Closed Case Noted Always defer to the posted signs.,No-Tow Complaint Confirmation,Public Works Department,Administrative & General Requests,No-Tow Complaint Confirmation,PWDx_District 10A: Roxbury,PWDx,,,841 Parker St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,CD,841 Parker St,2120.0,Address,107894.0,42.3276,-71.0998,Self Service,"(42.3276, -71.0998)"
