,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469451,101001240734,01/01/2015 12:20:09 AM,,01/02/2015 09:08:42 AM,ONTIME,Closed,Case Closed Case Noted,Other,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,33 Beacon St  Boston  MA  02108,3.0,1B,8.0,A1,Downtown / Financial District,14.0,Ward 5,503.0,E,33 Beacon St,2108.0,Address,11072.0,42.3574,-71.0648,Constituent Call,"(42.3574, -71.0648)"
469455,101001240742,01/01/2015 02:24:59 AM,,01/02/2015 09:09:00 AM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,10 Washburn St  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,708.0,R2,10 Washburn St,2125.0,Address,143386.0,42.3254,-71.0574,Constituent Call,"(42.3254, -71.0574)"
469456,101001240743,01/01/2015 03:08:01 AM,,01/02/2015 09:09:15 AM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,841-843 Dorchester Ave  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,709.0,R3,841-843 Dorchester Ave,2125.0,Address,48752.0,42.322,-71.057,Constituent Call,"(42.322, -71.057)"
469488,101001240791,01/01/2015 11:28:14 AM,,01/05/2015 09:58:46 AM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,222 Foster St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2209.0,A,222 Foster St,2135.0,Address,237026.0,42.3428,-71.1579,Constituent Call,"(42.3428, -71.1579)"
469503,101001240811,01/01/2015 12:51:51 PM,,01/02/2015 09:09:50 AM,ONTIME,Closed,Case Closed Case Noted,BWSC: Water Main Break,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,95 Brook Farm Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,E,95 Brook Farm Rd,2132.0,Address,21939.0,42.2915,-71.1683,Constituent Call,"(42.2915, -71.1683)"
469564,101001240890,01/01/2015 09:04:39 PM,,01/05/2015 09:59:15 AM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,523 Massachusetts Ave  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,A,523 Massachusetts Ave,2118.0,Address,92301.0,42.3387,-71.0801,Constituent Call,"(42.3387, -71.0801)"
469988,101001241531,01/02/2015 06:09:21 PM,,01/05/2015 11:07:58 AM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,58 Clarkson St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1503.0,R3,58 Clarkson St,2125.0,Address,33522.0,42.3082,-71.0673,Constituent Call,"(42.3082, -71.0673)"
470000,101001241553,01/02/2015 08:31:58 PM,,01/05/2015 11:08:23 AM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,34 Bellevue St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,R3,34 Bellevue St,2125.0,Address,13861.0,42.3103,-71.0676,Constituent Call,"(42.3103, -71.0676)"
470017,101001241576,01/03/2015 12:50:43 AM,,01/06/2015 01:25:23 PM,ONTIME,Closed,Case Closed Case Noted,Fire,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,580 Cummins Hwy  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1821.0,A,580 Cummins Hwy,2126.0,Address,44901.0,42.2733,-71.1079,Constituent Call,"(42.2733, -71.1079)"
470018,101001241577,01/03/2015 01:20:34 AM,,01/06/2015 01:25:57 PM,ONTIME,Closed,Case Closed Case Noted,Fire: Other,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,1313 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,03,307.0,,1313 Washington St,2118.0,Address,344539.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
